mask  target      seed    base     tgt  beta  gate acc  loss gain  apply  joint
a     hard           0  0.6316   0.507  0.18   +0.0000    -0.0023   0.30  0.019
a     cross_mask     0  0.6316   0.518  0.18   +0.0000    -0.0017   0.30  0.019
a     hard           1  0.6177   0.496  0.10   +0.0000    +0.0045   0.54  0.017
a     cross_mask     1  0.6177   0.496  0.10   +0.0000    +0.0050   0.56  0.008
a     hard           2  0.6233   0.482  0.15   +0.0000    +0.0058   0.34  0.022
a     cross_mask     2  0.6233   0.482  0.15   +0.0000    -0.0016   0.34  0.022
v     hard           0  0.5568   0.488  0.68   +0.0000    +0.0117   0.05  0.008
v     cross_mask     0  0.5568   0.476  0.68   +0.0000    +0.0112   0.05  0.008
v     hard           1  0.5956   0.482  0.68   +0.0000    +0.0083   0.06  0.006
v     cross_mask     1  0.5956   0.471  0.68   +0.0000    +0.0084   0.07  0.006
v     hard           2  0.5596   0.468  0.68   +0.0000    +0.0035   0.04  0.008
v     cross_mask     2  0.5596   0.468  0.70   +0.0000    +0.0085   0.04  0.008
t     hard           0  0.7424   0.435  0.18   +0.0000    -0.0013   0.03  0.003
t     cross_mask     0  0.7424   0.452  0.18   +0.0000    -0.0009   0.02  0.003
t     hard           1  0.7396   0.504  0.18   +0.0000    -0.0007   0.02  0.006
t     cross_mask     1  0.7396   0.510  0.18   +0.0000    +0.0000   0.01  0.000
t     hard           2  0.7230   0.479  0.15   +0.0000    +0.0098   0.04  0.006
t     cross_mask     2  0.7230   0.485  0.15   +0.0000    -0.0015   0.03  0.006
av    hard           0  0.6593   0.582  0.50   +0.0055    +0.0201   0.15  0.014
av    cross_mask     0  0.6593   0.584  0.50   +0.0055    +0.0223   0.15  0.011
av    hard           1  0.6787   0.579  0.53   +0.0000    +0.0164   0.16  0.017
av    cross_mask     1  0.6787   0.576  0.53   +0.0000    +0.0189   0.16  0.011
av    hard           2  0.6454   0.571  0.48   +0.0028    +0.0077   0.11  0.011
av    cross_mask     2  0.6454   0.573  0.48   +0.0000    +0.0093   0.10  0.011
at    hard           0  0.7645   0.504  0.20   +0.0028    -0.0021   0.19  0.028
at    cross_mask     0  0.7645   0.499  0.20   +0.0028    -0.0019   0.19  0.025
at    hard           1  0.7756   0.546  0.18   +0.0000    -0.0014   0.24  0.017
at    cross_mask     1  0.7756   0.554  0.18   +0.0000    +0.0004   0.21  0.014
at    hard           2  0.7479   0.518  0.15   +0.0055    +0.0087   0.29  0.014
at    cross_mask     2  0.7479   0.521  0.18   +0.0028    +0.0096   0.18  0.014
tv    hard           0  0.7258   0.540  0.33   +0.0000    +0.0036   0.06  0.008
tv    cross_mask     0  0.7258   0.548  0.33   +0.0000    +0.0035   0.06  0.006
tv    hard           1  0.7119   0.546  0.33   +0.0000    +0.0064   0.05  0.003
tv    cross_mask     1  0.7119   0.565  0.33   +0.0000    +0.0067   0.04  0.000
tv    hard           2  0.7258   0.537  0.30   +0.0000    +0.0113   0.04  0.008
tv    cross_mask     2  0.7258   0.554  0.33   +0.0000    +0.0124   0.04  0.000
atv   hard           0  0.7590   0.609  0.33   +0.0000    +0.0029   0.10  0.011
atv   cross_mask     0  0.7590   0.629  0.35   +0.0028    +0.0028   0.08  0.011
atv   hard           1  0.7341   0.623  0.30   +0.0000    +0.0032   0.10  0.003
atv   cross_mask     1  0.7341   0.637  0.33   +0.0000    +0.0044   0.07  0.006
