mask  target      seed    base     tgt  beta  gate acc  loss gain  apply  joint
a     hard           0  0.6205   0.507  0.15   +0.0028    +0.0017   0.43  0.014
a     cross_mask     0  0.6205   0.510  0.18   +0.0000    +0.0049   0.34  0.003
a     hard           1  0.6094   0.496  0.15   +0.0028    +0.0003   0.38  0.011
a     cross_mask     1  0.6094   0.504  0.18   +0.0000    +0.0016   0.30  0.008
a     hard           2  0.6233   0.482  0.23   -0.0028    +0.0024   0.27  0.017
a     cross_mask     2  0.6233   0.488  0.25   +0.0000    +0.0026   0.17  0.006
v     hard           0  0.5789   0.488  0.40   +0.0000    +0.0014   0.09  0.003
v     cross_mask     0  0.5789   0.488  0.35   +0.0000    +0.0002   0.10  0.008
v     hard           1  0.5928   0.482  0.48   +0.0000    +0.0009   0.08  0.003
v     cross_mask     1  0.5928   0.457  0.45   +0.0000    +0.0005   0.08  0.000
v     hard           2  0.5762   0.468  0.45   +0.0028    +0.0052   0.08  0.006
v     cross_mask     2  0.5762   0.457  0.40   +0.0000    +0.0036   0.09  0.011
t     hard           0  0.7424   0.435  0.25   +0.0000    -0.0002   0.01  0.000
t     cross_mask     0  0.7424   0.416  0.25   +0.0000    +0.0040   0.01  0.000
t     hard           1  0.7064   0.504  0.28   +0.0000    -0.0008   0.01  0.003
t     cross_mask     1  0.7064   0.468  0.25   +0.0000    +0.0035   0.02  0.003
t     hard           2  0.6953   0.479  0.28   +0.0000    -0.0005   0.01  0.003
t     cross_mask     2  0.6953   0.446  0.25   +0.0000    +0.0033   0.02  0.006
av    hard           0  0.6981   0.582  0.05   +0.0000    +0.0069   1.00  0.000
av    cross_mask     0  0.6981   0.582  0.03   +0.0028    +0.0039   1.00  0.000
av    hard           1  0.6814   0.579  0.08   -0.0055    +0.0088   0.91  0.006
av    cross_mask     1  0.6814   0.582  0.05   +0.0000    +0.0095   1.00  0.000
av    hard           2  0.6620   0.571  0.08   -0.0028    +0.0040   0.89  0.000
av    cross_mask     2  0.6620   0.554  0.08   +0.0000    +0.0040   0.90  0.003
at    hard           0  0.7701   0.504  0.33   +0.0000    -0.0025   0.04  0.017
at    cross_mask     0  0.7701   0.499  0.35   +0.0000    -0.0027   0.05  0.019
at    hard           1  0.7452   0.546  0.25   +0.0000    -0.0013   0.08  0.003
at    cross_mask     1  0.7452   0.540  0.28   +0.0000    -0.0012   0.05  0.006
at    hard           2  0.7147   0.518  0.28   +0.0000    +0.0008   0.07  0.011
at    cross_mask     2  0.7147   0.510  0.30   +0.0000    -0.0003   0.05  0.008
tv    hard           0  0.7452   0.540  0.35   +0.0000    +0.0537   0.03  0.000
tv    cross_mask     0  0.7452   0.499  0.33   +0.0000    +0.0510   0.04  0.000
tv    hard           1  0.7064   0.546  0.33   +0.0000    +0.0439   0.05  0.000
tv    cross_mask     1  0.7064   0.526  0.33   +0.0000    +0.0440   0.05  0.000
tv    hard           2  0.7175   0.537  0.35   +0.0000    +0.1086   0.04  0.000
tv    cross_mask     2  0.7175   0.482  0.33   +0.0000    +0.1063   0.05  0.000
atv   hard           0  0.7812   0.609  0.18   +0.0000    +0.0040   0.24  0.022
atv   cross_mask     0  0.7812   0.596  0.18   +0.0000    +0.0032   0.18  0.014
atv   hard           1  0.7673   0.623  0.15   -0.0028    +0.0048   0.34  0.022
atv   cross_mask     1  0.7673   0.623  0.15   +0.0000    +0.0072   0.33  0.025
atv   hard           2  0.7368   0.584  0.20   +0.0000    +0.0145   0.23  0.019
atv   cross_mask     2  0.7368   0.582  0.20   +0.0000    +0.0112   0.22  0.019

0/42 cells exceed the harm budget
accuracy change -0.0001 on average; loss gain +0.0123. On hosts this strong the loss moves and the decisions mostly do not.
mask  target      seed    base     tgt  beta  gate acc  loss gain  apply  joint
a     hard           0  0.6205   0.507  0.15   +0.0028    +0.0017   0.43  0.014
a     cross_mask     0  0.6205   0.510  0.18   +0.0000    +0.0049   0.34  0.003
a     hard           1  0.6094   0.496  0.15   +0.0028    +0.0003   0.38  0.011
a     cross_mask     1  0.6094   0.504  0.18   +0.0000    +0.0016   0.30  0.008
a     hard           2  0.6233   0.482  0.23   -0.0028    +0.0024   0.27  0.017
a     cross_mask     2  0.6233   0.488  0.25   +0.0000    +0.0026   0.17  0.006
v     hard           0  0.5789   0.488  0.40   +0.0000    +0.0014   0.09  0.003
v     cross_mask     0  0.5789   0.488  0.35   +0.0000    +0.0002   0.10  0.008
v     hard           1  0.5928   0.482  0.48   +0.0000    +0.0009   0.08  0.003
v     cross_mask     1  0.5928   0.457  0.45   +0.0000    +0.0005   0.08  0.000
v     hard           2  0.5762   0.468  0.45   +0.0028    +0.0052   0.08  0.006
v     cross_mask     2  0.5762   0.457  0.40   +0.0000    +0.0036   0.09  0.011
t     hard           0  0.7424   0.435  0.25   +0.0000    -0.0002   0.01  0.000
t     cross_mask     0  0.7424   0.416  0.25   +0.0000    +0.0040   0.01  0.000
t     hard           1  0.7064   0.504  0.28   +0.0000    -0.0008   0.01  0.003
t     cross_mask     1  0.7064   0.468  0.25   +0.0000    +0.0035   0.02  0.003
t     hard           2  0.6953   0.479  0.28   +0.0000    -0.0005   0.01  0.003
t     cross_mask     2  0.6953   0.446  0.25   +0.0000    +0.0033   0.02  0.006
av    hard           0  0.6981   0.582  0.05   +0.0000    +0.0069   1.00  0.000
av    cross_mask     0  0.6981   0.582  0.03   +0.0028    +0.0039   1.00  0.000
av    hard           1  0.6814   0.579  0.08   -0.0055    +0.0088   0.91  0.006
av    cross_mask     1  0.6814   0.582  0.05   +0.0000    +0.0095   1.00  0.000
av    hard           2  0.6620   0.571  0.08   -0.0028    +0.0040   0.89  0.000
av    cross_mask     2  0.6620   0.554  0.08   +0.0000    +0.0040   0.90  0.003
at    hard           0  0.7701   0.504  0.33   +0.0000    -0.0025   0.04  0.017
at    cross_mask     0  0.7701   0.499  0.35   +0.0000    -0.0027   0.05  0.019
at    hard           1  0.7452   0.546  0.25   +0.0000    -0.0013   0.08  0.003
at    cross_mask     1  0.7452   0.540  0.28   +0.0000    -0.0012   0.05  0.006
at    hard           2  0.7147   0.518  0.28   +0.0000    +0.0008   0.07  0.011
at    cross_mask     2  0.7147   0.510  0.30   +0.0000    -0.0003   0.05  0.008
tv    hard           0  0.7452   0.540  0.35   +0.0000    +0.0537   0.03  0.000
