condition,seed,arm,base_acc,d_acc,loss_gain,joint_harm,cond_harm,apply_rate
full,0,knn,0.9074186991869919,0.00010162601626007017,0.03212404977572059,0.0017276422764227642,0.0025859446303620323,0.6680894308943089
full,0,kernel,0.9074186991869919,-0.000508130081300906,0.05206009842381604,0.0,0.0,0.9995934959349594
full,0,ridge,0.9074186991869919,-0.0001016260162601812,0.018261992373265576,0.005386178861788618,0.008046151510551085,0.6694105691056911
full,1,knn,0.9074186991869919,0.00010162601626007017,0.03208334167689834,0.0020325203252032522,0.00303951367781155,0.6686991869918699
full,1,kernel,0.9074186991869919,-0.000508130081300906,0.05206009842381604,0.0,0.0,0.9995934959349594
full,1,ridge,0.9074186991869919,-0.0001016260162601812,0.018249084236237317,0.00548780487804878,0.008192990441511151,0.6698170731707317
full,2,knn,0.9074186991869919,0.00010162601626007017,0.03212404977572059,0.0017276422764227642,0.0025859446303620323,0.6680894308943089
full,2,kernel,0.9074186991869919,-0.000508130081300906,0.05206009842381604,0.0,0.0,0.9995934959349594
full,2,ridge,0.9074186991869919,0.0,0.0231198904786854,0.004776422764227642,0.006484547461368654,0.7365853658536585
prot50,0,knn,0.8407520325203252,0.0019308943089431096,0.00829924056296275,0.00853658536585366,0.022913256955810146,0.3725609756097561
prot50,0,kernel,0.8407520325203252,0.0001016260162601812,0.0004344271644062928,0.0,0.0,0.17510162601626017
prot50,0,ridge,0.8407520325203252,0.0022357723577236532,0.004719032670066606,0.0125,0.031619537275064266,0.3953252032520325
prot50,1,knn,0.8407520325203252,0.0014227642276423147,0.00814364207541086,0.008130081300813009,0.021476510067114093,0.3785569105691057
prot50,1,kernel,0.8407520325203252,0.0001016260162601812,0.0004344271644062928,0.0,0.0,0.17510162601626017
prot50,1,ridge,0.8407520325203252,0.0015243902439024959,0.005535245386574324,0.011686991869918699,0.02870693959061408,0.4071138211382114
prot50,2,knn,0.8407520325203252,0.002032520325203291,0.00834976682981495,0.008638211382113821,0.023154453827295016,0.3730691056910569
prot50,2,kernel,0.8407520325203252,0.0001016260162601812,0.0004344271644062928,0.0,0.0,0.17510162601626017
prot50,2,ridge,0.8407520325203252,0.0022357723577236532,0.0047292805173819175,0.012398373983739837,0.03138667352714176,0.39502032520325203
prot25,0,knn,0.7048780487804878,0.07398373983739837,0.1478685598191575,0.06097560975609756,0.16357688113413305,0.3727642276422764
prot25,0,kernel,0.7048780487804878,0.0001016260162601812,-3.6065930541267184e-05,0.0005081300813008131,0.007763975155279503,0.06544715447154471
prot25,0,ridge,0.7048780487804878,0.10406504065040656,0.19860015424049424,0.0839430894308943,0.15902964959568733,0.5278455284552845
prot25,1,knn,0.7048780487804878,0.07489837398373989,0.1403198470809743,0.05436991869918699,0.1495248742314142,0.3636178861788618
prot25,1,kernel,0.7048780487804878,0.0,-2.7587742262995895e-05,0.0005081300813008131,0.007374631268436578,0.06890243902439025
prot25,1,ridge,0.7048780487804878,0.10376016260162602,0.19127163317753157,0.07804878048780488,0.15067686874632136,0.5179878048780487
prot25,2,knn,0.7048780487804878,0.07560975609756104,0.1403410948098477,0.052947154471544716,0.14647174585324713,0.3614837398373984
prot25,2,kernel,0.7048780487804878,0.0002032520325203624,2.3048523963759906e-05,0.0005081300813008131,0.007739938080495356,0.06565040650406503
prot25,2,ridge,0.7048780487804878,0.10396341463414638,0.1852149035291862,0.07489837398373984,0.14565217391304347,0.5142276422764228
scaffold,0,knn,0.7791666666666667,0.05040650406504066,0.09762473035539757,0.021544715447154472,0.06503067484662577,0.3313008130081301
scaffold,0,kernel,0.7791666666666667,-0.0009146341463415197,0.0007699923228700944,0.0001016260162601626,0.0017123287671232876,0.05934959349593496
scaffold,0,ridge,0.7791666666666667,0.04247967479674797,0.07010976965859947,0.028353658536585367,0.07056145675265554,0.40182926829268295
scaffold,1,knn,0.7791666666666667,0.048272357723577186,0.09216917989799435,0.020020325203252032,0.06142812597443093,0.3259146341463415
scaffold,1,kernel,0.7791666666666667,-0.00101626016260159,0.0006778077665446104,0.0002032520325203252,0.0037243947858473,0.05457317073170732
scaffold,1,ridge,0.7791666666666667,0.04329268292682931,0.07575281133782649,0.028252032520325203,0.07102708226877874,0.3977642276422764
scaffold,2,knn,0.7791666666666667,0.05223577235772359,0.10950972459990664,0.02184959349593496,0.0662557781201849,0.32977642276422764
scaffold,2,kernel,0.7791666666666667,-0.0007113821138211573,0.0006942471014748548,0.0004065040650406504,0.008032128514056224,0.05060975609756098
scaffold,2,ridge,0.7791666666666667,0.04461382113821133,0.08309668279271552,0.030792682926829268,0.07682555780933063,0.4008130081300813
scaffold_prot50,0,knn,0.7152439024390244,0.0836382113821138,0.1805267252759189,0.05193089430894309,0.13408554185253213,0.38729674796747965
scaffold_prot50,0,kernel,0.7152439024390244,0.0001016260162601812,0.00019167868305874084,0.0003048780487804878,0.005952380952380952,0.05121951219512195
scaffold_prot50,0,ridge,0.7152439024390244,0.09329268292682935,0.18916442074393575,0.04959349593495935,0.11563981042654028,0.42886178861788615
scaffold_prot50,1,knn,0.7152439024390244,0.0822154471544716,0.17080888071455003,0.04695121951219512,0.12459546925566344,0.37682926829268293
scaffold_prot50,1,kernel,0.7152439024390244,0.0001016260162601812,0.00019167868305874084,0.0003048780487804878,0.005952380952380952,0.05121951219512195
scaffold_prot50,1,ridge,0.7152439024390244,0.09288617886178863,0.18708064621941944,0.0475609756097561,0.11206896551724138,0.424390243902439
scaffold_prot50,2,knn,0.7152439024390244,0.08252032520325203,0.1715626936252022,0.04878048780487805,0.12810248198558846,0.3807926829268293
scaffold_prot50,2,kernel,0.7152439024390244,0.0001016260162601812,0.00019167868305874084,0.0003048780487804878,0.005952380952380952,0.05121951219512195
scaffold_prot50,2,ridge,0.7152439024390244,0.09288617886178863,0.18708064621941944,0.0475609756097561,0.11206896551724138,0.424390243902439
