condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,threshold,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,seed,host
a,hard,0.17500000000000002,0.631578947368421,0.005540166204986208,0.005540166204986208,0.8437630136069848,-0.009533336036119089,-0.003289866850838148,0.47368421052631576,0.5069252077562327,0.03944855372247788,0.011387948777296179,0.5235457063711911,0.22437673130193905,0.42857142857142855,0.3032691877614798,4446,362,362,361,0.2,0.05,50,True,0,momke_iemocap4
a,cross_mask,0.17500000000000002,0.631578947368421,0.005540166204986208,0.005540166204986208,0.8437630136069848,-0.007567880661092006,-0.004277443155707384,0.48753462603878117,0.518005540166205,0.03944855372247788,0.011387948777296179,0.48476454293628807,0.2077562326869806,0.42857142857142855,0.32325759080761846,4446,362,362,361,0.2,0.05,50,True,0,momke_iemocap4
a,hard,0.1,0.6177285318559557,-0.008310249307479256,-0.008310249307479256,0.9207767986298232,0.036973149392327535,0.03997144207911311,0.2659279778393352,0.49584487534626037,0.045215422098190766,0.01237706206819071,0.8808864265927978,0.21052631578947367,0.2389937106918239,0.1406275263406104,4446,362,362,361,0.2,0.05,50,True,1,momke_iemocap4
a,cross_mask,0.1,0.6177285318559557,-0.008310249307479256,-0.008310249307479256,0.9207767986298232,0.03771090226819072,0.04018968015619316,0.26869806094182824,0.49584487534626037,0.045215422098190766,0.01237706206819071,0.850415512465374,0.20498614958448755,0.24104234527687296,0.15161041780204365,4446,362,362,361,0.2,0.05,50,True,1,momke_iemocap4
a,hard,0.15000000000000002,0.6232686980609419,-0.005540166204986208,-0.005540166204986208,0.8930596120367201,0.004915349712768061,0.01789634557788252,0.4376731301939058,0.481994459833795,0.014887894199057347,0.01120654750962865,0.48753462603878117,0.19390581717451524,0.3977272727272727,0.29869529773410614,4446,362,362,361,0.2,0.05,50,True,2,momke_iemocap4
a,cross_mask,0.15000000000000002,0.6232686980609419,-0.0027700831024931594,0.0,0.8930596120367201,0.005590950009579904,0.017748661065312255,0.4376731301939058,0.481994459833795,0.014887894199057347,0.01120654750962865,0.4792243767313019,0.18559556786703602,0.3872832369942196,0.3114437507931599,4446,362,362,361,0.2,0.05,50,True,2,momke_iemocap4
v,hard,0.675,0.556786703601108,0.0,0.0027700831024930483,1.5877316265550698,0.25415490779552624,0.38335098424872555,0.5872576177285319,0.48753462603878117,0.15409244508855588,0.014932658758769476,0.4293628808864266,0.2188365650969529,0.5096774193548387,0.41122574022005254,4446,362,362,361,0.2,0.05,50,True,0,momke_iemocap4
v,cross_mask,0.675,0.556786703601108,0.005540166204986097,0.008310249307479256,1.5877316265550698,0.26574939372126166,0.4003003024987472,0.5844875346260388,0.47645429362880887,0.15409244508855588,0.014932658758769476,0.4515235457063712,0.2299168975069252,0.50920245398773,0.40655356400054815,4446,362,362,361,0.2,0.05,50,True,0,momke_iemocap4
v,hard,0.675,0.5955678670360111,-0.049861495844875314,-0.04432132963988922,1.557097434647383,0.26674840251148757,0.4075405847385948,0.5872576177285319,0.481994459833795,0.13752638136841105,0.014572842839354838,0.46537396121883656,0.2548476454293629,0.5476190476190477,0.3966542080641307,4446,362,362,361,0.2,0.05,50,True,1,momke_iemocap4
v,cross_mask,0.675,0.5955678670360111,-0.03878116343490301,-0.03324099722991691,1.557097434647383,0.25523321090891815,0.41789526674550315,0.5955678670360111,0.4709141274238227,0.13752638136841105,0.014572842839354838,0.44598337950138506,0.24653739612188366,0.5527950310559007,0.3970908024151802,4446,362,362,361,0.2,0.05,50,True,1,momke_iemocap4
v,hard,0.675,0.5595567867036011,-0.013850415512465353,-0.013850415512465353,1.6940502070590742,0.2966400253088831,0.47053103156005927,0.5955678670360111,0.46814404432132967,0.12880378711762322,0.014999389906292298,0.49584487534626037,0.26038781163434904,0.5251396648044693,0.40493983343154544,4446,362,362,361,0.2,0.05,50,True,2,momke_iemocap4
v,cross_mask,0.7000000000000001,0.5595567867036011,-0.0027700831024930483,-0.0027700831024930483,1.6940502070590742,0.2832537371927644,0.48635716028111753,0.5955678670360111,0.46814404432132967,0.12880378711762322,0.014999389906292298,0.4293628808864266,0.21606648199445982,0.5032258064516129,0.4109460296463265,4446,362,362,361,0.2,0.05,50,True,2,momke_iemocap4
t,hard,0.17500000000000002,0.7423822714681441,-0.0027700831024930483,0.0,0.7606101159478771,0.006393799915688726,0.030912705582004787,0.7700831024930748,0.42382271468144045,0.06421669684136876,0.012182307710751385,0.33518005540166207,0.2548476454293629,0.7603305785123967,0.2168456302332774,4446,362,362,361,0.2,0.05,50,True,0,momke_iemocap4
t,cross_mask,0.17500000000000002,0.7423822714681441,-0.0027700831024930483,0.0,0.7606101159478771,0.006764099503782396,0.03057887899167195,0.778393351800554,0.46537396121883656,0.06421669684136876,0.012182307710751385,0.3462603878116344,0.2548476454293629,0.736,0.2153707571793184,4446,362,362,361,0.2,0.05,50,True,0,momke_iemocap4
t,hard,0.17500000000000002,0.739612188365651,0.0027700831024930483,0.0,0.7390331302918105,0.018003396630310278,0.03176397967190728,0.7590027700831025,0.49584487534626037,0.06169926042456557,0.011878272849089567,0.2631578947368421,0.1883656509695291,0.7157894736842105,0.23350324090565172,4446,362,362,361,0.2,0.05,50,True,1,momke_iemocap4
t,cross_mask,0.17500000000000002,0.739612188365651,0.0027700831024930483,0.0,0.7390331302918105,0.021997737475686754,0.03108769992959118,0.7590027700831025,0.5290858725761773,0.06169926042456557,0.011878272849089567,0.2631578947368421,0.1883656509695291,0.7157894736842105,0.23271270478790348,4446,362,362,361,0.2,0.05,50,True,1,momke_iemocap4
t,hard,0.15000000000000002,0.7229916897506925,0.0,0.0,0.8000345818306713,0.02689837821203191,0.06492057962441178,0.7202216066481995,0.46814404432132967,0.04072134868053556,0.011946428224648064,0.29362880886426596,0.2299168975069252,0.7830188679245284,0.2034590150996646,4446,362,362,361,0.2,0.05,50,True,2,momke_iemocap4
t,cross_mask,0.125,0.7229916897506925,0.0,0.0,0.8000345818306713,0.03443614118418998,0.06531977906552278,0.6648199445983379,0.49584487534626037,0.04072134868053556,0.011946428224648064,0.29916897506925205,0.22160664819944598,0.7407407407407407,0.20049786382988644,4446,362,362,361,0.2,0.05,50,True,2,momke_iemocap4
av,hard,0.5,0.6592797783933518,0.0166204986149584,0.0166204986149584,1.0549157926196204,0.1545229197556016,0.18838529780241012,0.5817174515235457,0.5817174515235457,0.11566246099567638,0.014419747849851634,0.3961218836565097,0.1883656509695291,0.4755244755244755,0.3703961883824255,4446,362,362,361,0.2,0.05,50,True,0,momke_iemocap4
av,cross_mask,0.5,0.6592797783933518,0.02216066481994461,0.02216066481994461,1.0549157926196204,0.17474149811354775,0.19068743561753496,0.5872576177285319,0.5844875346260388,0.11566246099567638,0.014419747849851634,0.3961218836565097,0.19113573407202217,0.4825174825174825,0.36299275611886284,4446,362,362,361,0.2,0.05,50,True,0,momke_iemocap4
av,hard,0.525,0.6786703601108033,-0.0027700831024930483,-0.0027700831024930483,1.0848389049677007,0.19916504857706846,0.2282095767888969,0.5844875346260388,0.5789473684210527,0.10249972594478296,0.014259733231894264,0.4182825484764543,0.20498614958448755,0.4900662251655629,0.35081917030460763,4446,362,362,361,0.2,0.05,50,True,1,momke_iemocap4
av,cross_mask,0.525,0.6786703601108033,-0.0027700831024930483,0.0,1.0848389049677007,0.18655048783687989,0.22889946100971487,0.592797783933518,0.5761772853185596,0.10249972594478296,0.014259733231894264,0.4293628808864266,0.2077562326869806,0.4838709677419355,0.3404309063834447,4446,362,362,361,0.2,0.05,50,True,1,momke_iemocap4
av,hard,0.47500000000000003,0.6454293628808865,-0.013850415512465464,-0.013850415512465464,1.159570410584202,0.17135136790384703,0.2708022736925931,0.6011080332409973,0.5706371191135734,0.099406675152359,0.01430203558273147,0.4598337950138504,0.22160664819944598,0.4819277108433735,0.3500520549951812,4446,362,362,361,0.2,0.05,50,True,2,momke_iemocap4
av,cross_mask,0.47500000000000003,0.6454293628808865,-0.008310249307479256,-0.008310249307479256,1.159570410584202,0.18793095043542168,0.2728057096553433,0.6066481994459834,0.5734072022160664,0.099406675152359,0.01430203558273147,0.4709141274238227,0.24376731301939059,0.5176470588235295,0.32037390555898987,4446,362,362,361,0.2,0.05,50,True,2,momke_iemocap4
at,hard,0.2,0.7645429362880887,0.008310249307479145,0.008310249307479145,0.6818341520191673,-0.004512790128581425,0.018039645043830467,0.6565096952908587,0.5041551246537396,0.05349303964658702,0.011545334581734295,0.2548476454293629,0.16620498614958448,0.6521739130434783,0.28237442051011963,4446,362,362,361,0.2,0.05,50,True,0,momke_iemocap4
at,cross_mask,0.2,0.7645429362880887,0.008310249307479145,0.005540166204986097,0.6818341520191673,-0.00558704686562026,0.02095014388448018,0.6592797783933518,0.4986149584487535,0.05349303964658702,0.011545334581734295,0.29362880886426596,0.18559556786703602,0.6320754716981132,0.2990591987833749,4446,362,362,361,0.2,0.05,50,True,0,momke_iemocap4
at,hard,0.17500000000000002,0.775623268698061,-0.0027700831024931594,-0.0027700831024931594,0.6920683821680446,-0.010264054190737781,0.023844500225546347,0.6011080332409973,0.5457063711911357,0.06160925822550145,0.012207415776489042,0.3268698060941828,0.19390581717451524,0.5932203389830508,0.24046653193170586,4446,362,362,361,0.2,0.05,50,True,1,momke_iemocap4
at,cross_mask,0.17500000000000002,0.775623268698061,0.0,0.0,0.6920683821680446,-0.008424241259891128,0.02628859097803699,0.6149584487534626,0.554016620498615,0.06160925822550145,0.012207415776489042,0.3268698060941828,0.19667590027700832,0.6016949152542372,0.2365027747326487,4446,362,362,361,0.2,0.05,50,True,1,momke_iemocap4
at,hard,0.15000000000000002,0.7479224376731302,0.0027700831024931594,0.0,0.7534005764114271,-0.007548000134012742,0.0407033044130057,0.5373961218836565,0.518005540166205,0.04540363492123076,0.012086635952707845,0.30193905817174516,0.18005540166204986,0.5963302752293578,0.23150812855868702,4446,362,362,361,0.2,0.05,50,True,2,momke_iemocap4
at,cross_mask,0.17500000000000002,0.7479224376731302,-0.0027700831024930483,-0.005540166204986097,0.7534005764114271,-0.009077625362960227,0.04280394546751811,0.631578947368421,0.5207756232686981,0.04540363492123076,0.012086635952707845,0.2853185595567867,0.18559556786703602,0.6504854368932039,0.23007237924183108,4446,362,362,361,0.2,0.05,50,True,2,momke_iemocap4
tv,hard,0.325,0.7257617728531855,-0.0027700831024930483,0.0,0.9205738919363748,0.058516197186827525,0.11117947321263248,0.7340720221606648,0.5401662049861495,0.10699196373246822,0.014055096911596053,0.3074792243767313,0.19390581717451524,0.6306306306306306,0.3202261355733301,4446,362,362,361,0.2,0.05,50,True,0,momke_iemocap4
tv,cross_mask,0.325,0.7257617728531855,-0.0027700831024930483,0.0,0.9205738919363748,0.06200249182968095,0.11932579985593054,0.7313019390581718,0.5484764542936288,0.10699196373246822,0.014055096911596053,0.3157894736842105,0.19667590027700832,0.6228070175438597,0.32747033733481135,4446,362,362,361,0.2,0.05,50,True,0,momke_iemocap4
tv,hard,0.325,0.7119113573407202,0.005540166204986208,0.005540166204986208,0.9081028903490042,0.06928966867836363,0.12557425176231965,0.7091412742382271,0.5457063711911357,0.09629876779042973,0.013822899190587738,0.3074792243767313,0.18282548476454294,0.5945945945945946,0.29613678827452217,4446,362,362,361,0.2,0.05,50,True,1,momke_iemocap4
tv,cross_mask,0.325,0.7119113573407202,0.0,0.0027700831024930483,0.9081028903490042,0.08499559430350234,0.1330272970793219,0.703601108033241,0.5650969529085873,0.09629876779042973,0.013822899190587738,0.3185595567867036,0.18559556786703602,0.5826086956521739,0.2987791053998593,4446,362,362,361,0.2,0.05,50,True,1,momke_iemocap4
tv,hard,0.30000000000000004,0.7257617728531855,0.0027700831024931594,-0.0027700831024930483,0.9660302300495514,0.05418115102631344,0.16756371780793067,0.7340720221606648,0.5373961218836565,0.08297226357879617,0.013564561438745345,0.31024930747922436,0.20498614958448755,0.6607142857142857,0.30583588815621077,4446,362,362,361,0.2,0.05,50,True,2,momke_iemocap4
tv,cross_mask,0.325,0.7257617728531855,-0.0027700831024930483,-0.005540166204986097,0.9660302300495514,0.05486895077070499,0.17230906025848938,0.7340720221606648,0.554016620498615,0.08297226357879617,0.013564561438745345,0.31024930747922436,0.21052631578947367,0.6785714285714286,0.3064570473160648,4446,362,362,361,0.2,0.05,50,True,2,momke_iemocap4
atv,hard,0.325,0.7590027700831025,0.016620498614958512,0.016620498614958512,0.8032237243825069,0.0929372860951003,0.16270978655952498,0.7119113573407202,0.6094182825484764,0.0853752621406336,0.01345849629733417,0.3407202216066482,0.21052631578947367,0.6178861788617886,0.3151397505669554,4446,362,362,361,0.2,0.05,50,True,0,momke_iemocap4
atv,cross_mask,0.35000000000000003,0.7590027700831025,0.02216066481994461,0.02216066481994461,0.8032237243825069,0.09281763280659192,0.16366698221942297,0.7285318559556787,0.628808864265928,0.0853752621406336,0.01345849629733417,0.33518005540166207,0.21052631578947367,0.628099173553719,0.32090719824823827,4446,362,362,361,0.2,0.05,50,True,0,momke_iemocap4
atv,hard,0.30000000000000004,0.7340720221606648,0.008310249307479256,0.008310249307479256,0.8283807259734394,0.10528412506428307,0.15673515068711105,0.6786703601108033,0.6232686980609419,0.11076480894825134,0.014940816332795356,0.3988919667590028,0.22160664819944598,0.5555555555555556,0.25341789272926385,4446,362,362,361,0.2,0.05,50,True,1,momke_iemocap4
atv,cross_mask,0.325,0.7340720221606648,0.011080332409972304,0.011080332409972304,0.8283807259734394,0.10506401727594229,0.1591068878079096,0.7091412742382271,0.6371191135734072,0.11076480894825134,0.014940816332795356,0.40443213296398894,0.2409972299168975,0.5958904109589042,0.2491509379539191,4446,362,362,361,0.2,0.05,50,True,1,momke_iemocap4
atv,hard,0.275,0.7700831024930748,-0.005540166204986097,-0.008310249307479145,0.867900998922907,0.07525156043718562,0.19165909557537153,0.6731301939058172,0.5844875346260388,0.08819818576068394,0.014287056969606872,0.37119113573407203,0.22160664819944598,0.5970149253731343,0.23952139455117527,4446,362,362,361,0.2,0.05,50,True,2,momke_iemocap4
atv,cross_mask,0.30000000000000004,0.7700831024930748,-0.005540166204986097,-0.005540166204986097,0.867900998922907,0.06627247680721804,0.19419849874944892,0.7063711911357341,0.6011080332409973,0.08819818576068394,0.014287056969606872,0.38227146814404434,0.22714681440443213,0.5942028985507246,0.2464615968426595,4446,362,362,361,0.2,0.05,50,True,2,momke_iemocap4
