condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,threshold,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,seed,host
a,hard,0.15000000000000002,0.6204986149584487,0.0027700831024931594,0.0027700831024931594,1.0401501981245684,0.04814472303616676,0.048141474439454046,0.3296398891966759,0.5069252077562327,0.07060807159217126,0.014073349430812274,0.739612188365651,0.18005540166204986,0.24344569288389514,0.24993770489305542,4446,362,362,361,0.2,0.05,50,True,0,tmdc_iemocap4
a,cross_mask,0.17500000000000002,0.6204986149584487,0.0,-0.0027700831024930483,1.0401501981245684,0.032200729351087955,0.05153912729807719,0.3601108033240997,0.5096952908587258,0.07060807159217126,0.014073349430812274,0.7091412742382271,0.18282548476454294,0.2578125,0.27484241825763417,4446,362,362,361,0.2,0.05,50,True,0,tmdc_iemocap4
a,hard,0.15000000000000002,0.6094182825484764,0.0,-0.0027700831024930483,1.0306011478640735,0.04528889022393012,0.05536868525182522,0.3545706371191136,0.49584487534626037,0.06956059671321724,0.013826549035464255,0.7645429362880887,0.2188365650969529,0.286231884057971,0.2481222894424245,4446,362,362,361,0.2,0.05,50,True,1,tmdc_iemocap4
a,cross_mask,0.17500000000000002,0.6094182825484764,-0.0027700831024930483,-0.008310249307479145,1.0306011478640735,0.050574593581256544,0.06314869104760351,0.3767313019390582,0.5041551246537396,0.06956059671321724,0.013826549035464255,0.7479224376731302,0.21052631578947367,0.2814814814814815,0.27693176613216214,4446,362,362,361,0.2,0.05,50,True,1,tmdc_iemocap4
a,hard,0.225,0.6232686980609419,-0.008310249307479256,-0.008310249307479256,0.9935436818979625,0.0028847480726522027,0.02513189971228673,0.4515235457063712,0.481994459833795,0.035254170018834,0.01265844256195733,0.5484764542936288,0.1523545706371191,0.2777777777777778,0.32281261794307414,4446,362,362,361,0.2,0.05,50,True,2,tmdc_iemocap4
a,cross_mask,0.25,0.6232686980609419,-0.0027700831024931594,-0.005540166204986208,0.9935436818979625,0.011017691903404897,0.029339595335279765,0.518005540166205,0.48753462603878117,0.035254170018834,0.01265844256195733,0.5373961218836565,0.20221606648199447,0.37628865979381443,0.32859861813522934,4446,362,362,361,0.2,0.05,50,True,2,tmdc_iemocap4
v,hard,0.4,0.5789473684210527,-0.008310249307479256,0.0,1.290291863462107,0.06719537732166837,0.13470345593421007,0.5623268698060941,0.48753462603878117,0.13635089773285808,0.01568183781600371,0.296398891966759,0.18282548476454294,0.616822429906542,0.335872500657698,4446,362,362,361,0.2,0.05,50,True,0,tmdc_iemocap4
v,cross_mask,0.35000000000000003,0.5789473684210527,0.0,0.0,1.290291863462107,0.055651977766374414,0.11934706577140669,0.5512465373961218,0.48753462603878117,0.13635089773285808,0.01568183781600371,0.32409972299168976,0.21052631578947367,0.6495726495726496,0.3311040740851292,4446,362,362,361,0.2,0.05,50,True,0,tmdc_iemocap4
v,hard,0.47500000000000003,0.592797783933518,-0.0166204986149584,-0.0027700831024930483,1.2420481238404995,0.07655893665865333,0.13122095483350069,0.5734072022160664,0.481994459833795,0.12706330846529956,0.015948098049111202,0.32132963988919666,0.19390581717451524,0.603448275862069,0.3917969890866658,4446,362,362,361,0.2,0.05,50,True,1,tmdc_iemocap4
v,cross_mask,0.45,0.592797783933518,-0.013850415512465353,-0.005540166204986097,1.2420481238404995,0.09378295950566197,0.11315572626701793,0.5650969529085873,0.45706371191135736,0.12706330846529956,0.015948098049111202,0.3268698060941828,0.1883656509695291,0.576271186440678,0.3834872569814261,4446,362,362,361,0.2,0.05,50,True,1,tmdc_iemocap4
v,hard,0.45,0.5761772853185596,-0.013850415512465464,-0.005540166204986208,1.3318045350105343,0.07069752789168973,0.15706496817797533,0.5872576177285319,0.46814404432132967,0.11372303208429581,0.015059213947346103,0.31301939058171746,0.1994459833795014,0.6371681415929203,0.3617425395414142,4446,362,362,361,0.2,0.05,50,True,2,tmdc_iemocap4
