family,dataset,condition,target,seed,exchangeable,alpha,apply_rate,joint_harm,acc_gain,blanket_joint_harm,blanket_acc_gain
affective,cmu_mosei,a,cross_mask,0,True,0.05,0.13275862068965516,0.03103448275862069,0.030133928571428603,0.253448275862069,0.0736607142857143
affective,cmu_mosei,a,cross_mask,0,True,0.1,0.15258620689655172,0.03879310344827586,0.030133928571428603,0.253448275862069,0.0736607142857143
affective,cmu_mosei,a,cross_mask,0,True,0.2,0.375,0.11293103448275862,0.052455357142857206,0.253448275862069,0.0736607142857143
affective,cmu_mosei,a,cross_mask,0,True,0.3,0.421551724137931,0.13448275862068965,0.05133928571428581,0.253448275862069,0.0736607142857143
affective,cmu_mosei,a,cross_mask,0,True,0.5,0.421551724137931,0.13448275862068965,0.05133928571428581,0.253448275862069,0.0736607142857143
affective,cmu_mosei,a,cross_mask,1,True,0.05,0.14655172413793102,0.034482758620689655,0.03858875413450935,0.3086206896551724,0.055126791620727644
affective,cmu_mosei,a,cross_mask,1,True,0.1,0.20689655172413793,0.05172413793103448,0.044101433296582115,0.3086206896551724,0.055126791620727644
affective,cmu_mosei,a,cross_mask,1,True,0.2,0.2646551724137931,0.07327586206896551,0.051819184123484074,0.3086206896551724,0.055126791620727644
affective,cmu_mosei,a,cross_mask,1,True,0.3,0.2793103448275862,0.08103448275862069,0.048511576626240394,0.3086206896551724,0.055126791620727644
affective,cmu_mosei,a,cross_mask,1,True,0.5,0.2793103448275862,0.08103448275862069,0.048511576626240394,0.3086206896551724,0.055126791620727644
affective,cmu_mosei,a,cross_mask,2,True,0.05,0.11379310344827587,0.02586206896551724,0.030303030303030276,0.23879310344827587,0.07034632034632038
affective,cmu_mosei,a,cross_mask,2,True,0.1,0.12241379310344827,0.02586206896551724,0.03463203463203457,0.23879310344827587,0.07034632034632038
affective,cmu_mosei,a,cross_mask,2,True,0.2,0.27327586206896554,0.0706896551724138,0.04978354978354982,0.23879310344827587,0.07034632034632038
affective,cmu_mosei,a,cross_mask,2,True,0.3,0.3129310344827586,0.08275862068965517,0.05303030303030298,0.23879310344827587,0.07034632034632038
affective,cmu_mosei,a,cross_mask,2,True,0.5,0.3129310344827586,0.08275862068965517,0.05303030303030298,0.23879310344827587,0.07034632034632038
affective,cmu_mosei,a,cross_mask,3,True,0.05,0.10086206896551723,0.03103448275862069,0.024891774891774854,0.328448275862069,0.09090909090909083
affective,cmu_mosei,a,cross_mask,3,True,0.1,0.23620689655172414,0.07758620689655173,0.04112554112554112,0.328448275862069,0.09090909090909083
affective,cmu_mosei,a,cross_mask,3,True,0.2,0.2767241379310345,0.0939655172413793,0.04220779220779214,0.328448275862069,0.09090909090909083
affective,cmu_mosei,a,cross_mask,3,True,0.3,0.27844827586206894,0.0939655172413793,0.04220779220779214,0.328448275862069,0.09090909090909083
affective,cmu_mosei,a,cross_mask,3,True,0.5,0.27844827586206894,0.0939655172413793,0.04220779220779214,0.328448275862069,0.09090909090909083
affective,cmu_mosei,a,cross_mask,4,True,0.05,0.11896551724137931,0.03620689655172414,0.01664816870144281,0.3112068965517241,0.06659267480577136
affective,cmu_mosei,a,cross_mask,4,True,0.1,0.28793103448275864,0.09310344827586207,0.04439511653718087,0.3112068965517241,0.06659267480577136
affective,cmu_mosei,a,cross_mask,4,True,0.2,0.41379310344827586,0.13275862068965516,0.05771365149833518,0.3112068965517241,0.06659267480577136
affective,cmu_mosei,a,cross_mask,4,True,0.3,0.425,0.13448275862068965,0.05771365149833518,0.3112068965517241,0.06659267480577136
affective,cmu_mosei,a,cross_mask,4,True,0.5,0.425,0.13448275862068965,0.05771365149833518,0.3112068965517241,0.06659267480577136
affective,cmu_mosei,a,cross_mask,5,True,0.05,0.1560344827586207,0.04741379310344827,0.019501625135427858,0.2793103448275862,0.06825568797399784
affective,cmu_mosei,a,cross_mask,5,True,0.1,0.2025862068965517,0.06379310344827586,0.026002166847237218,0.2793103448275862,0.06825568797399784
affective,cmu_mosei,a,cross_mask,5,True,0.2,0.41982758620689653,0.1336206896551724,0.05417118093174422,0.2793103448275862,0.06825568797399784
affective,cmu_mosei,a,cross_mask,5,True,0.3,0.553448275862069,0.18189655172413793,0.0574214517876489,0.2793103448275862,0.06825568797399784
affective,cmu_mosei,a,cross_mask,5,True,0.5,0.553448275862069,0.18189655172413793,0.0574214517876489,0.2793103448275862,0.06825568797399784
affective,cmu_mosei,a,cross_mask,6,True,0.05,0.18275862068965518,0.056896551724137934,0.03056768558951961,0.296551724137931,0.07096069868995636
affective,cmu_mosei,a,cross_mask,6,True,0.1,0.2646551724137931,0.08017241379310344,0.042576419213973815,0.296551724137931,0.07096069868995636
affective,cmu_mosei,a,cross_mask,6,True,0.2,0.33793103448275863,0.09827586206896552,0.05676855895196509,0.296551724137931,0.07096069868995636
affective,cmu_mosei,a,cross_mask,6,True,0.3,0.33793103448275863,0.09827586206896552,0.05676855895196509,0.296551724137931,0.07096069868995636
affective,cmu_mosei,a,cross_mask,6,True,0.5,0.3258620689655172,0.09741379310344828,0.05676855895196509,0.296551724137931,0.07096069868995636
affective,cmu_mosei,a,cross_mask,7,True,0.05,0.12844827586206897,0.03189655172413793,0.028291621327529826,0.23706896551724138,0.05875952121871597
affective,cmu_mosei,a,cross_mask,7,True,0.1,0.23017241379310344,0.07327586206896551,0.03808487486398249,0.23706896551724138,0.05875952121871597
affective,cmu_mosei,a,cross_mask,7,True,0.2,0.44224137931034485,0.14310344827586208,0.041349292709466745,0.23706896551724138,0.05875952121871597
affective,cmu_mosei,a,cross_mask,7,True,0.3,0.4827586206896552,0.1560344827586207,0.043525571273122954,0.23706896551724138,0.05875952121871597
affective,cmu_mosei,a,cross_mask,7,True,0.5,0.4827586206896552,0.1560344827586207,0.043525571273122954,0.23706896551724138,0.05875952121871597
affective,cmu_mosei,a,cross_mask,8,True,0.05,0.10775862068965517,0.027586206896551724,0.03149606299212593,0.32413793103448274,0.08548931383577052
affective,cmu_mosei,a,cross_mask,8,True,0.1,0.1896551724137931,0.04827586206896552,0.04724409448818889,0.32413793103448274,0.08548931383577052
affective,cmu_mosei,a,cross_mask,8,True,0.2,0.296551724137931,0.08189655172413793,0.06524184476940376,0.32413793103448274,0.08548931383577052
affective,cmu_mosei,a,cross_mask,8,True,0.3,0.296551724137931,0.08189655172413793,0.06524184476940376,0.32413793103448274,0.08548931383577052
affective,cmu_mosei,a,cross_mask,8,True,0.5,0.296551724137931,0.08189655172413793,0.06524184476940376,0.32413793103448274,0.08548931383577052
affective,cmu_mosei,a,cross_mask,9,True,0.05,0.12758620689655173,0.028448275862068967,0.025669642857142905,0.30948275862068964,0.060267857142857206
affective,cmu_mosei,a,cross_mask,9,True,0.1,0.2646551724137931,0.06896551724137931,0.0457589285714286,0.30948275862068964,0.060267857142857206
affective,cmu_mosei,a,cross_mask,9,True,0.2,0.30431034482758623,0.08189655172413793,0.0513392857142857,0.30948275862068964,0.060267857142857206
affective,cmu_mosei,a,cross_mask,9,True,0.3,0.3120689655172414,0.0853448275862069,0.052455357142857206,0.30948275862068964,0.060267857142857206
affective,cmu_mosei,a,cross_mask,9,True,0.5,0.3120689655172414,0.0853448275862069,0.052455357142857206,0.30948275862068964,0.060267857142857206
