family,dataset,condition,target,seed,exchangeable,alpha,apply_rate,joint_harm,acc_gain,blanket_joint_harm,blanket_acc_gain
ptbxl,ptbxl,drop11,hard,0,True,0.05,0.7152777777777778,0.001388888888888889,0.0001668716130101,0.09722222222222222,0.0020868893810477296
ptbxl,ptbxl,drop11,hard,0,True,0.1,0.7263888888888889,0.002777777777777778,0.0002857907606075294,0.09722222222222222,0.0020868893810477296
ptbxl,ptbxl,drop11,hard,0,True,0.2,0.7722222222222223,0.009722222222222222,0.00039285504836994445,0.09722222222222222,0.0020868893810477296
ptbxl,ptbxl,drop11,hard,0,True,0.3,0.8361111111111111,0.02638888888888889,-0.00017193972784468325,0.09722222222222222,0.0020868893810477296
ptbxl,ptbxl,drop11,hard,0,True,0.5,0.8847222222222222,0.034722222222222224,0.000824574802600786,0.09722222222222222,0.0020868893810477296
ptbxl,ptbxl,drop11,hard,1,True,0.05,0.4708333333333333,0.006944444444444444,-0.0018632310637801686,0.1763888888888889,-0.0006813649225271279
ptbxl,ptbxl,drop11,hard,1,True,0.1,0.5180555555555556,0.009722222222222222,-0.0017332187992270542,0.1763888888888889,-0.0006813649225271279
ptbxl,ptbxl,drop11,hard,1,True,0.2,0.5930555555555556,0.019444444444444445,-0.0013018255964977188,0.1763888888888889,-0.0006813649225271279
ptbxl,ptbxl,drop11,hard,1,True,0.3,0.7,0.03888888888888889,-0.0014958817644386002,0.1763888888888889,-0.0006813649225271279
ptbxl,ptbxl,drop11,hard,1,True,0.5,0.7763888888888889,0.059722222222222225,-0.0023657136998451733,0.1763888888888889,-0.0006813649225271279
ptbxl,ptbxl,drop11,hard,2,True,0.05,0.4513888888888889,0.004166666666666667,-0.0007419446949044062,0.20972222222222223,0.00044761264390658084
ptbxl,ptbxl,drop11,hard,2,True,0.1,0.5,0.006944444444444444,-0.0008012352000129619,0.20972222222222223,0.00044761264390658084
ptbxl,ptbxl,drop11,hard,2,True,0.2,0.5708333333333333,0.018055555555555554,-0.0006345026677717636,0.20972222222222223,0.00044761264390658084
ptbxl,ptbxl,drop11,hard,2,True,0.3,0.6569444444444444,0.03611111111111111,-0.0012441941735413797,0.20972222222222223,0.00044761264390658084
