bench,name,seed,cond,delta,target,gain,acc_gain,joint_harm,apply,flip_harm,flip_help
drugban,biosnap_random,s42,prot25,0.0,hard,0.12765104212237155,0.19279082468596398,0.16129619515747315,0.5436009466593846,0.1112324776988895,0.3040233023848534
drugban,biosnap_random,s42,prot25,0.02,hard,0.12765104212237155,0.19279082468596398,0.1592936464591298,0.5436009466593846,0.1112324776988895,0.3040233023848534
drugban,biosnap_random,s42,prot25,0.05,hard,0.12853421464989945,0.19279082468596398,0.1591115965774622,0.5499726925177498,0.1112324776988895,0.3040233023848534
drugban,biosnap_random,s42,prot25,0.1,hard,0.1292476992706072,0.19279082468596398,0.1578372474057892,0.558529036956126,0.1112324776988895,0.3040233023848534
drugban,biosnap_random,s42,prot25,0.2,hard,0.13219006106113274,0.19279082468596398,0.16511924267249226,0.591662115419625,0.1112324776988895,0.3040233023848534
drugban,biosnap_random,s42,scaffold_prot50,0.0,cross_mask,0.09014610393914568,0.11014017840888402,0.1709448388858547,0.4902603313307846,0.08228654651374477,0.1924267249226288
drugban,biosnap_random,s42,scaffold_prot50,0.02,cross_mask,0.09018574197362939,0.11014017840888402,0.16930638995084654,0.4920808301474604,0.08228654651374477,0.1924267249226288
drugban,biosnap_random,s42,scaffold_prot50,0.05,cross_mask,0.09018574197362939,0.11014017840888402,0.1665756417258329,0.4920808301474604,0.08228654651374477,0.1924267249226288
drugban,biosnap_random,s42,scaffold_prot50,0.1,cross_mask,0.09018574197362939,0.11014017840888402,0.16129619515747315,0.4920808301474604,0.08228654651374477,0.1924267249226288
drugban,biosnap_random,s42,scaffold_prot50,0.2,cross_mask,0.09284361138287689,0.11014017840888402,0.17549608592754415,0.5541598397961042,0.08228654651374477,0.1924267249226288
drugban,biosnap_random,s1,prot25,0.0,cross_mask,0.12062490223060052,0.16985253959584923,0.18823957764427454,0.5630802839978154,0.10467868195885673,0.274531221554706
drugban,biosnap_random,s1,prot25,0.02,cross_mask,0.12076661814653078,0.16985253959584923,0.18823957764427454,0.5669033315128346,0.10467868195885673,0.274531221554706
drugban,biosnap_random,s1,prot25,0.05,cross_mask,0.12100418121607892,0.16985253959584923,0.1878754778809394,0.5716366284361916,0.10467868195885673,0.274531221554706
drugban,biosnap_random,s1,prot25,0.1,cross_mask,0.12158005954984974,0.16985253959584923,0.1946113235026397,0.5920262151829602,0.10467868195885673,0.274531221554706
drugban,biosnap_random,s1,prot25,0.2,cross_mask,0.12254688291269289,0.16985253959584923,0.20080101947933734,0.6244310941197888,0.10467868195885673,0.274531221554706
drugban,biosnap_random,s1,scaffold_prot50,0.0,cross_mask,0.07129066212751511,0.10049153468050254,0.1591115965774622,0.4778809393773894,0.07318405243036592,0.1736755871108684
drugban,biosnap_random,s1,scaffold_prot50,0.02,cross_mask,0.07129066212751511,0.10049153468050254,0.15656289823411615,0.4778809393773894,0.07318405243036592,0.1736755871108684
drugban,biosnap_random,s1,scaffold_prot50,0.05,cross_mask,0.07348056410623516,0.10049153468050254,0.1662115419624977,0.5048243218641908,0.07318405243036592,0.1736755871108684
drugban,biosnap_random,s1,scaffold_prot50,0.1,cross_mask,0.07591704382455322,0.10049153468050254,0.1638448935008192,0.5204806116876024,0.07318405243036592,0.1736755871108684
drugban,biosnap_random,s1,scaffold_prot50,0.2,cross_mask,0.08305904874019987,0.10049153468050254,0.1855088294192609,0.6455488803932278,0.07318405243036592,0.1736755871108684
drugban,biosnap_random,s2,prot25,0.0,hard,0.13172394959208622,0.16220644456581101,0.1436373566357182,0.4909885308574549,0.1001274349171673,0.2623338794829783
drugban,biosnap_random,s2,prot25,0.02,hard,0.13172394959208622,0.16220644456581101,0.14199890770071,0.4909885308574549,0.1001274349171673,0.2623338794829783
drugban,biosnap_random,s2,prot25,0.05,hard,0.13597330597115842,0.16220644456581101,0.1489168032040779,0.5126524667758966,0.10376843255051885,0.2659748771163299
drugban,biosnap_random,s2,prot25,0.1,hard,0.1360328293072226,0.16202439468414342,0.1434553067540506,0.5142909157109048,0.104132532313854,0.2661569269979975
drugban,biosnap_random,s2,prot25,0.2,hard,0.14416631535967206,0.16202439468414342,0.16275259421081376,0.5792827234662298,0.10668123065720007,0.2687056253413435
drugban,biosnap_random,s2,scaffold_prot50,0.0,hard,0.09232831693458798,0.10340433278718364,0.14964500273074824,0.4576734025122884,0.07118150373202257,0.17458583651920626
drugban,biosnap_random,s2,scaffold_prot50,0.02,hard,0.09232831693458798,0.10340433278718364,0.1460040050973967,0.4576734025122884,0.07118150373202257,0.17458583651920626
drugban,biosnap_random,s2,scaffold_prot50,0.05,hard,0.09240586961075181,0.10340433278718364,0.1441835062807209,0.4624066994356454,0.07118150373202257,0.17458583651920626
drugban,biosnap_random,s2,scaffold_prot50,0.1,hard,0.09240586961075181,0.10340433278718364,0.1348989623156745,0.4624066994356454,0.07118150373202257,0.17458583651920626
drugban,biosnap_random,s2,scaffold_prot50,0.2,hard,0.10392582252235771,0.10340433278718364,0.17859093391589295,0.6016748589113418,0.07118150373202257,0.17458583651920626
drugban,bindingdb_random,s42,prot25,0.0,hard,0.1204692890168716,0.13343495934959348,0.17560975609756097,0.7970528455284552,0.049898373983739835,0.18333333333333332
drugban,bindingdb_random,s42,prot25,0.02,hard,0.1204692890168716,0.13343495934959348,0.16951219512195123,0.7970528455284552,0.049898373983739835,0.18333333333333332
drugban,bindingdb_random,s42,prot25,0.05,hard,0.1211432157531045,0.1339430894308944,0.16239837398373982,0.8021341463414634,0.05050813008130081,0.18445121951219512
drugban,bindingdb_random,s42,prot25,0.1,hard,0.1222778357582095,0.13455284552845537,0.14268292682926828,0.8135162601626016,0.05233739837398374,0.18689024390243902
drugban,bindingdb_random,s42,prot25,0.2,hard,0.13740119274517515,0.13079268292682933,0.16026422764227644,0.9563008130081301,0.07063008130081301,0.20142276422764227
drugban,bindingdb_random,s42,scaffold_prot50,0.0,hard,0.08871623320972688,0.14004065040650404,0.16869918699186992,0.8382113821138212,0.04441056910569106,0.18445121951219512
drugban,bindingdb_random,s42,scaffold_prot50,0.02,hard,0.08871623320972688,0.14004065040650404,0.1654471544715447,0.8382113821138212,0.04441056910569106,0.18445121951219512
drugban,bindingdb_random,s42,scaffold_prot50,0.05,hard,0.08942804730590215,0.14034552845528458,0.16239837398373982,0.845020325203252,0.04542682926829268,0.18577235772357722
drugban,bindingdb_random,s42,scaffold_prot50,0.1,hard,0.0899409314773465,0.14004065040650404,0.14878048780487804,0.8528455284552846,0.04695121951219512,0.18699186991869918
drugban,bindingdb_random,s42,scaffold_prot50,0.2,hard,0.1015308451639807,0.13953252032520325,0.13414634146341464,0.9600609756097561,0.051727642276422764,0.191260162601626
drugban,bindingdb_random,s1,prot25,0.0,cross_mask,0.12894154125099133,0.15477642276422765,0.1290650406504065,0.5798780487804878,0.06646341463414634,0.221239837398374
drugban,bindingdb_random,s1,prot25,0.02,cross_mask,0.13041897800847357,0.1535569105691057,0.1323170731707317,0.6005081300813008,0.06910569105691057,0.22266260162601625
drugban,bindingdb_random,s1,prot25,0.05,cross_mask,0.1315765007098133,0.15243902439024393,0.13323170731707318,0.6183943089430894,0.07134146341463414,0.22378048780487805
drugban,bindingdb_random,s1,prot25,0.1,cross_mask,0.13645801033294735,0.14949186991869923,0.14573170731707316,0.6875,0.07804878048780488,0.22754065040650406
drugban,bindingdb_random,s1,prot25,0.2,cross_mask,0.1415722292292554,0.14735772357723576,0.1565040650406504,0.9217479674796748,0.08211382113821138,0.22947154471544715
drugban,bindingdb_random,s1,scaffold_prot50,0.0,cross_mask,0.10123732454959589,0.11758130081300822,0.1339430894308943,0.4655487804878049,0.06310975609756098,0.1806910569105691
