condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,threshold,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,policy,seed,base_accuracy,gate_accuracy,blanket_accuracy
full,hard,0.75,0.5560876955402717,0.27452113753179075,0.26540629946467,0.7132807899485842,0.19654122034672944,0.20311751676677567,0.2563237774030354,0.7537942664418212,0.13041879209308455,0.005923026004799318,0.7341202922990444,0.13659359190556492,0.1860643185298622,0.6335159907702159,2371,2371,2371,1779,0.2,0.05,3,True,selected,0,0.551433389544688,0.7577290612703766,0.7532321528948848
full,hard,0.75,0.5560876955402717,0.27452113753179075,0.26540629946467,0.7132807899485842,0.19654122034672944,0.20311751676677567,0.2563237774030354,0.7537942664418212,0.13041879209308455,0.005923026004799318,0.7341202922990444,0.13659359190556492,0.1860643185298622,0.6335159907702159,2371,2371,2371,1779,0.2,0.05,3,True,hard,0,0.551433389544688,0.7577290612703766,0.7532321528948848
full,cross_mask,0.8250000000000001,0.5560876955402717,0.01357888558877407,0.005531150514877181,0.7132807899485842,0.0013333157916416774,0.028442625719571357,0.42158516020236086,0.5756042720629567,0.13041879209308455,0.005923026004799318,0.36031478358628444,0.1017425519955031,0.2823712948517941,0.49495616859235547,2371,2371,2371,1779,0.2,0.05,5,True,cross_mask,0,0.551433389544688,0.5587408656548623,0.5666104553119731
prot50,hard,0.8250000000000001,0.4967770948883226,0.3205297912289215,0.30406591647632425,0.7371460504104871,0.20150785436873847,0.2123486170955498,0.25744800449690836,0.732433951658235,0.14667532807096204,0.006084541815366899,0.7127599775154582,0.1405283867341203,0.1971608832807571,0.5900145936312534,2371,2371,2371,1779,0.2,0.05,5,True,selected,0,0.5368184373243395,0.7419898819561551,0.7335581787521079
prot50,hard,0.8250000000000001,0.4967770948883226,0.3205297912289215,0.30406591647632425,0.7371460504104871,0.20150785436873847,0.2123486170955498,0.25744800449690836,0.732433951658235,0.14667532807096204,0.006084541815366899,0.7127599775154582,0.1405283867341203,0.1971608832807571,0.5900145936312534,2371,2371,2371,1779,0.2,0.05,5,True,hard,0,0.5368184373243395,0.7419898819561551,0.7335581787521079
prot50,cross_mask,1.0,0.4967770948883226,0.06806973772132857,0.06587645996204156,0.7371460504104871,0.03823043202483542,0.051065980101964094,0.4092186621697583,0.568858909499719,0.14667532807096204,0.006084541815366899,0.31534569983136596,0.13827993254637436,0.4385026737967914,0.5159816351674047,2371,2371,2371,1779,0.2,0.05,8,True,cross_mask,0,0.5368184373243395,0.5508712759977515,0.568858909499719
prot25,hard,0.775,0.5029167481814787,0.3081653704752927,0.2865857531587519,0.7309995822469241,0.1753193849749285,0.19940175532950602,0.2450815064643058,0.7431141090500281,0.1290054025127611,0.006064710800942838,0.6975829117481731,0.13659359190556492,0.19580983078162773,0.660020223901693,2371,2371,2371,1779,0.2,0.05,3,True,selected,0,0.5289488476672288,0.7307476110174255,0.7425519955030916
prot25,hard,0.775,0.5029167481814787,0.3081653704752927,0.2865857531587519,0.7309995822469241,0.1753193849749285,0.19940175532950602,0.2450815064643058,0.7431141090500281,0.1290054025127611,0.006064710800942838,0.6975829117481731,0.13659359190556492,0.19580983078162773,0.660020223901693,2371,2371,2371,1779,0.2,0.05,3,True,hard,0,0.5289488476672288,0.7307476110174255,0.7425519955030916
prot25,cross_mask,1.0,0.5029167481814787,0.06090299779719455,0.04653013676703355,0.7309995822469241,0.020475998330453816,0.045824107127725826,0.4007869589657111,0.5508712759977515,0.1314408562441037,0.006071082911440086,0.4345137717818999,0.1905564924114671,0.4385510996119017,0.5164718479055507,2371,2371,2371,1779,0.2,0.05,5,True,cross_mask,0,0.5289488476672288,0.5474985947161327,0.5508712759977515
scaffold,hard,0.775,0.5399718996211784,0.3279378996872372,0.3166208913358859,0.7331271193138738,0.27089620183001845,0.28259968649083533,0.20685778527262508,0.7976391231028668,0.15214328326995782,0.006015522072346079,0.7127599775154582,0.09050028105677346,0.12697160883280756,0.6534588217066377,2371,2371,2371,1779,0.2,0.05,3,True,selected,0,0.537380550871276,0.792017987633502,0.7976391231028668
