condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,threshold,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,policy,seed,base_accuracy,gate_accuracy,blanket_accuracy
full,hard,0.0,0.5560876955402717,0.0,0.0,0.7132807899485842,0.0,0.0,0.0,0.5008431703204047,0.12658416699741945,0.005940787149091193,1.0,0.0,0.0,-inf,12000,3557,3557,1779,0.2,0.05,3,True,selected,0,0.551433389544688,0.551433389544688,0.551433389544688
full,hard,0.0,0.5560876955402717,0.0,0.0,0.7132807899485842,0.0,0.0,0.0,0.5008431703204047,0.12658416699741945,0.005940787149091193,1.0,0.0,0.0,-inf,12000,3557,3557,1779,0.2,0.05,3,True,hard,0,0.551433389544688,0.551433389544688,0.551433389544688
full,cross_mask,0.0,0.5560876955402717,0.0,0.0037361308369898705,0.7132807899485842,0.012138185173587349,0.024648268192673038,0.40753232152894886,0.5053400786958966,0.12658416699741945,0.005940787149091193,0.5446880269814502,0.18043844856661045,0.33126934984520123,0.49692221002952186,12000,3557,3557,1779,0.2,0.05,3,True,cross_mask,0,0.551433389544688,0.551433389544688,0.551433389544688
prot50,cross_mask,0.6000000000000001,0.4967770948883226,0.01562543668649269,0.005750922917053092,0.7371460504104871,0.01188352901791849,0.02263942382132974,0.3456998313659359,0.521079258010118,0.1429839686881713,0.006148351065492317,0.37155705452501403,0.16469926925238898,0.443267776096823,0.5097210087737498,12000,3557,3557,1779,0.2,0.05,50,True,selected,0,0.5368184373243395,0.5340078695896571,0.5345699831365935
prot50,hard,0.4,0.4967770948883226,0.017635147323731115,0.0,0.7371460504104871,0.0,0.021756954982692315,0.3546936481169196,0.5306351883080382,0.1429839686881713,0.006148351065492317,0.0,0.0,0.0,0.5863665648380146,12000,3557,3557,1779,0.2,0.05,50,True,hard,0,0.5368184373243395,0.5368184373243395,0.5424395727937044
prot50,cross_mask,0.6000000000000001,0.4967770948883226,0.01562543668649269,0.005750922917053092,0.7371460504104871,0.01188352901791849,0.02263942382132974,0.3456998313659359,0.521079258010118,0.1429839686881713,0.006148351065492317,0.37155705452501403,0.16469926925238898,0.443267776096823,0.5097210087737498,12000,3557,3557,1779,0.2,0.05,50,True,cross_mask,0,0.5368184373243395,0.5340078695896571,0.5345699831365935
prot25,cross_mask,0.65,0.5029167481814787,0.03265081087123878,0.03319325489279423,0.7309995822469241,0.01709840220977218,0.040004913546132934,0.40753232152894886,0.5553681843732434,0.13544070312211662,0.006036449027208947,0.2962338392355256,0.1315345699831366,0.444022770398482,0.515350468250863,12000,3557,3557,1779,0.2,0.05,50,True,selected,0,0.5289488476672288,0.5491849353569421,0.5441259134345138
prot25,hard,0.4,0.5029167481814787,0.033374916473783545,-0.0007736496700874174,0.7309995822469241,-0.00028714200324114146,0.02428387859588207,0.3580663293985385,0.5486228218100057,0.13544070312211662,0.006036449027208947,0.0005621135469364812,0.0005621135469364812,1.0,0.596668135314655,12000,3557,3557,1779,0.2,0.05,50,True,hard,0,0.5289488476672288,0.5283867341202922,0.5463743676222597
prot25,cross_mask,0.65,0.5029167481814787,0.03265081087123878,0.03319325489279423,0.7309995822469241,0.01709840220977218,0.040004913546132934,0.40753232152894886,0.5553681843732434,0.13544070312211662,0.006036449027208947,0.2962338392355256,0.1315345699831366,0.444022770398482,0.515350468250863,12000,3557,3557,1779,0.2,0.05,50,True,cross_mask,0,0.5289488476672288,0.5491849353569421,0.5441259134345138
scaffold,cross_mask,0.675,0.5399718996211784,0.026905604577363684,0.039529178915061136,0.7331271193138738,0.0316222656800752,0.05055687887663075,0.4480044969083755,0.5682967959527825,0.15056644874154246,0.00596316930804387,0.18324901630129287,0.06857785272625071,0.37423312883435583,0.5230497710979303,12000,3557,3557,1779,0.2,0.05,50,True,selected,0,0.537380550871276,0.5593029792017987,0.5576166385609893
scaffold,hard,0.45,0.5399718996211784,0.028075606787791307,0.004035935963657589,0.7331271193138738,0.0008083514190053562,0.03282702101323622,0.37380550871275997,0.5671725688589095,0.15056644874154246,0.00596316930804387,0.047217537942664416,0.021922428330522766,0.4642857142857143,0.5708741074973845,12000,3557,3557,1779,0.2,0.05,50,True,hard,0,0.537380550871276,0.5430016863406408,0.5519955030916245
scaffold,cross_mask,0.675,0.5399718996211784,0.026905604577363684,0.039529178915061136,0.7331271193138738,0.0316222656800752,0.05055687887663075,0.4480044969083755,0.5682967959527825,0.15056644874154246,0.00596316930804387,0.18324901630129287,0.06857785272625071,0.37423312883435583,0.5230497710979303,12000,3557,3557,1779,0.2,0.05,50,True,cross_mask,0,0.537380550871276,0.5593029792017987,0.5576166385609893
scaffold_prot50,cross_mask,0.8,0.5224720457126597,0.056744472025386794,0.05431363681403689,0.7512287644190614,0.037341598944180474,0.07018539756037172,0.42945474985947163,0.5637998875772906,0.15694248714184178,0.006301597608771214,0.42776840921866216,0.16582349634626195,0.3876478318002628,0.4973265121078198,12000,3557,3557,1779,0.2,0.05,50,True,selected,0,0.5278246205733558,0.5756042720629567,0.5756042720629567
scaffold_prot50,hard,0.525,0.5224720457126597,0.04789895042798442,0.04221853253012653,0.7512287644190614,0.008243148253002694,0.043027409543140396,0.3872962338392355,0.5649241146711635,0.15694248714184178,0.006301597608771214,0.3962900505902192,0.14502529510961215,0.3659574468085106,0.5409599055633264,12000,3557,3557,1779,0.2,0.05,50,True,hard,0,0.5278246205733558,0.5694210230466554,0.5705452501405284
scaffold_prot50,cross_mask,0.8,0.5224720457126597,0.056744472025386794,0.05431363681403689,0.7512287644190614,0.037341598944180474,0.07018539756037172,0.42945474985947163,0.5637998875772906,0.15694248714184178,0.006301597608771214,0.42776840921866216,0.16582349634626195,0.3876478318002628,0.4973265121078198,12000,3557,3557,1779,0.2,0.05,50,True,cross_mask,0,0.5278246205733558,0.5756042720629567,0.5756042720629567
