condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,threshold,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,policy,seed,base_accuracy,gate_accuracy,blanket_accuracy
full,cross_mask,0.2,0.962067515786258,0.0016607008974280912,0.0006119447181700544,0.37259501252105226,0.056369034613007574,0.13383181697297686,0.3116869918699187,0.8690040650406504,0.024341656858318222,0.0021105417617220137,0.25091463414634146,0.17682926829268292,0.7047387606318347,0.0935417441762819,12000,2460,2460,9840,0.2,0.05,3,True,selected,0,0.9054878048780488,0.9073170731707317,0.9073170731707317
full,hard,0.15000000000000002,0.962067515786258,0.0021099215331490395,0.0019662475558396286,0.37259501252105226,0.0732341579093365,0.13317178914773983,0.28709349593495936,0.8719512195121951,0.023591072275458744,0.002090023968406528,0.263109756097561,0.18445121951219512,0.7010428736964078,0.09688640365826931,12000,2460,2460,9840,0.2,0.05,3,True,hard,0,0.9054878048780488,0.9077235772357723,0.9077235772357723
full,cross_mask,0.2,0.962067515786258,0.0016607008974280912,0.0006119447181700544,0.37259501252105226,0.056369034613007574,0.13383181697297686,0.3116869918699187,0.8690040650406504,0.024341656858318222,0.0021105417617220137,0.25091463414634146,0.17682926829268292,0.7047387606318347,0.0935417441762819,12000,2460,2460,9840,0.2,0.05,3,True,cross_mask,0,0.9054878048780488,0.9073170731707317,0.9073170731707317
prot50,hard,0.55,0.9167336932377107,0.026848686057843185,0.01598454944947547,0.4646462228501458,0.07710548320938006,0.1566026184084321,0.3223577235772358,0.8482723577235772,0.05375003910652904,0.0027091590666465724,0.22276422764227644,0.06585365853658537,0.2956204379562044,0.3225326963499881,12000,2460,2460,9840,0.2,0.05,5,True,selected,0,0.845020325203252,0.8789634146341463,0.8786585365853659
prot50,hard,0.55,0.9167336932377107,0.026848686057843185,0.01598454944947547,0.4646462228501458,0.07710548320938006,0.1566026184084321,0.3223577235772358,0.8482723577235772,0.05375003910652904,0.0027091590666465724,0.22276422764227644,0.06585365853658537,0.2956204379562044,0.3225326963499881,12000,2460,2460,9840,0.2,0.05,5,True,hard,0,0.845020325203252,0.8789634146341463,0.8786585365853659
prot50,cross_mask,0.6000000000000001,0.9167336932377107,0.025735925782322977,0.016119539133045313,0.4646462228501458,0.07849048462329442,0.15363735028564068,0.3776422764227642,0.8510162601626017,0.05375003910652904,0.0027091590666465724,0.23130081300813007,0.07886178861788617,0.3409490333919156,0.27480287745405385,12000,2460,2460,9840,0.2,0.05,5,True,cross_mask,0,0.845020325203252,0.8757113821138212,0.8758130081300813
prot25,cross_mask,0.8500000000000001,0.7571158634631499,0.15043514697145477,0.1315765007098133,0.8506218296105795,0.38528374218481587,0.4726969567993341,0.2708333333333333,0.8227642276422764,0.1500454273777404,0.004090337373121341,0.6183943089430894,0.13323170731707318,0.21544782251437963,0.3494492988423671,12000,2460,2460,9840,0.2,0.05,3,True,selected,0,0.6813008130081301,0.833739837398374,0.8286585365853658
prot25,hard,0.8250000000000001,0.7571158634631499,0.14898448678633625,0.12854389425186608,0.8506218296105795,0.3591187154802436,0.44662877960053937,0.3126016260162602,0.823069105691057,0.14752712942121096,0.0040961645042490395,0.776219512195122,0.15030487804878048,0.19363707776904948,0.39321515461604933,12000,2460,2460,9840,0.2,0.05,5,True,hard,0,0.6813008130081301,0.8359756097560975,0.8345528455284553
prot25,cross_mask,0.8500000000000001,0.7571158634631499,0.15043514697145477,0.1315765007098133,0.8506218296105795,0.38528374218481587,0.4726969567993341,0.2708333333333333,0.8227642276422764,0.1500454273777404,0.004090337373121341,0.6183943089430894,0.13323170731707318,0.21544782251437963,0.3494492988423671,12000,2460,2460,9840,0.2,0.05,3,True,cross_mask,0,0.6813008130081301,0.833739837398374,0.8286585365853658
scaffold,hard,0.75,0.8644023945833165,0.0694764358500587,0.06015146259683202,0.7844402952132047,0.33375918126507076,0.45206995692804347,0.3721544715447154,0.853150406504065,0.10346100728112512,0.003667622771718537,0.3925813008130081,0.1318089430894309,0.3357494175511261,0.21057105531827108,12000,2460,2460,9840,0.2,0.05,8,True,selected,0,0.7857723577235772,0.866260162601626,0.866260162601626
scaffold,hard,0.75,0.8644023945833165,0.0694764358500587,0.06015146259683202,0.7844402952132047,0.33375918126507076,0.45206995692804347,0.3721544715447154,0.853150406504065,0.10346100728112512,0.003667622771718537,0.3925813008130081,0.1318089430894309,0.3357494175511261,0.21057105531827108,12000,2460,2460,9840,0.2,0.05,8,True,hard,0,0.7857723577235772,0.866260162601626,0.866260162601626
scaffold,cross_mask,0.7250000000000001,0.8644023945833165,0.07161613514531984,0.06899205233870587,0.7844402952132047,0.39471119655883075,0.46309804327724424,0.26189024390243903,0.8600609756097561,0.10256558274390602,0.003653740502296386,0.4557926829268293,0.1678861788617886,0.3683389074693422,0.15856193101239824,12000,2460,2460,9840,0.2,0.05,3,True,cross_mask,0,0.7857723577235772,0.8703252032520326,0.8703252032520326
scaffold_prot50,cross_mask,0.8,0.8038514119043958,0.1179287073973666,0.1080168419106059,0.8298841866491606,0.4042734243486578,0.47812149521874336,0.26260162601626014,0.8425813008130081,0.12368122042331618,0.00393935620256523,0.5727642276422764,0.1730691056910569,0.3021646557842441,0.17990624894616605,12000,2460,2460,9840,0.2,0.05,3,True,selected,0,0.7339430894308943,0.8501016260162602,0.8501016260162602
