condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,q_hat,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable
full,hard,0.75,0.9053861788617886,-0.010162601626016232,0.0013211382113821335,0.411472455720339,0.007076185433890092,0.10289208188110861,0.6033536585365854,0.8489837398373984,0.03137383718644295,0.0022581564823041154,0.32977642276422764,0.01016260162601626,0.030816640986132512,0.360004725703379,12000,2460,2460,9840,0.2,0.05,50,True
full,cross_mask,0.725,0.9053861788617886,-0.007520325203252076,0.0015243902439023849,0.411472455720339,0.010688529842818983,0.10974901887895137,0.6069105691056911,0.8512195121951219,0.03137383718644295,0.0022581564823041154,0.32164634146341464,0.007723577235772358,0.02401263823064771,0.34960924398514065,12000,2460,2460,9840,0.2,0.05,50,True
prot50,hard,0.775,0.8255081300813009,0.026219512195121863,0.03079268292682924,0.5725707158406584,0.07196711174305201,0.18682722970085486,0.6201219512195122,0.8142276422764227,0.08195548676059924,0.003244855890300679,0.3018292682926829,0.028658536585365855,0.09494949494949495,0.44931561792064,12000,2460,2460,9840,0.2,0.05,50,True
prot50,cross_mask,0.775,0.8255081300813009,0.02581300813008125,0.028353658536585336,0.5725707158406584,0.06508095553248297,0.18575732508709822,0.6253048780487804,0.8166666666666667,0.08195548676059924,0.003244855890300679,0.28983739837398376,0.026422764227642278,0.091164095371669,0.4430801979008845,12000,2460,2460,9840,0.2,0.05,50,True
prot25,hard,0.85,0.6482723577235773,0.1352642276422764,0.13546747967479666,1.0274800133697393,0.39882414468174326,0.5356593904870383,0.5247967479674797,0.7574186991869919,0.18793797797013,0.004572384868052394,0.42784552845528456,0.0815040650406504,0.19049881235154395,0.5100706641726862,12000,2460,2460,9840,0.2,0.05,50,True
prot25,cross_mask,0.825,0.6482723577235773,0.13556910569105685,0.13343495934959348,1.0274800133697393,0.3658435110882449,0.5342074288785971,0.5239837398373983,0.7589430894308943,0.18793797797013,0.004572384868052394,0.401219512195122,0.06829268292682927,0.1702127659574468,0.5112144535395035,12000,2460,2460,9840,0.2,0.05,50,True
scaffold,hard,0.775,0.7843495934959349,0.05132113821138218,0.05376016260162608,0.916660697918774,0.23230427453419525,0.5306814759409229,0.5373983739837398,0.8141260162601626,0.11421145422699454,0.0038600854213809623,0.37886178861788616,0.03546747967479675,0.09361587982832618,0.4552101456584247,12000,2460,2460,9840,0.2,0.05,50,True
scaffold,cross_mask,0.775,0.7843495934959349,0.05243902439024395,0.05355691056910572,0.916660697918774,0.23622344271787302,0.5310967413234737,0.5447154471544715,0.8170731707317073,0.11421145422699454,0.0038600854213809623,0.37296747967479676,0.0366869918699187,0.09836512261580381,0.4589647047420694,12000,2460,2460,9840,0.2,0.05,50,True
scaffold_prot50,hard,0.825,0.7163617886178861,0.0896341463414635,0.09014227642276429,0.9707723894847949,0.33867970480627746,0.5256490004499226,0.5467479674796748,0.7841463414634147,0.14798511661199257,0.004216788386925422,0.4056910569105691,0.06910569105691057,0.17034068136272545,0.5038161302355247,12000,2460,2460,9840,0.2,0.05,50,True
scaffold_prot50,cross_mask,0.8,0.7163617886178861,0.0915650406504066,0.09126016260162606,0.9707723894847949,0.32959973083151095,0.5256448869434992,0.5417682926829268,0.7871951219512195,0.14798511661199257,0.004216788386925422,0.39959349593495935,0.06260162601626017,0.15666327568667346,0.5008186658426873,12000,2460,2460,9840,0.2,0.05,50,True
