condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,threshold,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,policy,seed,base_accuracy,gate_accuracy,blanket_accuracy
full,hard,0.525,0.6002674316833609,0.0657249829816201,0.04638724107750647,0.6829977940244597,0.02524113604033443,0.03595047815700185,0.33517089305402425,0.6207276736493936,0.06587720630324238,0.008087093147708082,0.29768467475192945,0.0782800441014333,0.26296296296296295,0.646776370641423,1209,1209,1209,907,0.2,0.05,8,True,selected,0,0.557883131201764,0.587651598676957,0.619625137816979
full,hard,0.525,0.6002674316833609,0.0657249829816201,0.04638724107750647,0.6829977940244597,0.02524113604033443,0.03595047815700185,0.33517089305402425,0.6207276736493936,0.06587720630324238,0.008087093147708082,0.29768467475192945,0.0782800441014333,0.26296296296296295,0.646776370641423,1209,1209,1209,907,0.2,0.05,8,True,hard,0,0.557883131201764,0.587651598676957,0.619625137816979
full,cross_mask,0.775,0.6002674316833609,-0.007439463191675655,-0.0005251385782359952,0.7031981052680856,-0.0005044630030699036,0.003274674543439548,0.3947078280044101,0.5115766262403528,0.07620075739892075,0.008668004318398677,0.0011025358324145535,0.0011025358324145535,1.0,0.5876431522361876,1209,1209,1209,907,0.2,0.05,20,True,cross_mask,0,0.557883131201764,0.557883131201764,0.5181918412348401
prot50,hard,0.625,0.5710395798891374,0.07948555868909846,0.08002042205582027,0.696132999487639,0.033568705024403636,0.03786835055431634,0.3572216097023153,0.6019845644983461,0.07633912754403269,0.008244659518007218,0.5214994487320838,0.17861080485115766,0.34249471458773784,0.5849764019637517,1209,1209,1209,907,0.2,0.05,12,True,selected,0,0.5303197353914002,0.5942668136714443,0.6119073869900772
prot50,hard,0.625,0.5710395798891374,0.07948555868909846,0.08002042205582027,0.696132999487639,0.033568705024403636,0.03786835055431634,0.3572216097023153,0.6019845644983461,0.07633912754403269,0.008244659518007218,0.5214994487320838,0.17861080485115766,0.34249471458773784,0.5849764019637517,1209,1209,1209,907,0.2,0.05,12,True,hard,0,0.5303197353914002,0.5942668136714443,0.6119073869900772
prot50,cross_mask,1.0,0.5710395798891374,-0.003486336672177459,0.013045803753768292,0.696132999487639,0.0044460745413187315,0.0030214600931669027,0.3770672546857773,0.5071664829106945,0.07633912754403269,0.008244659518007218,0.5909592061742006,0.20066152149944874,0.33955223880597013,0.4967448541051,1209,1209,1209,907,0.2,0.05,50,True,cross_mask,0,0.5303197353914002,0.5082690187431091,0.5071664829106945
prot25,hard,0.525,0.5714382962170573,0.08395409899834672,0.07996207332490513,0.7077628782646166,0.035371652954356195,0.05141079156849433,0.33517089305402425,0.6052921719955898,0.08559171604830011,0.008474767039417377,0.4553472987872106,0.15104740904079383,0.33171912832929784,0.6159622094429101,1209,1209,1209,907,0.2,0.05,5,True,selected,0,0.503858875413451,0.5755237045203969,0.6152149944873209
prot25,hard,0.525,0.5714382962170573,0.08395409899834672,0.07996207332490513,0.7077628782646166,0.035371652954356195,0.05141079156849433,0.33517089305402425,0.6052921719955898,0.08559171604830011,0.008474767039417377,0.4553472987872106,0.15104740904079383,0.33171912832929784,0.6159622094429101,1209,1209,1209,907,0.2,0.05,5,True,hard,0,0.503858875413451,0.5755237045203969,0.6152149944873209
prot25,cross_mask,1.0,0.5714382962170573,-0.00885928231060984,-0.014275989497228525,0.7077628782646166,0.007204366185310889,0.01408317288646889,0.43329658213891953,0.49834619625137816,0.08559171604830011,0.008474767039417377,0.3980154355016538,0.19294377067254687,0.48476454293628807,0.4974411764030658,1209,1209,1209,907,0.2,0.05,35,True,cross_mask,0,0.503858875413451,0.49834619625137816,0.49834619625137816
scaffold,hard,0.45,0.5695322376738305,0.11112029563357007,0.0659243411455801,0.6877006095709204,0.028939438996623386,0.044292312653418604,0.3131201764057332,0.6317530319735392,0.05612014783136801,0.008250101532287807,0.24917309812568908,0.06615214994487321,0.26548672566371684,0.6542759034146918,1209,1209,1209,907,0.2,0.05,5,True,selected,0,0.5413450937155457,0.6097023153252481,0.6361631753031973
scaffold,hard,0.45,0.5695322376738305,0.11112029563357007,0.0659243411455801,0.6877006095709204,0.028939438996623386,0.044292312653418604,0.3131201764057332,0.6317530319735392,0.05612014783136801,0.008250101532287807,0.24917309812568908,0.06615214994487321,0.26548672566371684,0.6542759034146918,1209,1209,1209,907,0.2,0.05,5,True,hard,0,0.5413450937155457,0.6097023153252481,0.6361631753031973
scaffold,cross_mask,0.675,0.5695322376738305,0.04623650685597591,0.014305163862685988,0.7080430626320846,0.0025900563289927283,0.01600932343993991,0.3318632855567806,0.5192943770672547,0.06867656361958767,0.008849549396220928,0.4685777287761852,0.15766262403528114,0.33647058823529413,0.47850689412225506,1209,1209,1209,907,0.2,0.05,35,True,cross_mask,0,0.5413450937155457,0.5248070562293274,0.525909592061742
scaffold_prot50,hard,0.4,0.5478654089273558,0.1341680443450355,0.12322765729845375,0.703250229728382,0.054845596233044955,0.059189339587742223,0.33847850055126794,0.6295479603087101,0.06396193685026262,0.008465383120221341,0.6383682469680264,0.1631753031973539,0.2556131260794473,0.5807123639361789,1209,1209,1209,907,0.2,0.05,3,True,selected,0,0.5027563395810364,0.6339581036383682,0.6361631753031973
scaffold_prot50,hard,0.4,0.5478654089273558,0.1341680443450355,0.12322765729845375,0.703250229728382,0.054845596233044955,0.059189339587742223,0.33847850055126794,0.6295479603087101,0.06396193685026262,0.008465383120221341,0.6383682469680264,0.1631753031973539,0.2556131260794473,0.5807123639361789,1209,1209,1209,907,0.2,0.05,3,True,hard,0,0.5027563395810364,0.6339581036383682,0.6361631753031973
scaffold_prot50,cross_mask,1.0,0.5478654089273558,0.06310415248468348,0.03410483321987745,0.75540581229811,0.022843184764903393,0.05962326655477813,0.4013230429988975,0.5148842337375965,0.08941939815374658,0.009432625869689772,0.43439911797133407,0.1587651598676957,0.36548223350253806,0.5072539438662751,1209,1209,1209,907,0.2,0.05,35,True,cross_mask,0,0.5027563395810364,0.5148842337375965,0.5148842337375965
