condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,threshold,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,policy,seed,base_accuracy,gate_accuracy,blanket_accuracy
full,hard,0.55,0.6190605854322668,0.013327822619857987,-0.0011329378586015793,0.7152923827937155,0.00012486175732266832,0.03573778215796706,0.36934950385887544,0.5722160970231532,0.05288159697149541,0.008975087540082778,0.06504961411245866,0.025358324145534728,0.3898305084745763,0.6088504881057122,9766,1814,1814,907,0.2,0.05,50,True,selected,0,0.5733186328555678,0.5711135611907387,0.5953693495038589
full,hard,0.55,0.6190605854322668,0.013327822619857987,-0.0011329378586015793,0.7152923827937155,0.00012486175732266832,0.03573778215796706,0.36934950385887544,0.5722160970231532,0.05288159697149541,0.008975087540082778,0.06504961411245866,0.025358324145534728,0.3898305084745763,0.6088504881057122,9766,1814,1814,907,0.2,0.05,50,True,hard,0,0.5733186328555678,0.5711135611907387,0.5953693495038589
full,cross_mask,0.775,0.6190605854322668,0.00944276961976076,-3.4036759700484254e-05,0.7152923827937155,-0.0002448997152640898,0.03340765485834779,0.3528114663726571,0.5832414553472988,0.05288159697149541,0.008975087540082778,0.005512679162072767,0.002205071664829107,0.4,0.639545325759137,9766,1814,1814,907,0.2,0.05,3,True,cross_mask,0,0.5733186328555678,0.5744211686879823,0.577728776185226
prot50,cross_mask,0.9750000000000001,0.5776913352134591,0.04450063211125166,0.04412622775454644,0.7435767380400654,0.038172289102051775,0.062271827381651164,0.4388092613009923,0.5711135611907387,0.07461841845146149,0.009375831476291134,0.38588754134509373,0.16538037486218302,0.42857142857142855,0.5313482680508946,9766,1814,1814,907,0.2,0.05,8,True,selected,0,0.545755237045204,0.577728776185226,0.5755237045203969
prot50,hard,0.5750000000000001,0.5776913352134591,0.036730526111057094,0.026976563259749176,0.6958023337085014,0.008261721467413888,0.01977562855018255,0.3484013230429989,0.5556780595369349,0.05273773792986601,0.008442289251763154,0.25689084895259096,0.09151047409040794,0.3562231759656652,0.5922625268842536,9766,1814,1814,907,0.2,0.05,50,True,hard,0,0.545755237045204,0.5700110253583242,0.5611907386990077
prot50,cross_mask,0.9750000000000001,0.5776913352134591,0.04450063211125166,0.04412622775454644,0.7435767380400654,0.038172289102051775,0.062271827381651164,0.4388092613009923,0.5711135611907387,0.07461841845146149,0.009375831476291134,0.38588754134509373,0.16538037486218302,0.42857142857142855,0.5313482680508946,9766,1814,1814,907,0.2,0.05,8,True,cross_mask,0,0.545755237045204,0.577728776185226,0.5755237045203969
prot25,cross_mask,0.9,0.5672712243508704,0.055066614801128067,0.03726052708353589,0.7896130114475023,0.06617100300276896,0.11469307553800745,0.45755237045203967,0.5766262403528115,0.10527336891045629,0.010028515513259778,0.4079382579933848,0.17640573318632854,0.43243243243243246,0.5531778818384643,9766,1814,1814,907,0.2,0.05,20,True,selected,0,0.5093715545755237,0.5689084895259096,0.5755237045203969
prot25,hard,0.675,0.5672712243508704,0.05087523096372648,0.036001166974618304,0.7121520129256931,0.022643891578986147,0.0380464551561103,0.3715545755237045,0.5843439911797134,0.06753626327582195,0.008747570931967163,0.34950385887541346,0.13891951488423374,0.39747634069400634,0.5677615670194629,9766,1814,1814,907,0.2,0.05,50,True,hard,0,0.5093715545755237,0.5589856670341786,0.565600882028666
prot25,cross_mask,0.9,0.5672712243508704,0.055066614801128067,0.03726052708353589,0.7896130114475023,0.06617100300276896,0.11469307553800745,0.45755237045203967,0.5766262403528115,0.10527336891045629,0.010028515513259778,0.4079382579933848,0.17640573318632854,0.43243243243243246,0.5531778818384643,9766,1814,1814,907,0.2,0.05,20,True,cross_mask,0,0.5093715545755237,0.5689084895259096,0.5755237045203969
scaffold,hard,0.6000000000000001,0.6103325877662161,0.014990761450938361,0.006082855197899417,0.6812282644923074,0.004723393941467143,0.00876056277045821,0.32083792723263505,0.577728776185226,0.05110843401354684,0.008151176070182167,0.19514884233737598,0.0639470782800441,0.327683615819209,0.6452518620296799,9766,1814,1814,907,0.2,0.05,50,True,selected,0,0.5600882028665931,0.5545755237045203,0.5711135611907387
scaffold,hard,0.6000000000000001,0.6103325877662161,0.014990761450938361,0.006082855197899417,0.6812282644923074,0.004723393941467143,0.00876056277045821,0.32083792723263505,0.577728776185226,0.05110843401354684,0.008151176070182167,0.19514884233737598,0.0639470782800441,0.327683615819209,0.6452518620296799,9766,1814,1814,907,0.2,0.05,50,True,hard,0,0.5600882028665931,0.5545755237045203,0.5711135611907387
scaffold,cross_mask,0.8500000000000001,0.6103325877662161,-0.0013517455995332162,0.002353398813575769,0.6812282644923074,0.004430043047259316,0.003949525854332524,0.298787210584344,0.5545755237045203,0.044242029172485646,0.008130302223795217,0.5644983461962514,0.15766262403528114,0.279296875,0.4811044579043812,9766,1814,1814,907,0.2,0.05,35,True,cross_mask,0,0.5600882028665931,0.5556780595369349,0.5556780595369349
scaffold_prot50,hard,0.775,0.5725420597102013,0.048064767091315685,0.04206943498978899,0.7053046821145981,0.022248896014929884,0.03081846929369933,0.34950385887541346,0.5766262403528115,0.06524834884256127,0.008576939369223548,0.3031973539140022,0.10253583241455347,0.3381818181818182,0.5973094053849868,9766,1814,1814,907,0.2,0.05,50,True,selected,0,0.5137816979051819,0.5633958103638368,0.5854465270121278
scaffold_prot50,hard,0.775,0.5725420597102013,0.048064767091315685,0.04206943498978899,0.7053046821145981,0.022248896014929884,0.03081846929369933,0.34950385887541346,0.5766262403528115,0.06524834884256127,0.008576939369223548,0.3031973539140022,0.10253583241455347,0.3381818181818182,0.5973094053849868,9766,1814,1814,907,0.2,0.05,50,True,hard,0,0.5137816979051819,0.5633958103638368,0.5854465270121278
scaffold_prot50,cross_mask,1.0,0.5725420597102013,0.011849654770008766,0.019882330059321163,0.7053046821145981,0.018430580420787452,0.022491460760196876,0.4421168687982359,0.5512679162072768,0.06524834884256127,0.008576939369223548,0.39250275633958104,0.16207276736493936,0.41292134831460675,0.5393082230292611,9766,1814,1814,907,0.2,0.05,35,True,cross_mask,0,0.5137816979051819,0.5534729878721059,0.5512679162072768
