condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,q_hat,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable
full,hard,1.0,0.5369349503858876,0.05071664829106948,0.027563395810363822,0.7686842325550678,0.01197679778351744,0.07642875585730906,0.4454244762954796,0.587651598676957,0.08288755928755545,0.009602498151840732,0.3947078280044101,0.11576626240352811,0.29329608938547486,0.62,9766,1814,1814,907,0.2,0.05,50,True
full,cross_mask,0.85,0.5369349503858876,0.01764057331863278,0.003307607497243681,0.7686842325550678,0.0028850228750060174,0.06692253202016794,0.3737596471885336,0.5622932745314223,0.08288755928755545,0.009602498151840732,0.3958103638368247,0.05622932745314223,0.14206128133704735,0.6064477978598618,9766,1814,1814,907,0.2,0.05,50,True
prot50,hard,0.975,0.4961411245865491,0.09261300992282245,0.07717750826901876,0.9239663740198469,0.0784749909250661,0.23261771205206958,0.4619625137816979,0.5865490628445424,0.14302034098642183,0.011344183351656044,0.36934950385887544,0.11797133406835722,0.3194029850746269,0.6258411617461416,9766,1814,1814,907,0.2,0.05,50,True
prot50,cross_mask,1.0,0.4961411245865491,0.06725468577728771,0.046306504961411254,0.9239663740198469,0.04871888218015625,0.22514970846673296,0.46306504961411243,0.5633958103638368,0.14302034098642183,0.011344183351656044,0.26681367144432194,0.0804851157662624,0.30165289256198347,0.6087719136062504,9766,1814,1814,907,0.2,0.05,50,True
prot25,hard,0.975,0.5016538037486218,0.06615214994487328,0.051819184123484074,1.1229233652871953,0.10316730975606385,0.42099893738627675,0.49393605292171994,0.5678059536934951,0.18507974524630372,0.01241109796293279,0.24476295479603086,0.08820286659316427,0.36036036036036034,0.629023610204411,9766,1814,1814,907,0.2,0.05,50,True
prot25,cross_mask,1.0,0.5016538037486218,0.05953693495038592,0.04520396912899671,1.1229233652871953,0.08320714563466895,0.42306136596272903,0.4994487320837927,0.5611907386990077,0.18507974524630372,0.01241109796293279,0.16427783902976847,0.05622932745314223,0.3422818791946309,0.6189998945927344,9766,1814,1814,907,0.2,0.05,50,True
scaffold,hard,0.775,0.5799338478500551,0.007717750826901959,0.004410143329658278,0.7355151774378571,0.001653152338493088,0.04684551784129227,0.42337375964718854,0.5788313120176406,0.07998260234672257,0.009041900835651522,0.38478500551267913,0.09481808158765159,0.24641833810888253,0.6207306771987131,9766,1814,1814,907,0.2,0.05,50,True
scaffold,cross_mask,0.4,0.5799338478500551,0.005512679162072764,0.007717750826901959,0.7355151774378571,0.009397992931450713,0.029464079860061786,0.20176405733186328,0.5678059536934951,0.07998260234672257,0.009041900835651522,0.6427783902976847,0.023153252480705624,0.036020583190394515,0.6163774385718421,9766,1814,1814,907,0.2,0.05,50,True
scaffold_prot50,hard,0.975,0.49503858875413453,0.07607497243660422,0.05733186328555673,0.8792214858817692,0.05364557712200023,0.18247269192766183,0.432194046306505,0.5722160970231532,0.13522265637836556,0.010924727620928653,0.3748621830209482,0.11245865490628446,0.3,0.6246980013433174,9766,1814,1814,907,0.2,0.05,50,True
scaffold_prot50,cross_mask,1.0,0.49503858875413453,0.07166482910694594,0.03969128996692395,0.8792214858817692,0.04127920234092745,0.18455037973842237,0.43991179713340683,0.5667034178610805,0.13522265637836556,0.010924727620928653,0.298787210584344,0.08379272326350606,0.28044280442804426,0.6073799215710609,9766,1814,1814,907,0.2,0.05,50,True
