condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,threshold,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,policy,seed,base_accuracy,gate_accuracy,blanket_accuracy
full,hard,0.275,0.9050256122684357,0.004880250713882317,0.0030207761630912655,0.7516603555846206,0.12211374525444618,0.3327056093434646,0.3750227562352084,0.8050245767340252,0.05521122261519425,0.003104742929234418,0.3087565993082104,0.18951392681594756,0.6137971698113207,0.1875331667518799,12000,1373,1374,5493,0.2,0.05,5,True,selected,0,0.833060258510832,0.8367012561441836,0.8367012561441836
full,hard,0.275,0.9050256122684357,0.004880250713882317,0.0030207761630912655,0.7516603555846206,0.12211374525444618,0.3327056093434646,0.3750227562352084,0.8050245767340252,0.05521122261519425,0.003104742929234418,0.3087565993082104,0.18951392681594756,0.6137971698113207,0.1875331667518799,12000,1373,1374,5493,0.2,0.05,5,True,hard,0,0.833060258510832,0.8367012561441836,0.8367012561441836
full,cross_mask,0.4,0.9050256122684357,0.0037382378441150887,0.0019361655305530912,0.7516603555846206,0.10685783459361785,0.3475854472953865,0.3934097942836337,0.8086655743673766,0.05521122261519425,0.003104742929234418,0.2998361551064992,0.18186783178590935,0.6065573770491803,0.18978381292296223,12000,1373,1374,5493,0.2,0.05,5,True,cross_mask,0,0.833060258510832,0.8383397050791916,0.8383397050791916
prot50,hard,0.7250000000000001,0.8339511033691004,0.04259564167216823,0.03699547675673376,1.0319238307902845,0.32295586305835344,0.5710284342360467,0.4554888039322774,0.7806298925905698,0.12725856684348033,0.004261195225297195,0.4434735117422174,0.1531039504824322,0.34523809523809523,0.2948412498832724,12000,1373,1374,5493,0.2,0.05,8,True,selected,0,0.7221918805752776,0.8057527762606954,0.8057527762606954
prot50,hard,0.7250000000000001,0.8339511033691004,0.04259564167216823,0.03699547675673376,1.0319238307902845,0.32295586305835344,0.5710284342360467,0.4554888039322774,0.7806298925905698,0.12725856684348033,0.004261195225297195,0.4434735117422174,0.1531039504824322,0.34523809523809523,0.2948412498832724,12000,1373,1374,5493,0.2,0.05,8,True,hard,0,0.7221918805752776,0.8057527762606954,0.8057527762606954
prot50,cross_mask,0.8,0.8339511033691004,0.04053035425001916,0.03588534665383403,1.0319238307902845,0.3259076652894447,0.5762293713874305,0.4045148370653559,0.7808119424722374,0.12725856684348033,0.004261195225297195,0.4607682505006372,0.1602038958674677,0.34768866060845516,0.29264043915326143,12000,1373,1374,5493,0.2,0.05,5,True,cross_mask,0,0.7221918805752776,0.796468232295649,0.796468232295649
prot25,hard,0.8500000000000001,0.6875187916099935,0.13069521665698924,0.12853421464989945,2.008679563338756,1.1049530689080798,1.4710686376162312,0.4560349535772802,0.7425814673220462,0.2635792348816137,0.005750072183606,0.5499726925177498,0.1591115965774622,0.2893081761006289,0.35738712251669197,12000,1373,1374,5493,0.2,0.05,8,True,selected,0,0.5514290915710904,0.7442199162570544,0.7442199162570544
prot25,hard,0.8500000000000001,0.6875187916099935,0.13069521665698924,0.12853421464989945,2.008679563338756,1.1049530689080798,1.4710686376162312,0.4560349535772802,0.7425814673220462,0.2635792348816137,0.005750072183606,0.5499726925177498,0.1591115965774622,0.2893081761006289,0.35738712251669197,12000,1373,1374,5493,0.2,0.05,8,True,hard,0,0.5514290915710904,0.7442199162570544,0.7442199162570544
prot25,cross_mask,0.9,0.6875187916099935,0.1299998939450583,0.12832488870859549,2.008679563338756,1.1011806443383982,1.4652459347784181,0.4567631531039505,0.7433096668487166,0.2635792348816137,0.005750072183606,0.5720007281995266,0.165665392317495,0.28962444302991724,0.35931605911928594,12000,1373,1374,5493,0.2,0.05,8,True,cross_mask,0,0.5514290915710904,0.7453122155470598,0.7453122155470598
scaffold,cross_mask,0.75,0.8207066308200963,0.050186789266179366,0.04229139655798686,1.1341366309239258,0.40971685812901354,0.6837593181898589,0.474604041507373,0.77535044602221,0.10590936869258365,0.004075468315780998,0.3959584926269798,0.1907882759876206,0.48183908045977014,0.2745832948734255,12000,1373,1374,5493,0.2,0.05,12,True,selected,0,0.7453122155470598,0.7910067358456218,0.7910067358456218
