condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,threshold,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,policy,seed,base_accuracy,gate_accuracy,blanket_accuracy
full,hard,0.4,0.9824756114008272,0.0015903164898399824,0.0012981028591979582,0.1954668136158405,0.016154447510421943,0.020534120371412376,0.08916666666666667,0.9266666666666666,0.017280933139774822,0.0038022325601540477,0.9675,0.07333333333333333,0.07579672695951765,0.49741732455713716,4197,300,300,1200,0.2,0.05,3,True,selected,0,0.9241666666666667,0.9316666666666666,0.93
full,hard,0.4,0.9824756114008272,0.0015903164898399824,0.0012981028591979582,0.1954668136158405,0.016154447510421943,0.020534120371412376,0.08916666666666667,0.9266666666666666,0.017280933139774822,0.0038022325601540477,0.9675,0.07333333333333333,0.07579672695951765,0.49741732455713716,4197,300,300,1200,0.2,0.05,3,True,hard,0,0.9241666666666667,0.9316666666666666,0.93
full,cross_mask,0.35000000000000003,0.9824756114008272,0.0013739660133069709,0.00021354073008450491,0.1954668136158405,0.0003907374106250009,0.014230590470868639,0.085,0.9275,0.017280933139774822,0.0038022325601540477,0.04583333333333333,0.0125,0.2727272727272727,0.6915981515210018,4197,300,300,1200,0.2,0.05,3,True,cross_mask,0,0.9241666666666667,0.9258333333333333,0.93
prot50,hard,0.42500000000000004,0.9732652625427082,0.0043719654738355596,0.002739502787268422,0.21676943205456137,0.013895488497286657,0.023682782592929812,0.10833333333333334,0.9133333333333333,0.017151449486557835,0.00380491689633996,0.9308333333333333,0.07416666666666667,0.07967770814682185,0.5568006915735498,4197,300,300,1200,0.2,0.05,3,True,selected,0,0.9075,0.9166666666666666,0.9208333333333333
prot50,hard,0.42500000000000004,0.9732652625427082,0.0043719654738355596,0.002739502787268422,0.21676943205456137,0.013895488497286657,0.023682782592929812,0.10833333333333334,0.9133333333333333,0.017151449486557835,0.00380491689633996,0.9308333333333333,0.07416666666666667,0.07967770814682185,0.5568006915735498,4197,300,300,1200,0.2,0.05,3,True,hard,0,0.9075,0.9166666666666666,0.9208333333333333
prot50,cross_mask,0.375,0.9732652625427082,0.003919596295630212,0.002048305160942232,0.21676943205456137,0.007029963595923971,0.01558609973648576,0.1025,0.915,0.017151449486557835,0.00380491689633996,0.885,0.035,0.03954802259887006,0.5574986567836454,4197,300,300,1200,0.2,0.05,3,True,cross_mask,0,0.9075,0.9166666666666666,0.9183333333333333
prot25,hard,0.65,0.9445693220643769,0.020435285919798596,0.01790089462326916,0.3012274075021804,0.0583354604219393,0.06575189117597321,0.125,0.9025,0.03679040228522356,0.004922054657907654,0.9475,0.09416666666666666,0.09938434476693052,0.5727787516114243,4197,300,300,1200,0.2,0.05,3,True,selected,0,0.8741666666666666,0.9125,0.9141666666666667
prot25,hard,0.65,0.9445693220643769,0.020435285919798596,0.01790089462326916,0.3012274075021804,0.0583354604219393,0.06575189117597321,0.125,0.9025,0.03679040228522356,0.004922054657907654,0.9475,0.09416666666666666,0.09938434476693052,0.5727787516114243,4197,300,300,1200,0.2,0.05,3,True,hard,0,0.8741666666666666,0.9125,0.9141666666666667
prot25,cross_mask,0.65,0.9445693220643769,0.01966260564646649,0.015181060061140061,0.3012274075021804,0.04894595621618467,0.05714835926605299,0.12916666666666668,0.9016666666666666,0.03679040228522356,0.004922054657907654,0.9041666666666667,0.06,0.0663594470046083,0.5923798506037057,4197,300,300,1200,0.2,0.05,3,True,cross_mask,0,0.8741666666666666,0.9116666666666666,0.915
scaffold,hard,0.6000000000000001,0.9622229590001798,0.009926834202481527,0.009387362884373252,0.3038726746824143,0.07342936176046133,0.0790846147891084,0.1075,0.9,0.04404807401275264,0.005252026699120025,0.9591666666666666,0.085,0.08861859252823631,0.630632056660549,4197,300,300,1200,0.2,0.05,3,True,selected,0,0.8775,0.9075,0.9066666666666666
scaffold,hard,0.6000000000000001,0.9622229590001798,0.009926834202481527,0.009387362884373252,0.3038726746824143,0.07342936176046133,0.0790846147891084,0.1075,0.9,0.04404807401275264,0.005252026699120025,0.9591666666666666,0.085,0.08861859252823631,0.630632056660549,4197,300,300,1200,0.2,0.05,3,True,hard,0,0.8775,0.9075,0.9066666666666666
scaffold,cross_mask,0.625,0.9622229590001798,0.010030794821075273,0.00803025534975721,0.3038726746824143,0.06469450370384107,0.07561453197532371,0.10666666666666667,0.8991666666666667,0.04404807401275264,0.005252026699120025,0.7508333333333334,0.09,0.11986681465038845,0.48265815853279675,4197,300,300,1200,0.2,0.05,3,True,cross_mask,0,0.8775,0.9058333333333334,0.9058333333333334
scaffold_prot50,hard,0.8,0.9461315410897321,0.01596497932026608,0.014706212911346883,0.4514057655942824,0.15425184791646795,0.1847180682685804,0.22166666666666668,0.8758333333333334,0.05108925850981618,0.0060474565354473415,0.9216666666666666,0.17333333333333334,0.18806509945750452,0.44858841736879185,4197,300,300,1200,0.2,0.05,12,True,selected,0,0.8583333333333333,0.8825,0.885
scaffold_prot50,hard,0.8,0.9461315410897321,0.01596497932026608,0.014706212911346883,0.4514057655942824,0.15425184791646795,0.1847180682685804,0.22166666666666668,0.8758333333333334,0.05108925850981618,0.0060474565354473415,0.9216666666666666,0.17333333333333334,0.18806509945750452,0.44858841736879185,4197,300,300,1200,0.2,0.05,12,True,hard,0,0.8583333333333333,0.8825,0.885
scaffold_prot50,cross_mask,0.65,0.9461315410897321,0.01580482377270276,0.011775647365581676,0.4514057655942824,0.09975120652126122,0.16272720951150232,0.135,0.8775,0.05108925850981618,0.0060474565354473415,0.9241666666666667,0.08833333333333333,0.09558160504959423,0.5668069965364331,4197,300,300,1200,0.2,0.05,3,True,cross_mask,0,0.8583333333333333,0.8791666666666667,0.8791666666666667
