family,dataset,condition,target,seed,alpha,delta,beta,base_metric,apply_rate,joint_harm,cond_harm,acc_gain,loss_gain,blanket_acc_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,q_hat,n_conf,n_test,exchangeable
dcl,dcl_condition_specialist,low_cost_accels_only,hard,0,0.05,0.05,0.925,0.510097,0.385191,0.011219,0.029126,0.200449,1.841893,0.237846,2.913752,0.398654,0.727749,0.833316,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,0,0.1,0.05,0.925,0.510097,0.457741,0.02543,0.055556,0.229619,2.141711,0.237846,2.913752,0.398654,0.727749,0.740765,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,0,0.15,0.05,0.925,0.510097,0.517577,0.047868,0.092486,0.237098,2.326656,0.237846,2.913752,0.398654,0.727749,0.666008,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,0,0.2,0.05,0.925,0.510097,0.538519,0.056096,0.104167,0.241586,2.384468,0.237846,2.913752,0.398654,0.727749,0.629007,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,0,0.3,0.05,0.925,0.510097,0.53104,0.062827,0.11831,0.234106,2.321509,0.237846,2.913752,0.398654,0.727749,0.536522,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,0,0.4,0.05,0.925,0.510097,0.444278,0.040389,0.090909,0.213912,1.957812,0.237846,2.913752,0.398654,0.727749,0.444005,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,0,0.5,0.05,0.925,0.510097,0.358265,0.02169,0.060543,0.18923,1.64061,0.237846,2.913752,0.398654,0.727749,0.333986,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,0,0.05,0.05,0.975,0.365744,0.495886,0.011219,0.022624,0.244577,1.622795,0.362752,3.601671,0.209424,0.727749,0.843999,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,0,0.1,0.05,0.975,0.365744,0.594615,0.026178,0.044025,0.301421,2.16276,0.362752,3.601671,0.209424,0.727749,0.746497,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,0,0.15,0.05,0.975,0.365744,0.65819,0.037397,0.056818,0.333583,2.509354,0.362752,3.601671,0.209424,0.727749,0.668446,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,0,0.2,0.05,0.975,0.365744,0.68362,0.044129,0.064551,0.34555,2.635255,0.362752,3.601671,0.209424,0.727749,0.62943,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,0,0.3,0.05,0.975,0.365744,0.704562,0.056096,0.079618,0.354525,2.725735,0.362752,3.601671,0.209424,0.727749,0.536295,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,0,0.4,0.05,0.975,0.365744,0.572177,0.027674,0.048366,0.311892,2.161417,0.362752,3.601671,0.209424,0.727749,0.43447,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,0,0.5,0.05,0.975,0.365744,0.478684,0.017951,0.0375,0.25804,1.638017,0.362752,3.601671,0.209424,0.727749,0.337,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,0,0.05,0.05,0.75,0.670157,0.228123,0.000748,0.003279,0.017203,0.033753,0.136126,1.084264,0.467464,0.768886,0.804984,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,0,0.1,0.05,0.75,0.670157,0.328347,0.007479,0.022779,0.086013,0.359439,0.136126,1.084264,0.467464,0.768886,0.699878,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,0,0.15,0.05,0.75,0.670157,0.378459,0.016455,0.043478,0.116679,0.57012,0.136126,1.084264,0.467464,0.768886,0.625702,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,0,0.2,0.05,0.75,0.670157,0.405385,0.032162,0.079336,0.116679,0.59023,0.136126,1.084264,0.467464,0.768886,0.559333,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,0,0.3,0.05,0.75,0.670157,0.371728,0.023186,0.062374,0.107704,0.524498,0.136126,1.084264,0.467464,0.768886,0.471134,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,0,0.4,0.05,0.75,0.670157,0.306657,0.009723,0.031707,0.078534,0.394476,0.136126,1.084264,0.467464,0.768886,0.375114,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,0,0.5,0.05,0.75,0.670157,0.259536,0.00374,0.014409,0.04712,0.219884,0.136126,1.084264,0.467464,0.768886,0.301119,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,0,0.05,0.05,0.925,0.598355,0.367988,0.006731,0.018293,0.103216,0.671814,0.166791,2.08785,0.388182,0.768886,0.808204,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,0,0.1,0.05,0.925,0.598355,0.436799,0.020942,0.047945,0.132386,0.944669,0.166791,2.08785,0.388182,0.768886,0.703983,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,0,0.15,0.05,0.925,0.598355,0.480927,0.035153,0.073095,0.145849,1.090342,0.166791,2.08785,0.388182,0.768886,0.648206,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,0,0.2,0.05,0.925,0.598355,0.512341,0.047868,0.093431,0.153328,1.205674,0.166791,2.08785,0.388182,0.768886,0.592998,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,0,0.3,0.05,0.925,0.598355,0.475692,0.038893,0.081761,0.151085,1.078708,0.166791,2.08785,0.388182,0.768886,0.499256,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,0,0.4,0.05,0.925,0.598355,0.385191,0.020194,0.052427,0.113687,0.706143,0.166791,2.08785,0.388182,0.768886,0.406733,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,0,0.5,0.05,0.925,0.598355,0.318624,0.012715,0.039906,0.075542,0.408046,0.166791,2.08785,0.388182,0.768886,0.315765,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,0,0.05,0.05,0.9,0.547494,0.326103,0.006731,0.020642,0.178758,1.331122,0.210172,2.370503,0.449514,0.73448,0.820379,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,0,0.1,0.05,0.9,0.547494,0.434555,0.026178,0.060241,0.234854,1.843485,0.210172,2.370503,0.449514,0.73448,0.720156,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,0,0.15,0.05,0.9,0.547494,0.493642,0.052356,0.106061,0.235602,2.003667,0.210172,2.370503,0.449514,0.73448,0.657982,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,0,0.2,0.05,0.9,0.547494,0.518325,0.062827,0.121212,0.238594,2.06365,0.210172,2.370503,0.449514,0.73448,0.621781,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,0,0.3,0.05,0.9,0.547494,0.530292,0.100224,0.188999,0.190726,1.907228,0.210172,2.370503,0.449514,0.73448,0.52221,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,0,0.4,0.05,0.9,0.547494,0.435303,0.060583,0.139175,0.204188,1.695985,0.210172,2.370503,0.449514,0.73448,0.416065,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,0,0.5,0.05,0.9,0.547494,0.362004,0.030666,0.084711,0.195961,1.512096,0.210172,2.370503,0.449514,0.73448,0.32401,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,0,0.05,0.05,0.95,0.496634,0.39641,0.007479,0.018868,0.237846,1.334622,0.246821,2.280891,0.412117,0.73448,0.8441,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,0,0.1,0.05,0.95,0.496634,0.486911,0.026178,0.053763,0.282723,1.738784,0.246821,2.280891,0.412117,0.73448,0.733996,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,0,0.15,0.05,0.95,0.496634,0.539267,0.050112,0.092926,0.281975,1.878564,0.246821,2.280891,0.412117,0.73448,0.665025,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,0,0.2,0.05,0.95,0.496634,0.551982,0.059088,0.107046,0.278983,1.896962,0.246821,2.280891,0.412117,0.73448,0.629406,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,0,0.3,0.05,0.95,0.496634,0.580404,0.094989,0.16366,0.244577,1.84386,0.246821,2.280891,0.412117,0.73448,0.524984,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,0,0.4,0.05,0.95,0.496634,0.48018,0.055348,0.115265,0.250561,1.634629,0.246821,2.280891,0.412117,0.73448,0.410994,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,0,0.5,0.05,0.95,0.496634,0.406881,0.027674,0.068015,0.242334,1.465429,0.246821,2.280891,0.412117,0.73448,0.31805,1336,1337,True
dcl,dcl_condition_specialist,severe_three_sensors,hard,0,0.05,0.05,0.825,0.688108,0.246821,0.005984,0.024242,0.038145,0.285937,0.107704,1.76807,0.507105,0.782349,0.818433,1336,1337,True
dcl,dcl_condition_specialist,severe_three_sensors,hard,0,0.1,0.05,0.825,0.688108,0.329843,0.013463,0.040816,0.087509,0.708198,0.107704,1.76807,0.507105,0.782349,0.703628,1336,1337,True
dcl,dcl_condition_specialist,severe_three_sensors,hard,0,0.15,0.05,0.825,0.688108,0.364248,0.019447,0.053388,0.108452,0.907845,0.107704,1.76807,0.507105,0.782349,0.636978,1336,1337,True
dcl,dcl_condition_specialist,severe_three_sensors,hard,0,0.2,0.05,0.825,0.688108,0.372476,0.027674,0.074297,0.106208,0.901345,0.107704,1.76807,0.507105,0.782349,0.572294,1336,1337,True
dcl,dcl_condition_specialist,severe_three_sensors,hard,0,0.3,0.05,0.825,0.688108,0.34181,0.028422,0.083151,0.090501,0.65246,0.107704,1.76807,0.507105,0.782349,0.481714,1336,1337,True
dcl,dcl_condition_specialist,severe_three_sensors,hard,0,0.4,0.05,0.825,0.688108,0.273747,0.008975,0.032787,0.068811,0.387641,0.107704,1.76807,0.507105,0.782349,0.396004,1336,1337,True
dcl,dcl_condition_specialist,severe_three_sensors,hard,0,0.5,0.05,0.825,0.688108,0.223635,0.002992,0.013378,0.035901,0.151657,0.107704,1.76807,0.507105,0.782349,0.306504,1336,1337,True
dcl,dcl_full_masked,severe_three_sensors,hard,0,0.05,0.05,0.975,0.529544,0.401645,0.008975,0.022346,0.223635,2.903248,0.257292,4.496457,0.408377,0.782349,0.819014,1336,1337,True
dcl,dcl_full_masked,severe_three_sensors,hard,0,0.1,0.05,0.975,0.529544,0.480927,0.020942,0.043546,0.271503,3.562521,0.257292,4.496457,0.408377,0.782349,0.702543,1336,1337,True
dcl,dcl_full_masked,severe_three_sensors,hard,0,0.15,0.05,0.975,0.529544,0.521316,0.034405,0.065997,0.284218,3.803249,0.257292,4.496457,0.408377,0.782349,0.629499,1336,1337,True
dcl,dcl_full_masked,severe_three_sensors,hard,0,0.2,0.05,0.975,0.529544,0.557218,0.063575,0.114094,0.263276,3.831225,0.257292,4.496457,0.408377,0.782349,0.6045,1336,1337,True
dcl,dcl_full_masked,severe_three_sensors,hard,0,0.3,0.05,0.975,0.529544,0.483171,0.056096,0.116099,0.224383,3.164142,0.257292,4.496457,0.408377,0.782349,0.489162,1336,1337,True
dcl,dcl_full_masked,severe_three_sensors,hard,0,0.4,0.05,0.975,0.529544,0.385191,0.024682,0.064078,0.202693,2.612775,0.257292,4.496457,0.408377,0.782349,0.390001,1336,1337,True
dcl,dcl_full_masked,severe_three_sensors,hard,0,0.5,0.05,0.975,0.529544,0.314884,0.008227,0.026128,0.174271,2.139516,0.257292,4.496457,0.408377,0.782349,0.312027,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,1,0.05,0.05,0.975,0.5273,0.357517,0.009723,0.027197,0.18175,1.05951,0.228871,1.865169,0.401645,0.752431,0.843979,1336,1337,True
