family,dataset,condition,target,seed,alpha,delta,beta,base_metric,apply_rate,joint_harm,cond_harm,acc_gain,loss_gain,blanket_acc_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,q_hat,n_conf,n_test,exchangeable
dcl,dcl_condition_specialist,low_cost_accels_only,hard,0,0.2,0.0,0.925,0.510097,0.506358,0.056096,0.110783,0.241586,2.383703,0.237846,2.913752,0.430815,0.727749,0.629007,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,0,0.2,0.01,0.925,0.510097,0.507105,0.056096,0.110619,0.241586,2.383696,0.237846,2.913752,0.430067,0.727749,0.629007,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,0,0.2,0.05,0.925,0.510097,0.538519,0.056096,0.104167,0.241586,2.384468,0.237846,2.913752,0.398654,0.727749,0.629007,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,0,0.2,0.1,0.925,0.510097,0.575168,0.056096,0.097529,0.241586,2.395722,0.237846,2.913752,0.366492,0.727749,0.629007,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,0,0.2,0.25,0.925,0.510097,0.67988,0.056096,0.082508,0.242334,2.399701,0.237846,2.913752,0.266268,0.727749,0.629007,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,0,0.2,0.5,0.925,0.510097,0.830965,0.056096,0.067507,0.241586,2.564418,0.237846,2.913752,0.15632,0.727749,0.629007,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,0,0.2,0.0,0.975,0.365744,0.643979,0.044877,0.069686,0.34555,2.627734,0.362752,3.601671,0.248317,0.727749,0.62943,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,0,0.2,0.01,0.975,0.365744,0.644727,0.044877,0.069606,0.34555,2.627732,0.362752,3.601671,0.247569,0.727749,0.62943,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,0,0.2,0.05,0.975,0.365744,0.68362,0.044129,0.064551,0.34555,2.635255,0.362752,3.601671,0.209424,0.727749,0.62943,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,0,0.2,0.1,0.975,0.365744,0.700075,0.043381,0.061966,0.34555,2.638273,0.362752,3.601671,0.193717,0.727749,0.62943,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,0,0.2,0.25,0.975,0.365744,0.756918,0.043381,0.057312,0.344802,2.680586,0.362752,3.601671,0.145849,0.727749,0.62943,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,0,0.2,0.5,0.975,0.365744,0.844428,0.042633,0.050487,0.344054,2.937197,0.362752,3.601671,0.100224,0.727749,0.62943,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,0,0.2,0.0,0.75,0.670157,0.347794,0.033657,0.096774,0.116679,0.588532,0.136126,1.084264,0.525804,0.768886,0.559333,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,0,0.2,0.01,0.75,0.670157,0.350037,0.033657,0.096154,0.116679,0.588517,0.136126,1.084264,0.52356,0.768886,0.559333,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,0,0.2,0.05,0.75,0.670157,0.405385,0.032162,0.079336,0.116679,0.59023,0.136126,1.084264,0.467464,0.768886,0.559333,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,0,0.2,0.1,0.75,0.670157,0.45101,0.032162,0.07131,0.117427,0.593067,0.136126,1.084264,0.424084,0.768886,0.559333,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,0,0.2,0.25,0.75,0.670157,0.602094,0.027674,0.045963,0.117427,0.638996,0.136126,1.084264,0.288706,0.768886,0.559333,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,0,0.2,0.5,0.75,0.670157,0.813762,0.023934,0.029412,0.117427,0.799246,0.136126,1.084264,0.119671,0.768886,0.559333,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,0,0.2,0.0,0.925,0.598355,0.462977,0.047868,0.103393,0.153328,1.200699,0.166791,2.08785,0.436051,0.768886,0.592998,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,0,0.2,0.01,0.925,0.598355,0.462977,0.047868,0.103393,0.153328,1.200699,0.166791,2.08785,0.436051,0.768886,0.592998,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,0,0.2,0.05,0.925,0.598355,0.512341,0.047868,0.093431,0.153328,1.205674,0.166791,2.08785,0.388182,0.768886,0.592998,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,0,0.2,0.1,0.925,0.598355,0.559461,0.047868,0.085561,0.153328,1.216222,0.166791,2.08785,0.343306,0.768886,0.592998,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,0,0.2,0.25,0.925,0.598355,0.668661,0.048616,0.072707,0.153328,1.262549,0.166791,2.08785,0.246821,0.768886,0.592998,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,0,0.2,0.5,0.925,0.598355,0.835453,0.045625,0.054611,0.153328,1.49732,0.166791,2.08785,0.121167,0.768886,0.592998,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,0,0.2,0.0,0.9,0.547494,0.487659,0.062827,0.128834,0.238594,2.064372,0.210172,2.370503,0.480927,0.73448,0.621781,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,0,0.2,0.01,0.9,0.547494,0.492147,0.062827,0.12766,0.238594,2.064344,0.210172,2.370503,0.47644,0.73448,0.621781,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,0,0.2,0.05,0.9,0.547494,0.518325,0.062827,0.121212,0.238594,2.06365,0.210172,2.370503,0.449514,0.73448,0.621781,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,0,0.2,0.1,0.9,0.547494,0.567689,0.062827,0.110672,0.239342,2.060144,0.210172,2.370503,0.40015,0.73448,0.621781,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,0,0.2,0.25,0.9,0.547494,0.685116,0.061331,0.08952,0.23635,2.0996,0.210172,2.370503,0.295438,0.73448,0.621781,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,0,0.2,0.5,0.9,0.547494,0.819746,0.059835,0.072993,0.235602,2.187044,0.210172,2.370503,0.190726,0.73448,0.621781,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,0,0.2,0.0,0.95,0.496634,0.51982,0.059088,0.113669,0.278983,1.89781,0.246821,2.280891,0.444278,0.73448,0.629406,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,0,0.2,0.01,0.95,0.496634,0.520568,0.059088,0.113506,0.278983,1.897804,0.246821,2.280891,0.44353,0.73448,0.629406,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,0,0.2,0.05,0.95,0.496634,0.551982,0.059088,0.107046,0.278983,1.896962,0.246821,2.280891,0.412117,0.73448,0.629406,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,0,0.2,0.1,0.95,0.496634,0.592371,0.059088,0.099747,0.278983,1.903712,0.246821,2.280891,0.373224,0.73448,0.629406,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,0,0.2,0.25,0.95,0.496634,0.685116,0.057592,0.084061,0.279731,1.941665,0.246821,2.280891,0.290202,0.73448,0.629406,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,0,0.2,0.5,0.95,0.496634,0.816006,0.053104,0.065078,0.278235,2.086245,0.246821,2.280891,0.18549,0.73448,0.629406,1336,1337,True
dcl,dcl_condition_specialist,severe_three_sensors,hard,0,0.2,0.0,0.825,0.688108,0.29469,0.026926,0.091371,0.106208,0.893304,0.107704,1.76807,0.584892,0.782349,0.572294,1336,1337,True
dcl,dcl_condition_specialist,severe_three_sensors,hard,0,0.2,0.01,0.825,0.688108,0.296933,0.027674,0.093199,0.106208,0.89199,0.107704,1.76807,0.582648,0.782349,0.572294,1336,1337,True
dcl,dcl_condition_specialist,severe_three_sensors,hard,0,0.2,0.05,0.825,0.688108,0.372476,0.027674,0.074297,0.106208,0.901345,0.107704,1.76807,0.507105,0.782349,0.572294,1336,1337,True
