family,dataset,condition,target,seed,alpha,delta,beta,base_metric,apply_rate,joint_harm,cond_harm,acc_gain,loss_gain,blanket_acc_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,q_hat,n_conf,n_test,exchangeable
drugban,biosnap_random_s42_pool-source,full,hard,0,0.05,0.05,0.5,0.83306,0.296923,0.002185,0.007357,-0.000182,0.048937,0.001092,0.341326,0.553796,0.786091,0.851571,1374,5493,True
drugban,biosnap_random_s42_pool-source,full,cross_mask,0,0.05,0.05,0.525,0.83306,0.297652,0.001274,0.004281,0.0,0.056662,0.000364,0.343668,0.552521,0.784999,0.851835,1374,5493,True
drugban,biosnap_random_s42_pool-source,full,hard,0,0.1,0.05,0.5,0.83306,0.3073,0.005097,0.016588,-0.000182,0.048872,0.001092,0.341326,0.553796,0.786091,0.731299,1374,5493,True
drugban,biosnap_random_s42_pool-source,full,cross_mask,0,0.1,0.05,0.525,0.83306,0.310031,0.004733,0.015267,0.0,0.056614,0.000364,0.343668,0.552521,0.784999,0.724441,1374,5493,True
drugban,biosnap_random_s42_pool-source,full,hard,0,0.15,0.05,0.5,0.83306,0.331331,0.015292,0.046154,0.0,0.048979,0.001092,0.341326,0.553796,0.786091,0.545688,1374,5493,True
drugban,biosnap_random_s42_pool-source,full,cross_mask,0,0.15,0.05,0.525,0.83306,0.334426,0.015838,0.04736,0.0,0.056498,0.000364,0.343668,0.552521,0.784999,0.548373,1374,5493,True
drugban,biosnap_random_s42_pool-source,full,hard,0,0.2,0.05,0.5,0.83306,0.319498,0.010195,0.031909,-0.000182,0.04871,0.001092,0.341326,0.553796,0.786091,0.382786,1374,5493,True
drugban,biosnap_random_s42_pool-source,full,cross_mask,0,0.2,0.05,0.525,0.83306,0.32241,0.010559,0.03275,0.0,0.056232,0.000364,0.343668,0.552521,0.784999,0.387123,1374,5493,True
drugban,biosnap_random_s42_pool-source,full,hard,0,0.3,0.05,0.5,0.83306,0.302749,0.004005,0.013229,-0.000182,0.04876,0.001092,0.341326,0.553796,0.786091,0.230015,1374,5493,True
drugban,biosnap_random_s42_pool-source,full,cross_mask,0,0.3,0.05,0.525,0.83306,0.30548,0.003823,0.012515,0.0,0.056497,0.000364,0.343668,0.552521,0.784999,0.237888,1374,5493,True
drugban,biosnap_random_s42_pool-source,full,hard,0,0.4,0.05,0.5,0.83306,0.297834,0.002185,0.007335,-0.000182,0.048978,0.001092,0.341326,0.553796,0.786091,0.163563,1374,5493,True
drugban,biosnap_random_s42_pool-source,full,cross_mask,0,0.4,0.05,0.525,0.83306,0.298926,0.00182,0.00609,0.0,0.056535,0.000364,0.343668,0.552521,0.784999,0.171002,1374,5493,True
drugban,biosnap_random_s42_pool-source,full,hard,0,0.5,0.05,0.5,0.83306,0.296195,0.002003,0.006761,-0.000182,0.048942,0.001092,0.341326,0.553796,0.786091,0.12015,1374,5493,True
drugban,biosnap_random_s42_pool-source,full,cross_mask,0,0.5,0.05,0.525,0.83306,0.296923,0.001274,0.004292,0.0,0.056625,0.000364,0.343668,0.552521,0.784999,0.125387,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot50,hard,0,0.05,0.05,0.8,0.722192,0.193883,0.0071,0.03662,0.035864,0.116695,0.066266,0.553566,0.577826,0.763699,0.743163,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot50,cross_mask,0,0.05,0.05,0.825,0.722192,0.189332,0.008192,0.043269,0.03823,0.126255,0.063171,0.553458,0.586019,0.762425,0.749437,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot50,hard,0,0.1,0.05,0.8,0.722192,0.245949,0.017659,0.071799,0.060441,0.186455,0.066266,0.553566,0.577826,0.763699,0.647189,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot50,cross_mask,0,0.1,0.05,0.825,0.722192,0.243037,0.019843,0.081648,0.062807,0.194491,0.063171,0.553458,0.586019,0.762425,0.650695,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot50,hard,0,0.15,0.05,0.8,0.722192,0.304569,0.042054,0.138075,0.067905,0.224865,0.066266,0.553566,0.577826,0.763699,0.564579,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot50,cross_mask,0,0.15,0.05,0.825,0.722192,0.296741,0.04442,0.149693,0.065174,0.225417,0.063171,0.553458,0.586019,0.762425,0.571567,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot50,hard,0,0.2,0.05,0.8,0.722192,0.357182,0.068997,0.19317,0.066448,0.258055,0.066266,0.553566,0.577826,0.763699,0.49899,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot50,cross_mask,0,0.2,0.05,0.825,0.722192,0.359731,0.076643,0.213057,0.063171,0.263382,0.063171,0.553458,0.586019,0.762425,0.4999,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot50,hard,0,0.3,0.05,0.8,0.722192,0.280903,0.031313,0.111471,0.066812,0.21314,0.066266,0.553566,0.577826,0.763699,0.40457,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot50,cross_mask,0,0.3,0.05,0.825,0.722192,0.276898,0.034407,0.12426,0.065174,0.214875,0.063171,0.553458,0.586019,0.762425,0.402297,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot50,hard,0,0.4,0.05,0.8,0.722192,0.233934,0.01511,0.064591,0.054433,0.171629,0.066266,0.553566,0.577826,0.763699,0.331528,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot50,cross_mask,0,0.4,0.05,0.825,0.722192,0.229019,0.01602,0.069952,0.056982,0.18014,0.063171,0.553458,0.586019,0.762425,0.328438,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot50,hard,0,0.5,0.05,0.8,0.722192,0.204078,0.009285,0.045495,0.040051,0.129849,0.066266,0.553566,0.577826,0.763699,0.272005,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot50,cross_mask,0,0.5,0.05,0.825,0.722192,0.197342,0.009285,0.047048,0.042782,0.137399,0.063171,0.553458,0.586019,0.762425,0.265551,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot25,hard,0,0.05,0.05,0.975,0.551429,0.201893,0.025123,0.124436,0.12343,0.57462,0.161114,1.444328,0.521027,0.711633,0.741016,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot25,cross_mask,0,0.05,0.05,0.975,0.551429,0.204624,0.026943,0.131673,0.121973,0.574714,0.158201,1.444483,0.520663,0.707446,0.737043,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot25,hard,0,0.1,0.05,0.975,0.551429,0.283816,0.055707,0.19628,0.140907,0.7148,0.161114,1.444328,0.521027,0.711633,0.652457,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot25,cross_mask,0,0.1,0.05,0.975,0.551429,0.275806,0.052977,0.192079,0.138358,0.701013,0.158201,1.444483,0.520663,0.707446,0.663091,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot25,hard,0,0.15,0.05,0.975,0.551429,0.33479,0.073912,0.220772,0.154742,0.797687,0.161114,1.444328,0.521027,0.711633,0.608272,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot25,cross_mask,0,0.15,0.05,0.975,0.551429,0.33479,0.074458,0.222403,0.15365,0.803951,0.158201,1.444483,0.520663,0.707446,0.609652,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot25,hard,0,0.2,0.05,0.975,0.551429,0.385582,0.096304,0.249764,0.15984,0.871275,0.161114,1.444328,0.521027,0.711633,0.570526,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot25,cross_mask,0,0.2,0.05,0.975,0.551429,0.384125,0.096304,0.250711,0.15893,0.875416,0.158201,1.444483,0.520663,0.707446,0.571803,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot25,hard,0,0.3,0.05,0.975,0.551429,0.477335,0.140543,0.294432,0.163117,0.998331,0.161114,1.444328,0.521027,0.711633,0.489191,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot25,cross_mask,0,0.3,0.05,0.975,0.551429,0.48134,0.144366,0.299924,0.159476,1.005168,0.158201,1.444483,0.520663,0.707446,0.494035,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot25,hard,0,0.4,0.05,0.975,0.551429,0.386128,0.096486,0.249882,0.160022,0.871603,0.161114,1.444328,0.521027,0.711633,0.430508,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot25,cross_mask,0,0.4,0.05,0.975,0.551429,0.382669,0.096122,0.251189,0.157837,0.871528,0.158201,1.444483,0.520663,0.707446,0.427131,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot25,hard,0,0.5,0.05,0.975,0.551429,0.310395,0.064628,0.208211,0.149281,0.761683,0.161114,1.444328,0.521027,0.711633,0.370711,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot25,cross_mask,0,0.5,0.05,0.975,0.551429,0.309849,0.064446,0.207991,0.148917,0.764183,0.158201,1.444483,0.520663,0.707446,0.370104,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,hard,0,0.05,0.05,0.7,0.745312,0.185509,0.003095,0.016683,0.001638,0.024865,0.028218,0.660104,0.569634,0.756417,0.79076,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,cross_mask,0,0.05,0.05,0.7,0.745312,0.188786,0.003459,0.018322,0.002185,0.025004,0.026761,0.660398,0.567085,0.756235,0.79333,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,hard,0,0.1,0.05,0.7,0.745312,0.210268,0.007464,0.035498,0.010741,0.036559,0.028218,0.660104,0.569634,0.756417,0.681291,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,cross_mask,0,0.1,0.05,0.7,0.745312,0.21318,0.007828,0.036721,0.011105,0.036412,0.026761,0.660398,0.567085,0.756235,0.684549,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,hard,0,0.15,0.05,0.7,0.745312,0.244493,0.018933,0.077439,0.018387,0.055897,0.028218,0.660104,0.569634,0.756417,0.589321,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,cross_mask,0,0.15,0.05,0.7,0.745312,0.245767,0.018751,0.076296,0.018205,0.055039,0.026761,0.660398,0.567085,0.756235,0.594182,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,hard,0,0.2,0.05,0.7,0.745312,0.284544,0.035318,0.12412,0.025123,0.088862,0.028218,0.660104,0.569634,0.756417,0.5211,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,cross_mask,0,0.2,0.05,0.7,0.745312,0.29037,0.038048,0.131034,0.023666,0.089917,0.026761,0.660398,0.567085,0.756235,0.517027,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,hard,0,0.3,0.05,0.7,0.745312,0.243583,0.018751,0.076981,0.017659,0.054625,0.028218,0.660104,0.569634,0.756417,0.407454,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,cross_mask,0,0.3,0.05,0.7,0.745312,0.246313,0.019115,0.077605,0.018023,0.054981,0.026761,0.660398,0.567085,0.756235,0.407381,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,hard,0,0.4,0.05,0.7,0.745312,0.209904,0.007464,0.035559,0.010741,0.036537,0.028218,0.660104,0.569634,0.756417,0.316312,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,cross_mask,0,0.4,0.05,0.7,0.745312,0.21227,0.007646,0.036021,0.011105,0.03645,0.026761,0.660398,0.567085,0.756235,0.312538,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,hard,0,0.5,0.05,0.7,0.745312,0.192063,0.004369,0.022749,0.003277,0.026256,0.028218,0.660104,0.569634,0.756417,0.247593,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,cross_mask,0,0.5,0.05,0.7,0.745312,0.194247,0.004187,0.021556,0.003459,0.026253,0.026761,0.660398,0.567085,0.756235,0.242454,1374,5493,True
