family,dataset,condition,target,seed,alpha,delta,beta,base_metric,apply_rate,joint_harm,cond_harm,acc_gain,loss_gain,blanket_acc_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,q_hat,n_conf,n_test,exchangeable
vision,hateful_memes,complete,hard,0,0.05,0.05,1.0,0.609,0.24,0.004,0.016667,-0.008,0.008533,-0.045,0.135771,0.468,0.564,0.9,250,1000,True
vision,hateful_memes,complete,cross_mask,0,0.05,0.05,1.0,0.609,0.727,0.003,0.004127,-0.001,0.030958,-0.004,0.029314,0.157,0.605,0.963538,250,1000,True
vision,hateful_memes,complete,hard,0,0.1,0.05,1.0,0.609,0.255,0.013,0.05098,-0.008,0.007054,-0.045,0.135771,0.468,0.564,0.8,250,1000,True
vision,hateful_memes,complete,cross_mask,0,0.1,0.05,1.0,0.609,0.75,0.016,0.021333,-0.001,0.029749,-0.004,0.029314,0.157,0.605,0.886178,250,1000,True
vision,hateful_memes,complete,hard,0,0.15,0.05,1.0,0.609,0.295,0.03,0.101695,-0.008,0.003764,-0.045,0.135771,0.468,0.564,0.74288,250,1000,True
vision,hateful_memes,complete,cross_mask,0,0.15,0.05,1.0,0.609,0.778,0.024,0.030848,-0.001,0.029548,-0.004,0.029314,0.157,0.605,0.773062,250,1000,True
vision,hateful_memes,complete,hard,0,0.2,0.05,1.0,0.609,0.332,0.05,0.150602,-0.008,0.000472,-0.045,0.135771,0.468,0.564,0.68,250,1000,True
vision,hateful_memes,complete,cross_mask,0,0.2,0.05,1.0,0.609,0.804,0.031,0.038557,-0.001,0.029749,-0.004,0.029314,0.157,0.605,0.685082,250,1000,True
vision,hateful_memes,complete,hard,0,0.3,0.05,1.0,0.609,0.393,0.085,0.216285,-0.01,-0.003261,-0.045,0.135771,0.468,0.564,0.60592,250,1000,True
vision,hateful_memes,complete,cross_mask,0,0.3,0.05,1.0,0.609,0.84,0.054,0.064286,-0.001,0.028631,-0.004,0.029314,0.157,0.605,0.578798,250,1000,True
vision,hateful_memes,complete,hard,0,0.4,0.05,1.0,0.609,0.504,0.157,0.311508,-0.038,-0.012433,-0.045,0.135771,0.468,0.564,0.5,250,1000,True
vision,hateful_memes,complete,cross_mask,0,0.4,0.05,1.0,0.609,0.882,0.076,0.086168,-0.003,0.028481,-0.004,0.029314,0.157,0.605,0.500774,250,1000,True
vision,hateful_memes,complete,hard,0,0.5,0.05,1.0,0.609,0.434,0.114,0.262673,-0.023,-0.007962,-0.045,0.135771,0.468,0.564,0.42992,250,1000,True
vision,hateful_memes,complete,cross_mask,0,0.5,0.05,1.0,0.609,0.833,0.049,0.058824,-0.001,0.028951,-0.004,0.029314,0.157,0.605,0.404506,250,1000,True
vision,hateful_memes,textmiss,hard,0,0.05,0.05,0.0,0.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506,0.793331,250,1000,True
vision,hateful_memes,textmiss,cross_mask,0,0.05,0.05,0.0,0.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505,0.793331,250,1000,True
vision,hateful_memes,textmiss,hard,0,0.1,0.05,0.0,0.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506,0.718729,250,1000,True
vision,hateful_memes,textmiss,cross_mask,0,0.1,0.05,0.0,0.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505,0.718729,250,1000,True
vision,hateful_memes,textmiss,hard,0,0.15,0.05,0.0,0.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506,0.684159,250,1000,True
