host,mask,seed,cls,n_test_cls,n_applied_cls,joint_harm_cls,cond_harm_cls,joint_harm_overall
momke_iemocap4,a,0,0,84,27,0.02381,0.074074,0.019391
momke_iemocap4,a,0,1,68,42,0.0,0.0,0.019391
momke_iemocap4,a,0,2,132,31,0.037879,0.16129,0.019391
momke_iemocap4,a,0,3,77,9,0.0,0.0,0.019391
momke_iemocap4,a,1,0,102,55,0.019608,0.036364,0.01662
momke_iemocap4,a,1,1,65,49,0.0,0.0,0.01662
momke_iemocap4,a,1,2,118,59,0.033898,0.067797,0.01662
momke_iemocap4,a,1,3,76,32,0.0,0.0,0.01662
momke_iemocap4,a,2,0,85,28,0.011765,0.035714,0.022161
momke_iemocap4,a,2,1,69,39,0.0,0.0,0.022161
momke_iemocap4,a,2,2,135,41,0.044444,0.146341,0.022161
momke_iemocap4,a,2,3,72,15,0.013889,0.066667,0.022161
momke_iemocap4,v,0,0,84,12,0.0,0.0,0.00831
momke_iemocap4,v,0,1,68,2,0.014706,0.5,0.00831
momke_iemocap4,v,0,2,132,3,0.015152,0.666667,0.00831
momke_iemocap4,v,0,3,77,1,0.0,0.0,0.00831
momke_iemocap4,v,1,0,102,17,0.0,0.0,0.00554
momke_iemocap4,v,1,1,65,0,0.0,0.0,0.00554
momke_iemocap4,v,1,2,118,5,0.016949,0.4,0.00554
momke_iemocap4,v,1,3,76,1,0.0,0.0,0.00554
momke_iemocap4,v,2,0,85,6,0.0,0.0,0.00831
momke_iemocap4,v,2,1,69,1,0.0,0.0,0.00831
momke_iemocap4,v,2,2,135,6,0.022222,0.5,0.00831
momke_iemocap4,v,2,3,72,0,0.0,0.0,0.00831
momke_iemocap4,t,0,0,84,5,0.0,0.0,0.00277
momke_iemocap4,t,0,1,68,1,0.0,0.0,0.00277
momke_iemocap4,t,0,2,132,2,0.007576,0.5,0.00277
momke_iemocap4,t,0,3,77,2,0.0,0.0,0.00277
momke_iemocap4,t,1,0,102,2,0.0,0.0,0.00554
momke_iemocap4,t,1,1,65,3,0.015385,0.333333,0.00554
momke_iemocap4,t,1,2,118,0,0.0,0.0,0.00554
momke_iemocap4,t,1,3,76,4,0.013158,0.25,0.00554
momke_iemocap4,t,2,0,85,4,0.0,0.0,0.00554
momke_iemocap4,t,2,1,69,3,0.014493,0.333333,0.00554
momke_iemocap4,t,2,2,135,5,0.007407,0.2,0.00554
momke_iemocap4,t,2,3,72,4,0.0,0.0,0.00554
momke_iemocap4,av,0,0,84,20,0.011905,0.05,0.01385
momke_iemocap4,av,0,1,68,17,0.0,0.0,0.01385
momke_iemocap4,av,0,2,132,13,0.030303,0.307692,0.01385
momke_iemocap4,av,0,3,77,4,0.0,0.0,0.01385
momke_iemocap4,av,1,0,102,25,0.0,0.0,0.01662
momke_iemocap4,av,1,1,65,14,0.015385,0.071429,0.01662
momke_iemocap4,av,1,2,118,14,0.042373,0.357143,0.01662
momke_iemocap4,av,1,3,76,6,0.0,0.0,0.01662
momke_iemocap4,av,2,0,85,16,0.0,0.0,0.01108
momke_iemocap4,av,2,1,69,13,0.014493,0.076923,0.01108
momke_iemocap4,av,2,2,135,10,0.022222,0.3,0.01108
momke_iemocap4,av,2,3,72,2,0.0,0.0,0.01108
momke_iemocap4,at,0,0,84,10,0.011905,0.1,0.027701
