mask,richer,quality,target,n_labels,mse_gain,beta,d_sign_acc,contraction,seed
a,tav,good,cross_mask,0,0.049533269211903264,0.47500000000000003,0.03370165745856357,0.2299461167358524,-1
a,tav,good,hard,50,0.0,0.0,0.0,0.2299461167358524,0
a,tav,good,hard,50,0.0,0.0,0.0,0.2299461167358524,1
a,tav,good,hard,50,0.0,0.0,0.0,0.2299461167358524,2
a,tav,good,hard,100,-0.008289635849471733,0.375,0.00469613259668511,0.2299461167358524,0
a,tav,good,hard,100,-0.0034196839639424326,0.17500000000000002,-0.0008287292817679148,0.2299461167358524,1
a,tav,good,hard,100,0.0,0.0,0.0,0.2299461167358524,2
a,tav,good,hard,200,-0.004210173116313554,0.17500000000000002,0.010773480662983448,0.2299461167358524,0
a,tav,good,hard,200,0.002441930342790055,0.35000000000000003,0.0016574585635359407,0.2299461167358524,1
a,tav,good,hard,200,0.0,0.0,0.0,0.2299461167358524,2
a,tav,good,hard,500,0.0005277759740276444,0.07500000000000001,-0.0016574585635359407,0.2299461167358524,0
a,tav,good,hard,500,0.003209239220600457,0.17500000000000002,0.006353591160220939,0.2299461167358524,1
a,tav,good,hard,500,0.0007371384939633963,0.025,0.0022099447513812542,0.2299461167358524,2
a,tav,good,hard,1500,0.011854199103367158,0.35000000000000003,0.0044198895027623974,0.2299461167358524,0
a,tav,good,hard,1500,0.010593351211089841,0.4,-0.0016574585635359407,0.2299461167358524,1
a,tav,good,hard,1500,0.019377836492188827,0.4,0.00469613259668511,0.2299461167358524,2
a,tav,good,hard,16265,0.05224553548812172,0.525,0.03867403314917128,0.2299461167358524,0
a,av,weak,cross_mask,0,0.026669419647950665,0.75,0.022099447513812098,0.25065549171606005,-1
a,av,weak,hard,50,0.0,0.0,0.0,0.25065549171606005,0
a,av,weak,hard,50,0.0,0.0,0.0,0.25065549171606005,1
a,av,weak,hard,50,0.0,0.0,0.0,0.25065549171606005,2
a,av,weak,hard,100,-0.008289635849471733,0.375,0.00469613259668511,0.25065549171606005,0
a,av,weak,hard,100,-0.0034196839639424326,0.17500000000000002,-0.0008287292817679148,0.25065549171606005,1
a,av,weak,hard,100,0.0,0.0,0.0,0.25065549171606005,2
a,av,weak,hard,200,-0.004210173116313554,0.17500000000000002,0.010773480662983448,0.25065549171606005,0
a,av,weak,hard,200,0.002441930342790055,0.35000000000000003,0.0016574585635359407,0.25065549171606005,1
a,av,weak,hard,200,0.0,0.0,0.0,0.25065549171606005,2
a,av,weak,hard,500,0.0005277759740276444,0.07500000000000001,-0.0016574585635359407,0.25065549171606005,0
a,av,weak,hard,500,0.003209239220600457,0.17500000000000002,0.006353591160220939,0.25065549171606005,1
a,av,weak,hard,500,0.0007371384939633963,0.025,0.0022099447513812542,0.25065549171606005,2
a,av,weak,hard,1500,0.011854199103367158,0.35000000000000003,0.0044198895027623974,0.25065549171606005,0
a,av,weak,hard,1500,0.010593351211089841,0.4,-0.0016574585635359407,0.25065549171606005,1
a,av,weak,hard,1500,0.019377836492188827,0.4,0.00469613259668511,0.25065549171606005,2
a,av,weak,hard,16265,0.05224553548812172,0.525,0.03867403314917128,0.25065549171606005,0
v,tav,good,cross_mask,0,0.028957010150497453,0.625,0.02071823204419887,0.2644302462809269,-1
v,tav,good,hard,50,0.008150527977215827,0.35000000000000003,0.0033149171270717703,0.2644302462809269,0
v,tav,good,hard,50,0.008645892597402227,0.25,-0.0002762430939227123,0.2644302462809269,1
v,tav,good,hard,50,0.008261352067436611,0.225,-0.0008287292817679148,0.2644302462809269,2
v,tav,good,hard,100,0.01473534657912312,0.35000000000000003,0.003867403314917084,0.2644302462809269,0
v,tav,good,hard,100,0.006494925161252496,0.525,0.003867403314917084,0.2644302462809269,1
v,tav,good,hard,100,0.00908012951127013,0.2,-0.006629834254143652,0.2644302462809269,2
v,tav,good,hard,200,0.011805625303780376,0.47500000000000003,-0.00801104972375688,0.2644302462809269,0
v,tav,good,hard,200,0.007422593232543573,0.6000000000000001,0.0035911602209944826,0.2644302462809269,1
v,tav,good,hard,200,0.009407861997707379,0.225,-0.006906077348066253,0.2644302462809269,2
v,tav,good,hard,500,0.011246982328258603,0.4,-0.010497237569060736,0.2644302462809269,0
v,tav,good,hard,500,0.013419781893637905,0.65,-0.008287292817679592,0.2644302462809269,1
v,tav,good,hard,500,0.00646682327795145,0.525,-0.016298342541436472,0.2644302462809269,2
v,tav,good,hard,1500,0.014278451221947819,0.5,-0.0008287292817679148,0.2644302462809269,0
v,tav,good,hard,1500,0.023425645624745917,0.55,0.001933701657458542,0.2644302462809269,1
v,tav,good,hard,1500,0.010392800695613325,0.55,-0.007734806629834279,0.2644302462809269,2
v,tav,good,hard,16265,0.03170205908852641,0.675,0.021270718232044183,0.2644302462809269,0
v,av,weak,cross_mask,0,0.030285878902734042,0.8,0.006353591160220939,0.25142560341032205,-1
v,av,weak,hard,50,0.008150527977215827,0.35000000000000003,0.0033149171270717703,0.25142560341032205,0
v,av,weak,hard,50,0.008645892597402227,0.25,-0.0002762430939227123,0.25142560341032205,1
v,av,weak,hard,50,0.008261352067436611,0.225,-0.0008287292817679148,0.25142560341032205,2
v,av,weak,hard,100,0.01473534657912312,0.35000000000000003,0.003867403314917084,0.25142560341032205,0
v,av,weak,hard,100,0.006494925161252496,0.525,0.003867403314917084,0.25142560341032205,1
v,av,weak,hard,100,0.00908012951127013,0.2,-0.006629834254143652,0.25142560341032205,2
v,av,weak,hard,200,0.011805625303780376,0.47500000000000003,-0.00801104972375688,0.25142560341032205,0
v,av,weak,hard,200,0.007422593232543573,0.6000000000000001,0.0035911602209944826,0.25142560341032205,1
