dataset,condition,is_null,seed,measure,certify,beta,base_acc,d_acc,loss_gain,apply_rate,joint_harm,cond_harm
drugban_biosnap_random_s42,full,1,0,on,on,0.5,0.83306,-0.000182,0.04871,0.319498,0.010195,0.031909
drugban_biosnap_random_s42,full,1,0,on,off,0.5,0.83306,0.001092,0.341326,1.0,0.553796,0.553796
drugban_biosnap_random_s42,full,1,0,off,on,1.0,0.83306,-0.042782,0.023843,0.348626,0.097397,0.279373
drugban_biosnap_random_s42,full,1,0,off,off,1.0,0.83306,-0.046969,0.281464,1.0,0.646459,0.646459
drugban_biosnap_random_s42,full,1,1,on,on,0.5,0.83306,-0.000728,0.04864,0.316403,0.008738,0.027618
drugban_biosnap_random_s42,full,1,1,on,off,0.5,0.83306,0.001092,0.341326,1.0,0.553796,0.553796
drugban_biosnap_random_s42,full,1,1,off,on,1.0,0.83306,-0.042782,0.023843,0.348626,0.097397,0.279373
drugban_biosnap_random_s42,full,1,1,off,off,1.0,0.83306,-0.046969,0.281464,1.0,0.646459,0.646459
drugban_biosnap_random_s42,full,1,2,on,on,0.575,0.83306,0.000182,0.049107,0.317859,0.012379,0.038946
drugban_biosnap_random_s42,full,1,2,on,off,0.575,0.83306,-0.000728,0.340295,1.0,0.559439,0.559439
drugban_biosnap_random_s42,full,1,2,off,on,1.0,0.83306,-0.038777,0.020028,0.337703,0.089933,0.266307
drugban_biosnap_random_s42,full,1,2,off,off,1.0,0.83306,-0.046969,0.281464,1.0,0.646459,0.646459
drugban_biosnap_random_s42,prot50,0,0,on,on,0.8,0.722192,0.066448,0.258055,0.357182,0.068997,0.19317
drugban_biosnap_random_s42,prot50,0,0,on,off,0.8,0.722192,0.066266,0.553566,1.0,0.577826,0.577826
drugban_biosnap_random_s42,prot50,0,0,off,on,1.0,0.722192,0.047879,0.266064,0.386128,0.106863,0.276756
drugban_biosnap_random_s42,prot50,0,0,off,off,1.0,0.722192,0.041507,0.524217,1.0,0.602585,0.602585
drugban_biosnap_random_s42,prot50,0,1,on,on,0.725,0.722192,0.069543,0.223289,0.320772,0.047879,0.149262
drugban_biosnap_random_s42,prot50,0,1,on,off,0.725,0.722192,0.069543,0.554379,1.0,0.57546,0.57546
drugban_biosnap_random_s42,prot50,0,1,off,on,1.0,0.722192,0.047879,0.266064,0.386128,0.106863,0.276756
drugban_biosnap_random_s42,prot50,0,1,off,off,1.0,0.722192,0.041507,0.524217,1.0,0.602585,0.602585
drugban_biosnap_random_s42,prot50,0,2,on,on,0.825,0.722192,0.06663,0.249336,0.338067,0.067905,0.200862
drugban_biosnap_random_s42,prot50,0,2,on,off,0.825,0.722192,0.0639,0.552587,1.0,0.593119,0.593119
drugban_biosnap_random_s42,prot50,0,2,off,on,1.0,0.722192,0.052977,0.258529,0.365738,0.09412,0.257342
drugban_biosnap_random_s42,prot50,0,2,off,off,1.0,0.722192,0.041507,0.524217,1.0,0.602585,0.602585
drugban_biosnap_random_s42,prot25,0,0,on,on,0.975,0.551429,0.15984,0.871275,0.385582,0.096304,0.249764
drugban_biosnap_random_s42,prot25,0,0,on,off,0.975,0.551429,0.161114,1.444328,1.0,0.521027,0.521027
drugban_biosnap_random_s42,prot25,0,0,off,on,1.0,0.551429,0.15893,0.866007,0.379756,0.094484,0.248802
drugban_biosnap_random_s42,prot25,0,0,off,off,1.0,0.551429,0.160204,1.438065,1.0,0.521573,0.521573
drugban_biosnap_random_s42,prot25,0,1,on,on,0.925,0.551429,0.159658,0.870257,0.389405,0.098125,0.251987
drugban_biosnap_random_s42,prot25,0,1,on,off,0.925,0.551429,0.163299,1.445831,1.0,0.520845,0.520845
drugban_biosnap_random_s42,prot25,0,1,off,on,1.0,0.551429,0.159112,0.899028,0.407792,0.108138,0.265179
drugban_biosnap_random_s42,prot25,0,1,off,off,1.0,0.551429,0.160204,1.438065,1.0,0.521573,0.521573
drugban_biosnap_random_s42,prot25,0,2,on,on,1.0,0.551429,0.15893,0.866007,0.379756,0.094484,0.248802
drugban_biosnap_random_s42,prot25,0,2,on,off,1.0,0.551429,0.160204,1.438065,1.0,0.521573,0.521573
drugban_biosnap_random_s42,prot25,0,2,off,on,1.0,0.551429,0.15893,0.866007,0.379756,0.094484,0.248802
drugban_biosnap_random_s42,prot25,0,2,off,off,1.0,0.551429,0.160204,1.438065,1.0,0.521573,0.521573
drugban_biosnap_random_s42,scaffold,0,0,on,on,0.7,0.745312,0.025123,0.088862,0.284544,0.035318,0.12412
drugban_biosnap_random_s42,scaffold,0,0,on,off,0.7,0.745312,0.028218,0.660104,1.0,0.569634,0.569634
drugban_biosnap_random_s42,scaffold,0,0,off,on,1.0,0.745312,0.01602,0.246044,0.367195,0.101584,0.276648
drugban_biosnap_random_s42,scaffold,0,0,off,off,1.0,0.745312,0.011105,0.633349,1.0,0.606226,0.606226
drugban_biosnap_random_s42,scaffold,0,1,on,on,0.7,0.745312,0.025305,0.089577,0.284726,0.035318,0.124041
drugban_biosnap_random_s42,scaffold,0,1,on,off,0.7,0.745312,0.028218,0.660104,1.0,0.569634,0.569634
drugban_biosnap_random_s42,scaffold,0,1,off,on,1.0,0.745312,0.01602,0.246044,0.367195,0.101584,0.276648
drugban_biosnap_random_s42,scaffold,0,1,off,off,1.0,0.745312,0.011105,0.633349,1.0,0.606226,0.606226
drugban_biosnap_random_s42,scaffold,0,2,on,on,0.775,0.745312,0.028946,0.147593,0.320226,0.053159,0.166003
drugban_biosnap_random_s42,scaffold,0,2,on,off,0.775,0.745312,0.028218,0.659686,1.0,0.572547,0.572547
drugban_biosnap_random_s42,scaffold,0,2,off,on,1.0,0.745312,0.01602,0.246044,0.367195,0.101584,0.276648
drugban_biosnap_random_s42,scaffold,0,2,off,off,1.0,0.745312,0.011105,0.633349,1.0,0.606226,0.606226
drugban_biosnap_random_s42,scaffold_prot50,0,0,on,on,0.85,0.673038,0.072456,0.283162,0.326233,0.069361,0.212612
drugban_biosnap_random_s42,scaffold_prot50,0,0,on,off,0.85,0.673038,0.07373,0.725085,1.0,0.563991,0.563991
drugban_biosnap_random_s42,scaffold_prot50,0,0,off,on,1.0,0.673038,0.067723,0.35848,0.382669,0.103222,0.269743
drugban_biosnap_random_s42,scaffold_prot50,0,0,off,off,1.0,0.673038,0.062261,0.709637,1.0,0.569816,0.569816
drugban_biosnap_random_s42,scaffold_prot50,0,1,on,on,0.825,0.673038,0.073184,0.286065,0.33752,0.073366,0.217368
drugban_biosnap_random_s42,scaffold_prot50,0,1,on,off,0.825,0.673038,0.072274,0.725473,1.0,0.561806,0.561806
drugban_biosnap_random_s42,scaffold_prot50,0,1,off,on,1.0,0.673038,0.065356,0.382426,0.405607,0.115784,0.285458
drugban_biosnap_random_s42,scaffold_prot50,0,1,off,off,1.0,0.673038,0.062261,0.709637,1.0,0.569816,0.569816
drugban_biosnap_random_s42,scaffold_prot50,0,2,on,on,0.875,0.673038,0.07191,0.307512,0.348626,0.081194,0.232898
drugban_biosnap_random_s42,scaffold_prot50,0,2,on,off,0.875,0.673038,0.07282,0.724296,1.0,0.564901,0.564901
drugban_biosnap_random_s42,scaffold_prot50,0,2,off,on,1.0,0.673038,0.067723,0.35848,0.382669,0.103222,0.269743
drugban_biosnap_random_s42,scaffold_prot50,0,2,off,off,1.0,0.673038,0.062261,0.709637,1.0,0.569816,0.569816
drugban_bindingdb_random_s42,full,1,0,on,on,0.175,0.907419,0.000102,0.032124,0.668089,0.001728,0.002586
drugban_bindingdb_random_s42,full,1,0,on,off,0.175,0.907419,-0.000102,0.05615,1.0,0.279065,0.279065
drugban_bindingdb_random_s42,full,1,0,off,on,1.0,0.907419,-0.043902,-0.044008,0.348577,0.076626,0.219825
drugban_bindingdb_random_s42,full,1,0,off,off,1.0,0.907419,-0.063618,-0.082206,1.0,0.673272,0.673272
drugban_bindingdb_random_s42,full,1,1,on,on,0.175,0.907419,0.000102,0.032083,0.668699,0.002033,0.00304
drugban_bindingdb_random_s42,full,1,1,on,off,0.175,0.907419,-0.000102,0.05615,1.0,0.279065,0.279065
drugban_bindingdb_random_s42,full,1,1,off,on,1.0,0.907419,-0.043902,-0.044008,0.348577,0.076626,0.219825
drugban_bindingdb_random_s42,full,1,1,off,off,1.0,0.907419,-0.063618,-0.082206,1.0,0.673272,0.673272
drugban_bindingdb_random_s42,full,1,2,on,on,0.175,0.907419,0.000102,0.032124,0.668089,0.001728,0.002586
