condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,q_hat,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,seed
low_cost_accels_only,hard,1.0,0.5618858212447356,0.0662143191389799,0.07487131492746835,1.1203899408470488,-0.37473723412965576,-0.5049109687214701,0.35353299017313994,0.6281001403837155,0.2497059240924339,0.003948711177098472,0.8659335517080019,0.25245671502105754,0.29154282626317213,0.5,3793,3793,3793,8548,0.2,0.05,50,False,0
low_cost_accels_only,cross_mask,1.0,0.5618858212447356,0.04445484323818438,0.04457182966775852,1.1203899408470488,0.04941909461041015,0.17239721591245047,0.42255498362189986,0.60634066448292,0.2497059240924339,0.003948711177098472,0.6664716892840431,0.2040243331773514,0.30612603124451465,0.7153106823028749,3793,3793,3793,8548,0.2,0.05,50,False,0
no_shoes,hard,0.9,0.6488067384183435,0.006668226485727624,0.01193261581656524,0.9479470771171427,0.17019447671666324,0.19320280205416984,0.40091249415067853,0.6529012634534394,0.210535666242475,0.003961306391621752,0.7907112774918109,0.24824520355638746,0.31395176801301966,0.4685810881398016,3793,3793,3793,8548,0.2,0.05,50,False,0
no_shoes,cross_mask,1.0,0.6488067384183435,-0.020121665886757123,-0.009241927936359362,0.9479470771171427,-0.015843079611894375,0.10085874214074418,0.47531586335985027,0.6286850725315863,0.210535666242475,0.003961306391621752,0.6079784744969583,0.19852597098736546,0.3265345391572061,0.7131280545784872,3793,3793,3793,8548,0.2,0.05,50,False,0
no_imu_family,hard,0.675,0.4415067852129153,0.19829199812821707,0.12026204960224618,2.108002536584646,0.788462331210309,1.1614153143181043,0.270004679457183,0.6306738418343473,0.3650829259021777,0.004708223861500001,0.5753392606457651,0.08118858212447357,0.14111427409516064,0.4743808230930101,3793,3793,3793,8548,0.2,0.05,50,False,0
no_imu_family,cross_mask,0.6,0.4415067852129153,0.11897519887693031,0.10400093589143655,2.108002536584646,0.44449626059207975,0.9709949481999546,0.23034627983153955,0.5883247543284978,0.3650829259021777,0.004708223861500001,0.5464436125409452,0.030299485259709873,0.05544851209591094,0.6850782760345414,3793,3793,3793,8548,0.2,0.05,50,False,0
severe_three_sensors,hard,0.4,0.5665652784277024,-0.010762751520823621,-0.0036265793167993277,1.2735322955669492,0.15353907806072287,0.18166645857022024,0.18343472157229762,0.5141553579784744,0.26387837380813794,0.0022649023241898434,0.7712915301824989,0.14014974262985494,0.1817078719854391,0.6321619922584888,3793,3793,3793,8548,0.2,0.05,50,False,0
severe_three_sensors,cross_mask,0.525,0.5665652784277024,-0.015559195133364567,-0.006317267197005205,1.2735322955669492,0.18268772103782613,0.18070515143920404,0.278310715956949,0.5456247075339261,0.26387837380813794,0.0022649023241898434,0.9499298081422555,0.24333177351427235,0.2561576354679803,0.7345573970981,3793,3793,3793,8548,0.2,0.05,50,False,0
low_cost_accels_only,hard,1.0,0.613242863827796,0.017547964436125385,0.0244501637810014,1.0247540649790872,-0.39440216222812213,-0.5562372048294678,0.3845343940102948,0.6307908282639214,0.22217429009915926,0.003849858301781114,0.7856808610201217,0.23935423490875057,0.30464562239428233,0.43999999999999995,3793,3793,3793,8548,0.2,0.05,50,False,1
low_cost_accels_only,cross_mask,1.0,0.613242863827796,0.004211511464670026,-0.002924660739354268,1.0247540649790872,-0.033733603262394656,0.06852066098228009,0.4174075807206364,0.617454375292466,0.22217429009915926,0.003849858301781114,0.7034394010294805,0.21467009826860084,0.3051721270580409,0.7126973904594311,3793,3793,3793,8548,0.2,0.05,50,False,1
