condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,q_hat,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,seed
low_cost_accels_only,hard,0.9750000000000001,0.5479644361254095,0.0755732335049134,0.08235844642021528,1.2417255289563032,0.35148997799115633,0.35614186705526363,0.3827795975666823,0.6214319138979878,0.25483588553255715,0.004999214516641783,0.8247543284978942,0.2519887693027609,0.30553191489361703,0.49148501423279495,1896,1896,1896,4274,0.2,0.05,50,False,0
low_cost_accels_only,cross_mask,0.9750000000000001,0.5479644361254095,0.0582592419279363,0.039775386055217576,1.2417255289563032,0.09688684316301935,0.3215318803189827,0.4174075807206364,0.6085634066448292,0.25483588553255715,0.004999214516641783,0.6431913897987833,0.20004679457182967,0.31102218988723174,0.7266393884457023,1896,1896,1896,4274,0.2,0.05,50,False,0
no_shoes,hard,0.9500000000000001,0.6420215255030417,0.006083294337856704,0.010528778661675231,1.067119864720284,0.24063149287371638,0.26456640367892803,0.442676649508657,0.6464670098268601,0.21435576092138428,0.00500990112773854,0.7671970051474029,0.256902199344876,0.33485818847209514,0.4771818115175526,1896,1896,1896,4274,0.2,0.05,50,False,0
no_shoes,cross_mask,0.925,0.6420215255030417,-0.007487131492746935,0.040477304632662525,1.067119864720284,0.12180605744111977,0.2884925849571159,0.47496490407112774,0.6352363125877398,0.21435576092138428,0.00500990112773854,0.4791764155357979,0.11417875526438934,0.23828125,0.7429284277183364,1896,1896,1896,4274,0.2,0.05,50,False,0
no_imu_family,hard,0.925,0.44244267664950865,0.1941974730931212,0.17922321010762754,2.1095635386292697,1.0639951214023489,1.1430527717295162,0.28240524099204495,0.6340664482919981,0.35033940578356915,0.005632433363307131,0.7391202620496022,0.11417875526438934,0.1544792655903767,0.4850794008377989,1896,1896,1896,4274,0.2,0.05,50,False,0
no_imu_family,cross_mask,0.47500000000000003,0.44244267664950865,0.10598970519419748,0.06364061768834817,2.1095635386292697,0.34176489463459536,0.8822376300662682,0.23912026204960224,0.5781469349555451,0.35033940578356915,0.005632433363307131,0.485493682732803,0.030182498830135705,0.06216867469879518,0.6808297582714028,1896,1896,1896,4274,0.2,0.05,50,False,0
severe_three_sensors,hard,0.9750000000000001,0.5851661207299953,-0.05077211043518948,-0.04773046326626107,1.0941864454913113,-0.015117868850168381,0.002717752916385149,0.3336452971455311,0.5341600374356574,0.20930972330364117,0.0036749710685186013,0.8231165184838559,0.24029012634534394,0.29192723138146676,0.5602706346804205,1896,1896,1896,4274,0.2,0.05,50,False,0
severe_three_sensors,cross_mask,0.8250000000000001,0.5851661207299953,-0.030182498830135684,0.0037435657463734673,1.0941864454913113,0.05529494600937697,0.07141973156112635,0.28895648104819843,0.5425830603649977,0.20930972330364117,0.0036749710685186013,0.6106691623771643,0.09265325222274216,0.15172413793103448,0.7436975915813893,1896,1896,1896,4274,0.2,0.05,50,False,0
low_cost_accels_only,hard,0.9500000000000001,0.6113710809546092,0.011464670098268681,0.020121665886757123,1.028710149977044,0.18438507746178545,0.17234198358174868,0.40453907346747775,0.6202620496022462,0.21087857330017062,0.004596084061482831,0.8371548900327562,0.2686008423022929,0.3208496366685299,0.5338563559445776,1896,1896,1896,4274,0.2,0.05,50,False,1
low_cost_accels_only,cross_mask,0.9750000000000001,0.6113710809546092,0.010294805802526952,-0.02316331305568553,1.028710149977044,-0.02970835381402675,0.14777446853283588,0.45507721104351895,0.6216658867571362,0.21087857330017062,0.004596084061482831,0.5765091249415067,0.19232569021993448,0.3336038961038961,0.7297946913355245,1896,1896,1896,4274,0.2,0.05,50,False,1
no_shoes,hard,0.9500000000000001,0.6244735610669162,0.020355638745905513,0.027374824520355667,1.055755580300341,0.23028271780108656,0.19104976682531447,0.4354234908750585,0.6457650912494151,0.2193141371895497,0.005059740133368849,0.7856808610201217,0.2545624707533926,0.3240023823704586,0.5006069158310001,1896,1896,1896,4274,0.2,0.05,50,False,1
no_shoes,cross_mask,0.9750000000000001,0.6244735610669162,0.01193261581656535,0.0521759475900796,1.055755580300341,0.11160645963657555,0.24576264651693797,0.4971923256902199,0.6375760411792232,0.2193141371895497,0.005059740133368849,0.44057089377632197,0.10598970519419747,0.24057355284121085,0.7209846598853775,1896,1896,1896,4274,0.2,0.05,50,False,1
no_imu_family,hard,0.9,0.40173139915769773,0.228591483387927,0.2110435189518015,1.993456645142266,0.9333049641788327,1.0668758825041433,0.27257838090781467,0.6270472625175479,0.3574802807734841,0.005392729786552252,0.7374824520355638,0.11628451099672438,0.1576776649746193,0.4964021023138418,1896,1896,1896,4274,0.2,0.05,50,False,1
no_imu_family,cross_mask,0.45,0.40173139915769773,0.12728123537669622,0.06527842770238651,1.993456645142266,0.30029996336404985,0.7814998542419102,0.21642489471221338,0.586335985025737,0.3574802807734841,0.005392729786552252,0.4555451567618156,0.024567150210575574,0.053929121725731895,0.6761614422086262,1896,1896,1896,4274,0.2,0.05,50,False,1
severe_three_sensors,hard,0.9750000000000001,0.5744033692091718,-0.05147402901263454,-0.04679457182966784,1.1226167237474451,-0.0392300067309825,-0.004861959208358441,0.35423490875058494,0.5236312587739822,0.21520856363898042,0.003953153115676096,0.7924660739354235,0.24754328497894243,0.3123708296427517,0.5596185430296803,1896,1896,1896,4274,0.2,0.05,50,False,1
severe_three_sensors,cross_mask,0.675,0.5744033692091718,-0.005381375760411866,0.015910154422086986,1.1226167237474451,0.034332039561505275,0.08840023920439284,0.32171268132896585,0.5397753860552176,0.21520856363898042,0.003953153115676096,0.5140383715489003,0.07627515208235845,0.14838416021847975,0.7205515118350801,1896,1896,1896,4274,0.2,0.05,50,False,1
low_cost_accels_only,hard,0.9500000000000001,0.6134768366869443,0.015208235844642037,0.0219934487599438,1.0248725578010898,0.17981826532322032,0.18533504708704931,0.3975198876930276,0.626345343940103,0.21029652144519745,0.00453185969488938,0.7873186710341601,0.24613944782405242,0.312630014858841,0.47915484265266356,1896,1896,1896,4274,0.2,0.05,50,False,2
low_cost_accels_only,cross_mask,0.9750000000000001,0.6134768366869443,0.02152550304164713,0.01333645297145536,1.0248725578010898,0.0361944086350434,0.13280084680190352,0.43518951801591016,0.6345343940102948,0.21029652144519745,0.00453185969488938,0.6773514272344408,0.20846981750116986,0.3077720207253886,0.6994366915632046,1896,1896,1896,4274,0.2,0.05,50,False,2
no_shoes,hard,0.9750000000000001,0.6541881141787552,-0.006083294337856815,-0.0009358914365933391,0.9231683960653791,0.061944152481271525,0.07113391211862734,0.4541413196069256,0.6471689284043051,0.18842117928465696,0.004613522415357591,0.7421619092185306,0.25175479644361254,0.33921815889029006,0.4679276891424308,1896,1896,1896,4274,0.2,0.05,50,False,2
no_shoes,cross_mask,0.9750000000000001,0.6541881141787552,0.003509592887225077,0.005381375760411866,0.9231683960653791,0.045520930149427846,0.10884854381897982,0.4808142255498362,0.6586335985025737,0.18842117928465696,0.004613522415357591,0.5973327094057089,0.18483855872718766,0.30943987465726597,0.6933657574568168,1896,1896,1896,4274,0.2,0.05,50,False,2
no_imu_family,hard,0.925,0.47192325690219933,0.16775854000935891,0.14529714553111844,2.099336766941168,1.0156401291572679,1.1462890794272116,0.3437061300889097,0.6361722040243332,0.3259303101298465,0.005559599703447297,0.629153018249883,0.1013102480112307,0.16102640386760878,0.4550157411477611,1896,1896,1896,4274,0.2,0.05,50,False,2
no_imu_family,cross_mask,0.5,0.47192325690219933,0.08890968647636871,0.06176883481516143,2.099336766941168,0.3897176104376878,0.9315180568783739,0.24333177351427235,0.5961628451099672,0.3259303101298465,0.005559599703447297,0.513102480112307,0.021993448759943846,0.04286365709074327,0.6575973959220005,1896,1896,1896,4274,0.2,0.05,50,False,2
severe_three_sensors,hard,0.9750000000000001,0.5818905007019186,-0.03228825456247075,-0.027842770238652337,1.0758014154919395,-0.016394251602704166,-0.0032693683370836964,0.36897519887693025,0.5503041647168928,0.20842279488342416,0.003868449106542921,0.7571361722040243,0.22578380907814694,0.29820766378244745,0.5399219400513965,1896,1896,1896,4274,0.2,0.05,50,False,2
severe_three_sensors,cross_mask,0.8250000000000001,0.5818905007019186,-0.007955077211043604,0.01216658867571363,1.0758014154919395,0.03723301496989652,0.047525271893376235,0.33551708001871783,0.5615348619560131,0.20842279488342416,0.003868449106542921,0.5744033692091718,0.10154422087037904,0.17678207739307536,0.7188016177453164,1896,1896,1896,4274,0.2,0.05,50,False,2
