condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,q_hat,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,seed
low_cost_accels_only,hard,0.9500000000000001,0.5456247075339261,0.08025269068788021,0.08844174075807198,1.278815376647025,0.45585416365486214,0.45801473034479334,0.37856808610201215,0.6261113710809546,0.255444875730018,0.0050271657983756105,0.8404305100608329,0.2529246607393542,0.30094654788418707,0.5071131626665594,1896,1896,1896,4274,0.2,0.05,50,False,0
low_cost_accels_only,cross_mask,0.9750000000000001,0.5456247075339261,0.07159569489939166,0.06083294337856804,1.278815376647025,0.21224602928203967,0.4138455744407048,0.4286382779597567,0.6211979410388395,0.255444875730018,0.0050271657983756105,0.6452971455311184,0.19489939167056622,0.3020304568527919,0.6833022086208572,1896,1896,1896,4274,0.2,0.05,50,False,0
no_shoes,hard,0.9500000000000001,0.6469349555451568,0.0007019185774449488,0.003509592887225077,0.9627519861458742,0.1610760221994913,0.16488680858050445,0.44033692091717364,0.6457650912494151,0.20135865478063078,0.004743014976332506,0.7856808610201217,0.2648572765559195,0.33710541989279336,0.47576599570014816,1896,1896,1896,4274,0.2,0.05,50,False,0
no_shoes,cross_mask,0.9750000000000001,0.6469349555451568,0.004211511464670026,0.02152550304164713,0.9627519861458742,0.07271844294081714,0.18414410056435598,0.5049134300421151,0.6502105755732335,0.20135865478063078,0.004743014976332506,0.5142723444080487,0.15629386991109032,0.3039126478616925,0.6921560948793253,1896,1896,1896,4274,0.2,0.05,50,False,0
no_imu_family,hard,0.875,0.4293401965372017,0.21642489471221338,0.18858212447356104,2.3351412325007717,1.1592190747343016,1.3928885358010386,0.28802058961160504,0.6408516612073,0.3686951154829751,0.005819710451895055,0.685072531586336,0.10832943378568086,0.15812841530054644,0.46554906407017504,1896,1896,1896,4274,0.2,0.05,50,False,0
no_imu_family,cross_mask,0.5,0.4293401965372017,0.10224613944782401,0.06504445484323818,2.3351412325007717,0.39435486503052597,1.1810841514686243,0.24824520355638746,0.5940570893776322,0.3686951154829751,0.005819710451895055,0.43823116518483857,0.028076743097800654,0.06406833956219968,0.667954057753042,1896,1896,1896,4274,0.2,0.05,50,False,0
severe_three_sensors,hard,0.9750000000000001,0.5704258306036499,-0.028544688816097286,-0.02269536733738886,1.2739603270818842,0.20948930197645466,0.23003332747504862,0.23935423490875057,0.5416471689284043,0.25601906237854255,0.0027766602070604723,0.8755264389330838,0.2159569489939167,0.24665954035275253,0.5405709385582352,1896,1896,1896,4274,0.2,0.05,50,False,0
severe_three_sensors,cross_mask,0.925,0.5704258306036499,-0.020823584464202072,-0.017313991576976995,1.2739603270818842,0.24003002405087215,0.23947247171470576,0.2040243331773514,0.5477304632662611,0.25601906237854255,0.0027766602070604723,0.9756668226485727,0.1906878802058961,0.19544364508393286,0.7183549225971952,1896,1896,1896,4274,0.2,0.05,50,False,0
low_cost_accels_only,hard,0.9500000000000001,0.6151146467009827,0.013336452971455248,0.02316331305568553,1.0207979799811306,0.2029451434049266,0.17983766276872137,0.4021993448759944,0.6268132896583997,0.2081543534986808,0.004534839598076309,0.828731867103416,0.2594759007955077,0.31309994353472614,0.5286447532407094,1896,1896,1896,4274,0.2,0.05,50,False,1
low_cost_accels_only,cross_mask,0.9,0.6151146467009827,-0.0016378100140383989,-0.027140851661207277,1.0207979799811306,-0.014728115412668311,0.1543020466581378,0.44712213383247545,0.614646700982686,0.2081543534986808,0.004534839598076309,0.5868039307440337,0.19209171736078615,0.3273524720893142,0.7341614090346081,1896,1896,1896,4274,0.2,0.05,50,False,1
no_shoes,hard,0.9500000000000001,0.6209639681796911,0.027140851661207277,0.031118390266729135,1.006706061763599,0.19144354260188223,0.15960171647806545,0.4396350023397286,0.6457650912494151,0.21411141660385102,0.004931980159984904,0.7962096396817969,0.2634534394010295,0.33088451366441374,0.5134675538573839,1896,1896,1896,4274,0.2,0.05,50,False,1
