condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,q_hat,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,seed
low_cost_accels_only,hard,0.85,0.5854000935891437,0.20870379036031816,0.20262049602246135,0.9254153331365238,0.35064008436567967,0.42287998739075544,0.21572297613476837,0.798315395414132,0.19756696614132238,0.005728488243753005,0.7898923724847917,0.08610201216658868,0.10900473933649289,0.5752543168553248,2137,2137,2137,2137,0.2,0.05,50,True,0
low_cost_accels_only,cross_mask,0.125,0.5854000935891437,-0.0074871314927468235,-0.00046794571829666953,0.9254153331365238,0.002501598340648616,-0.026171717622098915,0.515208235844642,0.42255498362189986,0.19756696614132238,0.005728488243753005,0.43659335517080017,0.10388394946186243,0.2379421221864952,0.7814782376928509,2137,2137,2137,2137,0.2,0.05,50,True,0
no_shoes,hard,0.95,0.6626111371080955,0.15208235844642015,0.14927468413664013,0.8242038051033295,0.29741551276602557,0.37124839004581983,0.256902199344876,0.8132896583996256,0.17618636198988938,0.005920738429800899,0.7435657463734207,0.07627515208235845,0.10258023914411579,0.5419424407975063,2137,2137,2137,2137,0.2,0.05,50,True,0
no_shoes,cross_mask,0.4,0.6626111371080955,-0.07206364061768833,0.0,0.8242038051033295,-0.03884290746959047,-0.16619838794430053,0.6738418343472157,0.4155357978474497,0.17618636198988938,0.005920738429800899,0.3219466541881142,0.10341600374356574,0.32122093023255816,0.8154756745158227,2137,2137,2137,2137,0.2,0.05,50,True,0
no_imu_family,hard,0.975,0.4319138979878334,0.3579784744969583,0.3458118858212448,2.0914065078321897,1.3218945715925472,1.6093788293879459,0.17969115582592418,0.7889564810481984,0.35073866119382313,0.007969123176494413,0.788020589611605,0.055217594759007955,0.07007125890736342,0.5697716130906638,2137,2137,2137,2137,0.2,0.05,50,True,0
no_imu_family,cross_mask,0.125,0.4319138979878334,0.006083294337856815,0.0,2.0914065078321897,0.12386046055053931,0.14773091577892167,0.23163313055685542,0.43799719232569023,0.35073866119382313,0.007969123176494413,0.46186242395882077,0.02573701450631727,0.05572441742654509,0.9748454508093539,2137,2137,2137,2137,0.2,0.05,50,True,0
severe_three_sensors,hard,0.95,0.6050538137576041,0.19185774450163784,0.18858212447356104,1.038916455040971,0.5002837440490353,0.5320084868574948,0.2129153018249883,0.7955077211043519,0.19774390592734895,0.006047994258859355,0.799719232569022,0.07206364061768834,0.0901111761263897,0.5494526196803564,2137,2137,2137,2137,0.2,0.05,50,True,0
severe_three_sensors,cross_mask,0.1,0.6050538137576041,-0.0074871314927468235,0.0,1.038916455040971,-0.0026941699330357964,-0.0029359069405168903,0.42115114646700985,0.4155357978474497,0.19774390592734895,0.006047994258859355,0.3598502573701451,0.02105755732335049,0.05851755526657997,0.8411847152024361,2137,2137,2137,2137,0.2,0.05,50,True,0
low_cost_accels_only,hard,1.0,0.6162845109967244,0.17688348151614408,0.16846045858680392,0.9395097920521248,0.3443606656401362,0.43462300079345906,0.2690687880205896,0.7931679925128685,0.18853752799877174,0.006106200732916459,0.7356106691623772,0.09124941506785213,0.12404580152671756,0.56,2137,2137,2137,2137,0.2,0.05,50,True,1
low_cost_accels_only,cross_mask,0.075,0.6162845109967244,0.0014038371548900086,0.0009358914365933391,0.9395097920521248,0.01107873659572868,0.011189029543047778,0.13008890968647638,0.42817033224146,0.18853752799877174,0.006106200732916459,0.744501637810014,0.0014038371548900327,0.0018856065367693275,0.8057773332785532,2137,2137,2137,2137,0.2,0.05,50,True,1
no_shoes,hard,0.975,0.6438933083762284,0.15582592419279362,0.15863359850257364,0.8357201170655221,0.31173236819088673,0.3712586371713785,0.2840430510060833,0.7964436125409452,0.18586027551803708,0.006237076623894011,0.7159569489939167,0.0832943378568086,0.11633986928104575,0.5492128442837065,2137,2137,2137,2137,0.2,0.05,50,True,1
