condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,q_hat,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,notes,seed,design,protocol,base_acc,base_wf1,blanket_acc,blanket_wf1,gated_acc,gated_wf1
low_cost_accels_only,hard,0.9,0.5661929693343306,0.18175018698578904,0.18997756170531033,2.8654199690197784,1.8241758571133144,2.2859398258349577,0.4405385190725505,0.7277486910994765,0.3117812028728039,0.011845983569888141,0.4988780852655198,0.06282722513089005,0.12593703148425786,0.6155399048952106,1336,1336,1336,1337,0.2,0.05,50,True,[],0,condition_specialist,deployment,0.5661929693343306,0.5551627953820899,0.7479431563201197,0.7390107775188997,0.7561705310396409,0.7484352640315047
low_cost_accels_only,cross_mask,1.0,0.5661929693343306,0.008975317875841382,0.0718025430067315,2.8654199690197784,0.4751282851725268,1.52021320693348,0.4667165295437547,0.575168287210172,0.3117812028728039,0.011845983569888141,0.3410620792819746,0.05983545250560957,0.17543859649122806,0.8828466191722343,1336,1336,1336,1337,0.2,0.05,50,True,[],0,condition_specialist,deployment,0.5661929693343306,0.5551627953820899,0.575168287210172,0.5213464004200052,0.6379955123410621,0.6059820241486218
low_cost_accels_only,hard,1.0,0.44278234854151083,0.29394166043380704,0.28421839940164545,3.8587918137487054,2.1957881901187615,3.097869171205152,0.3036649214659686,0.7367240089753179,0.4332663888718053,0.012555481328700928,0.606581899775617,0.059087509349289455,0.09741060419235512,0.62,1336,1336,1336,1337,0.2,0.05,50,True,[],0,full_masked,deployment,0.44278234854151083,0.42915983475339065,0.7367240089753179,0.7373083929203227,0.7270007479431563,0.7245271403936604
low_cost_accels_only,cross_mask,0.975,0.44278234854151083,0.15632011967090503,0.16080777860882572,3.8587918137487054,1.597827181160662,2.6689631264958558,0.37471952131638,0.5968586387434555,0.4332663888718053,0.012555481328700928,0.5759162303664922,0.1323859386686612,0.22987012987012986,0.82976761480593,1336,1336,1336,1337,0.2,0.05,50,True,[],0,full_masked,deployment,0.44278234854151083,0.42915983475339065,0.5991024682124159,0.5414802079156976,0.6035901271503366,0.5542606455466693
no_shoes,hard,0.95,0.6320119670905011,0.149588631264024,0.15482423335826478,2.6275596916973427,1.4812925186298107,2.0872140402836314,0.4682124158563949,0.7763649962602842,0.28402345316371347,0.011614314627266946,0.49214659685863876,0.07180254300673149,0.1458966565349544,0.5700178616293176,1336,1336,1336,1337,0.2,0.05,50,True,[],0,condition_specialist,deployment,0.6320119670905011,0.6259936730966847,0.7816005983545251,0.7822042768239683,0.7868362004487659,0.7851158736594406
no_shoes,cross_mask,0.8,0.6320119670905011,-0.00972326103216159,0.010471204188481686,2.6275596916973427,0.16652962669130592,1.5135821795864588,0.5026178010471204,0.5931189229618549,0.28402345316371347,0.011614314627266946,0.24906507105459985,0.03590127150336574,0.14414414414414414,0.7998739615380369,1336,1336,1336,1337,0.2,0.05,50,True,[],0,condition_specialist,deployment,0.6320119670905011,0.6259936730966847,0.6222887060583395,0.5833659677846524,0.6424831712789828,0.6325469588521916
no_shoes,hard,0.975,0.6148092744951383,0.16753926701570687,0.16454749439042637,2.9333079115738827,1.564279205586877,2.359919489876088,0.42034405385190726,0.7830964846671653,0.2860132316760188,0.01161882293274188,0.5056095736724009,0.055347793567688854,0.10946745562130178,0.585384327345444,1336,1336,1336,1337,0.2,0.05,50,True,[],0,full_masked,deployment,0.6148092744951383,0.5843487627792224,0.7823485415108452,0.7814932066381326,0.7793567688855647,0.77541427897366
no_shoes,cross_mask,0.75,0.6148092744951383,0.011219147344801783,0.01421091997008228,2.9333079115738827,0.11871168086572675,1.916934024013213,0.4831712789827973,0.6013462976813763,0.2860132316760188,0.01161882293274188,0.243829468960359,0.027673896783844427,0.11349693251533742,0.7529368465950789,1336,1336,1336,1337,0.2,0.05,50,True,[],0,full_masked,deployment,0.6148092744951383,0.5843487627792224,0.6260284218399401,0.5777651481898292,0.6290201944652206,0.5958287764605915
no_imu_family,hard,0.875,0.5295437546746448,0.2198952879581152,0.2131637995512341,4.039441193705808,2.780153528781574,3.452076213371325,0.4637247569184742,0.7292445774121167,0.3718956825413529,0.012754270209264812,0.48915482423335827,0.07554225878833208,0.154434250764526,0.5974999499187593,1336,1336,1336,1337,0.2,0.05,50,True,[],0,condition_specialist,deployment,0.5295437546746448,0.4665590967468559,0.74943904263276,0.7493128949430768,0.7427075542258789,0.7381297817954815
no_imu_family,cross_mask,0.025,0.5295437546746448,0.0,0.0,4.039441193705808,1.4782797763258502,1.4782797763258502,0.0,0.5602094240837696,0.3718956825413529,0.012754270209264812,1.0,0.0,0.0,0.993483655340318,1336,1336,1336,1337,0.2,0.05,50,True,[],0,condition_specialist,deployment,0.5295437546746448,0.4665590967468559,0.5295437546746448,0.4665590967468559,0.5295437546746448,0.4665590967468559
