condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,q_hat,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,seed
low_cost_accels_only,hard,0.9500000000000001,0.5719626168224299,0.16355140186915895,0.15700934579439252,0.964359567773257,0.30896517497320913,0.35978730342619986,0.288785046728972,0.72803738317757,0.19330640864618812,0.007851356309396325,0.7570093457943925,0.12710280373831775,0.16790123456790124,0.5727896107528985,1068,1068,1068,1070,0.2,0.05,50,True,0
low_cost_accels_only,cross_mask,0.0,0.5719626168224299,0.0,0.0,0.964359567773257,0.0,0.0,0.0,0.36822429906542054,0.19330640864618812,0.007851356309396325,1.0,0.0,0.0,0.7705679708317423,1068,1068,1068,1070,0.2,0.05,50,True,0
no_shoes,hard,0.875,0.6579439252336449,0.08317757009345794,0.07102803738317753,0.8826434722534876,0.17635667504335772,0.29707964675726695,0.3401869158878505,0.7327102803738318,0.17479954425629107,0.008603229892722825,0.6448598130841121,0.102803738317757,0.15942028985507245,0.5874575837608077,1068,1068,1068,1070,0.2,0.05,50,True,0
no_shoes,cross_mask,0.05,0.6579439252336449,-0.0037383177570093906,-0.0037383177570093906,0.8826434722534876,0.023628207654425384,0.023300058613766033,0.0065420560747663555,0.36074766355140186,0.17479954425629107,0.008603229892722825,0.9934579439252337,0.0,0.0,0.7749953107156082,1068,1068,1068,1070,0.2,0.05,50,True,0
no_imu_family,hard,0.9750000000000001,0.4280373831775701,0.28411214953271025,0.25794392523364484,2.0193949364397117,1.0638421499302622,1.374681783374634,0.2205607476635514,0.7093457943925233,0.3305479789239394,0.010868353771504066,0.7476635514018691,0.07663551401869159,0.1025,0.6034529862432889,1068,1068,1068,1070,0.2,0.05,50,True,0
no_imu_family,cross_mask,0.8,0.4280373831775701,-0.014018691588785048,-0.0009345794392523477,2.0193949364397117,-0.010059132717747547,0.6382977057019419,0.4392523364485981,0.3822429906542056,0.3305479789239394,0.010868353771504066,0.1280373831775701,0.027102803738317756,0.2116788321167883,0.8571076706759492,1068,1068,1068,1070,0.2,0.05,50,True,0
severe_three_sensors,hard,0.9750000000000001,0.5710280373831775,0.15514018691588793,0.15140186915887854,1.085734633670449,0.3980983273726465,0.4444627096788191,0.24299065420560748,0.7233644859813084,0.19467956005900208,0.008351984355778797,0.7588785046728972,0.08691588785046729,0.1145320197044335,0.5950262321950344,1068,1068,1068,1070,0.2,0.05,50,True,0
severe_three_sensors,cross_mask,0.1,0.5710280373831775,-0.004672897196261627,-0.0009345794392523477,1.085734633670449,0.01747016709993963,0.007511227193257405,0.44299065420560746,0.33084112149532713,0.19467956005900208,0.008351984355778797,0.37383177570093457,0.010280373831775701,0.0275,0.8087658777166897,1068,1068,1068,1070,0.2,0.05,50,True,0
low_cost_accels_only,hard,0.9500000000000001,0.5962616822429907,0.1383177570093458,0.13551401869158874,0.9543963481720613,0.29594373989422323,0.35825652143658643,0.33738317757009345,0.7317757009345794,0.19094252398803427,0.008724731572942956,0.694392523364486,0.12149532710280374,0.17496635262449528,0.6038041624799649,1068,1068,1068,1070,0.2,0.05,50,True,1
low_cost_accels_only,cross_mask,0.05,0.5962616822429907,0.0009345794392523477,0.0009345794392523477,0.9543963481720613,0.008830316449416882,0.008830316449416882,0.0,0.4252336448598131,0.19094252398803427,0.008724731572942956,1.0,0.0,0.0,0.8035517646363668,1068,1068,1068,1070,0.2,0.05,50,True,1
