condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,q_hat,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,seed
low_cost_accels_only,hard,0.2,0.5816565278427702,0.01216658867571363,-0.00046794571829666953,0.996211421327236,-0.001230014526586359,0.10382932394824027,0.49368273280299485,0.4174075807206364,0.20941289319933507,0.006178933298853592,0.11979410388394947,0.0004679457182966776,0.00390625,0.8029435504961016,100,100,100,2137,0.2,0.05,50,True,0
low_cost_accels_only,cross_mask,0.0,0.5816565278427702,0.0,0.0,0.996211421327236,0.0,0.0,0.0,0.43518951801591016,0.20941289319933507,0.006178933298853592,1.0,0.0,0.0,0.8613035318255428,100,100,100,2137,0.2,0.05,50,True,0
no_shoes,hard,0.25,0.6565278427702387,0.005615348619560145,0.0,1.020808531813188,-0.0001740531870844021,0.21726914833983801,0.6279831539541413,0.4160037435657464,0.20193629232307453,0.006983207874721637,0.03275620028076743,0.0,0.0,0.8121714463330806,100,100,100,2137,0.2,0.05,50,True,0
no_shoes,cross_mask,0.07500000000000001,0.6565278427702387,-0.0014038371548900086,0.0,1.020808531813188,0.04136353710056224,0.07121686421003681,0.2774918109499298,0.4258306036499766,0.20193629232307453,0.006983207874721637,0.5727655591951334,0.0,0.0,0.8740934187979996,100,100,100,2137,0.2,0.05,50,True,0
no_imu_family,hard,0.8500000000000001,0.42910622367805334,0.043518951801591044,0.08048666354702855,1.983454082148427,0.22004965222699752,0.8686987817085801,0.3664014974262986,0.4160037435657464,0.3434714922952305,0.007734440624797251,0.2597098736546561,0.007955077211043519,0.03063063063063063,0.8259678778135777,100,100,100,2137,0.2,0.05,50,True,0
no_imu_family,cross_mask,0.8250000000000001,0.42910622367805334,0.02573701450631727,0.0,1.983454082148427,-3.668547767369479e-06,0.539389263211281,0.5255030416471689,0.45156761815629387,0.3434714922952305,0.007734440624797251,0.0004679457182966776,0.0,0.0,0.8965674158646301,100,100,100,2137,0.2,0.05,50,True,0
severe_three_sensors,hard,0.225,0.5807206364061769,-0.009358914365933502,-0.0032756200280766867,1.1721214396013768,0.0036400253443737724,0.024214523714381483,0.341132428638278,0.4206832007487131,0.222296375207899,0.004348201241616592,0.22508189050070193,0.005615348619560131,0.02494802494802495,0.8264753561392427,100,100,100,2137,0.2,0.05,50,True,0
severe_three_sensors,cross_mask,0.0,0.5807206364061769,0.0,0.0,1.1721214396013768,0.0,0.0,0.0,0.26438933083762284,0.222296375207899,0.004348201241616592,1.0,0.0,0.0,0.837847507596016,100,100,100,2137,0.2,0.05,50,True,0
low_cost_accels_only,hard,0.225,0.6148806738418343,0.00046794571829666953,0.00046794571829666953,0.9063724046013897,0.000319905067285565,0.02968746801243361,0.6144127281235376,0.47075339260645765,0.19264587881783787,0.005970593169010545,0.062236780533458116,0.0009358914365933552,0.015037593984962405,0.7179596530020237,100,100,100,2137,0.2,0.05,50,True,1
low_cost_accels_only,cross_mask,0.125,0.6148806738418343,-0.002807674309780017,0.0,0.9063724046013897,-0.00900970686591912,-0.02032338898757732,0.6172204024333178,0.45016378100140386,0.19264587881783787,0.005970593169010545,0.2980814225549836,0.08189050070191858,0.27472527472527475,0.7268971278519702,100,100,100,2137,0.2,0.05,50,True,1
