condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,q_hat,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,seed
low_cost_accels_only,hard,0.0,0.5854000935891437,0.0,0.0,0.9254153331365238,0.0,0.0,0.0,0.4174075807206364,0.1983175534860202,0.005731803664189823,1.0,0.0,0.0,0.8059451305866242,100,100,100,2137,0.2,0.05,50,True,0
low_cost_accels_only,cross_mask,0.0,0.5854000935891437,0.0,0.0,0.9254153331365238,0.0,0.0,0.0,0.46607393542349085,0.1983175534860202,0.005731803664189823,1.0,0.0,0.0,0.8059451305866242,100,100,100,2137,0.2,0.05,50,True,0
no_shoes,hard,0.025,0.6626111371080955,0.0009358914365933391,0.0009358914365933391,0.8242038051033295,0.026652965947832966,0.026652965947832966,0.0,0.4160037435657464,0.17574339100611336,0.005927430478029161,1.0,0.0,0.0,0.7645220963506402,100,100,100,2137,0.2,0.05,50,True,0
no_shoes,cross_mask,0.0,0.6626111371080955,0.0,0.0,0.8242038051033295,0.0,0.0,0.0,0.48759943846513804,0.17574339100611336,0.005927430478029161,1.0,0.0,0.0,0.7713082051277163,100,100,100,2137,0.2,0.05,50,True,0
no_imu_family,hard,0.8500000000000001,0.4319138979878334,0.039775386055217576,0.07065980346279832,2.0914065078321897,0.13816730088840967,0.9745930240822,0.371548900327562,0.4160037435657464,0.3524326764917436,0.007954104962874726,0.2171268132896584,0.0070191857744501636,0.032327586206896554,0.8291741076440085,100,100,100,2137,0.2,0.05,50,True,0
no_imu_family,cross_mask,0.7000000000000001,0.4319138979878334,0.05802526906878802,0.0,2.0914065078321897,1.5125938404195082e-05,0.5692729704985277,0.5348619560131025,0.4932147870846982,0.3524326764917436,0.007954104962874726,0.0014038371548900327,0.0,0.0,0.9409074854096039,100,100,100,2137,0.2,0.05,50,True,0
severe_three_sensors,hard,0.325,0.6050538137576041,0.0014038371548900086,0.00046794571829666953,1.038916455040971,-0.0004090925172319507,0.0724910162291768,0.6106691623771643,0.4206832007487131,0.19559853689582093,0.006054459403929384,0.02152550304164717,0.0018717828731867104,0.08695652173913043,0.8372366316560657,100,100,100,2137,0.2,0.05,50,True,0
severe_three_sensors,cross_mask,0.2,0.6050538137576041,-0.01123069723912029,0.0,1.038916455040971,0.0010594818612002467,0.018010878149837695,0.686476368741226,0.33130556855404775,0.19559853689582093,0.006054459403929384,0.014974262985493684,0.0,0.0,0.8611819620240834,100,100,100,2137,0.2,0.05,50,True,0
low_cost_accels_only,hard,0.25,0.6162845109967244,0.0018717828731866781,0.0,0.9395097920521248,0.0006079856697443106,0.051503213641495585,0.6265793167992513,0.47075339260645765,0.19736208372429778,0.006167180565649109,0.048198408984557795,0.0004679457182966776,0.009708737864077669,0.7178906942129136,100,100,100,2137,0.2,0.05,50,True,1
low_cost_accels_only,cross_mask,0.125,0.6162845109967244,-0.00046794571829678056,0.00046794571829666953,0.9395097920521248,-0.0014543246169781254,-0.002193014580082888,0.6710341600374357,0.4071127749181095,0.19736208372429778,0.006167180565649109,0.0645765091249415,0.015910154422087038,0.2463768115942029,0.7354230415739498,100,100,100,2137,0.2,0.05,50,True,1
