dataset,protocol,pool,seed,condition,richer_fit,poorer_fit,met_fit,richer_conf,poorer_conf,met_conf,richer_test,poorer_test,met_test
bindingdb,cluster,source,42,prot50,0.531066,0.52235,True,0.524318,0.515322,True,0.551433,0.536818,True
bindingdb,cluster,source,42,prot25,0.531066,0.515603,True,0.524318,0.509418,True,0.551433,0.528949,True
bindingdb,cluster,source,42,scaffold,0.531066,0.529379,True,0.524318,0.525724,False,0.551433,0.537381,True
bindingdb,cluster,source,42,scaffold_prot50,0.531066,0.51729,True,0.524318,0.519258,True,0.551433,0.527825,True
bindingdb,cluster,deployment,42,prot50,0.52636,0.517503,True,0.522564,0.51202,True,0.551433,0.536818,True
bindingdb,cluster,deployment,42,prot25,0.52636,0.517503,True,0.522564,0.505694,True,0.551433,0.528949,True
bindingdb,cluster,deployment,42,scaffold,0.52636,0.531,False,0.522564,0.528047,False,0.551433,0.537381,True
bindingdb,cluster,deployment,42,scaffold_prot50,0.52636,0.520456,True,0.522564,0.519612,True,0.551433,0.527825,True
bindingdb,random,source,1,prot50,0.910976,0.847154,True,0.903659,0.844715,True,0.905488,0.84502,True
bindingdb,random,source,1,prot25,0.910976,0.682927,True,0.903659,0.676016,True,0.905488,0.681301,True
bindingdb,random,source,1,scaffold,0.910976,0.779268,True,0.903659,0.786179,True,0.905488,0.785772,True
bindingdb,random,source,1,scaffold_prot50,0.910976,0.74187,True,0.903659,0.718699,True,0.905488,0.733943,True
bindingdb,random,deployment,1,prot50,0.906707,0.846951,True,0.9,0.841463,True,0.905488,0.84502,True
bindingdb,random,deployment,1,prot25,0.906707,0.687805,True,0.9,0.666463,True,0.905488,0.681301,True
bindingdb,random,deployment,1,scaffold,0.906707,0.77561,True,0.9,0.787195,True,0.905488,0.785772,True
bindingdb,random,deployment,1,scaffold_prot50,0.906707,0.731098,True,0.9,0.718293,True,0.905488,0.733943,True
bindingdb,random,source,2,prot50,0.904065,0.822358,True,0.912195,0.827642,True,0.905386,0.825508,True
bindingdb,random,source,2,prot25,0.904065,0.647561,True,0.912195,0.639024,True,0.905386,0.648272,True
bindingdb,random,source,2,scaffold,0.904065,0.790244,True,0.912195,0.782114,True,0.905386,0.78435,True
bindingdb,random,source,2,scaffold_prot50,0.904065,0.732927,True,0.912195,0.721951,True,0.905386,0.716362,True
bindingdb,random,deployment,2,prot50,0.906707,0.828049,True,0.909146,0.821951,True,0.905386,0.825508,True
bindingdb,random,deployment,2,prot25,0.906707,0.643902,True,0.909146,0.639024,True,0.905386,0.648272,True
bindingdb,random,deployment,2,scaffold,0.906707,0.782927,True,0.909146,0.782927,True,0.905386,0.78435,True
bindingdb,random,deployment,2,scaffold_prot50,0.906707,0.720732,True,0.909146,0.721951,True,0.905386,0.716362,True
bindingdb,random,source,42,prot50,0.899187,0.836992,True,0.913415,0.838618,True,0.907419,0.840752,True
bindingdb,random,source,42,prot25,0.899187,0.689837,True,0.913415,0.686992,True,0.907419,0.704878,True
bindingdb,random,source,42,scaffold,0.899187,0.782927,True,0.913415,0.787398,True,0.907419,0.779167,True
bindingdb,random,source,42,scaffold_prot50,0.899187,0.713821,True,0.913415,0.724797,True,0.907419,0.715244,True
bindingdb,random,deployment,42,prot50,0.908537,0.830488,True,0.910976,0.841463,True,0.907419,0.840752,True
bindingdb,random,deployment,42,prot25,0.908537,0.695732,True,0.910976,0.686585,True,0.907419,0.704878,True
bindingdb,random,deployment,42,scaffold,0.908537,0.790244,True,0.910976,0.784756,True,0.907419,0.779167,True
bindingdb,random,deployment,42,scaffold_prot50,0.908537,0.719512,True,0.910976,0.721341,True,0.907419,0.715244,True
biosnap,cluster,source,1,prot50,0.576075,0.519846,True,0.554576,0.53032,True,0.557883,0.53032,True
biosnap,cluster,source,1,prot25,0.576075,0.522051,True,0.554576,0.515436,True,0.557883,0.503859,True
biosnap,cluster,source,1,scaffold,0.576075,0.548512,True,0.554576,0.53473,True,0.557883,0.541345,True
biosnap,cluster,source,1,scaffold_prot50,0.576075,0.53032,True,0.554576,0.50882,True,0.557883,0.502756,True
biosnap,cluster,deployment,1,prot50,0.546733,0.516956,True,0.55914,0.53019,True,0.557883,0.53032,True
biosnap,cluster,deployment,1,prot25,0.546733,0.507031,True,0.55914,0.517783,True,0.557883,0.503859,True
biosnap,cluster,deployment,1,scaffold,0.546733,0.532672,True,0.55914,0.53019,True,0.557883,0.541345,True
biosnap,cluster,deployment,1,scaffold_prot50,0.546733,0.494624,True,0.55914,0.507858,True,0.557883,0.502756,True
biosnap,cluster,source,2,prot50,0.568357,0.522051,True,0.583241,0.540794,True,0.573319,0.545755,True
biosnap,cluster,source,2,prot25,0.568357,0.511577,True,0.583241,0.517089,True,0.573319,0.509372,True
biosnap,cluster,source,2,scaffold,0.568357,0.563947,True,0.583241,0.557332,True,0.573319,0.560088,True
biosnap,cluster,source,2,scaffold_prot50,0.568357,0.50882,True,0.583241,0.510474,True,0.573319,0.513782,True
biosnap,cluster,deployment,2,prot50,0.583954,0.54177,True,0.578991,0.533499,True,0.573319,0.545755,True
biosnap,cluster,deployment,2,prot25,0.583954,0.53598,True,0.578991,0.502895,True,0.573319,0.509372,True
biosnap,cluster,deployment,2,scaffold,0.583954,0.563275,True,0.578991,0.557486,True,0.573319,0.560088,True
biosnap,cluster,deployment,2,scaffold_prot50,0.583954,0.515302,True,0.578991,0.512821,True,0.573319,0.513782,True
