study,bench,name,seed,cond,arm,rep,noise,pool_frac,policy,chosen,k,beta,n_pool,n_fit,n_conf,n_test,base_metric,gate_metric_delta,blanket_metric_delta,base_accuracy,gate_accuracy,joint_harm,blanket_joint_harm,apply_rate,target_accuracy
clean,drugban,bindingdb,s42,prot25,deployment,,,,selected,cross_mask,5,0.75,1640,1640,1640,9840,0.7642491380838463,0.04367507987421737,0.06096646653626603,0.7048780487804878,0.7508130081300813,0.18648373983739838,0.5137195121951219,0.48790650406504066,0.7294715447154472
clean,drugban,bindingdb,s42,prot25,deployment,,,,hard,hard,5,0.675,1640,1640,1640,9840,0.7642491380838463,0.047457174937945656,0.05729479822724626,0.7048780487804878,0.7523373983739837,0.1858739837398374,0.4758130081300813,0.49847560975609756,0.7211382113821139
clean,drugban,bindingdb,s42,prot25,deployment,,,,cross_mask,cross_mask,5,0.75,1640,1640,1640,9840,0.7642491380838463,0.04367507987421737,0.06096646653626603,0.7048780487804878,0.7508130081300813,0.18648373983739838,0.5137195121951219,0.48790650406504066,0.7294715447154472
clean,drugban,bindingdb,s42,scaffold_prot50,deployment,,,,selected,hard,3,0.5,1640,1640,1640,9840,0.8160400523032876,0.04542058034580854,0.0519086417407002,0.7152439024390244,0.7852642276422764,0.13932926829268294,0.325609756097561,0.4071138211382114,0.7569105691056911
clean,drugban,bindingdb,s42,scaffold_prot50,deployment,,,,hard,hard,3,0.5,1640,1640,1640,9840,0.8160400523032876,0.04542058034580854,0.0519086417407002,0.7152439024390244,0.7852642276422764,0.13932926829268294,0.325609756097561,0.4071138211382114,0.7569105691056911
clean,drugban,bindingdb,s42,scaffold_prot50,deployment,,,,cross_mask,cross_mask,3,0.65,1640,1640,1640,9840,0.8160400523032876,0.04389291090885217,0.055890305280169805,0.7152439024390244,0.7875,0.10630081300813009,0.41229674796747967,0.32784552845528453,0.7717479674796748
clean,drugban,bindingdb,s1,prot25,deployment,,,,selected,cross_mask,3,0.6000000000000001,1640,1640,1640,9840,0.7571158634631499,0.06255505373960168,0.07606196141415045,0.6813008130081301,0.7578252032520325,0.16473577235772358,0.4317073170731707,0.4611788617886179,0.725609756097561
clean,drugban,bindingdb,s1,prot25,deployment,,,,hard,hard,3,0.55,1640,1640,1640,9840,0.7571158634631499,0.056506315439771804,0.06556639644890716,0.6813008130081301,0.7517276422764227,0.1782520325203252,0.3779471544715447,0.4891260162601626,0.7095528455284553
clean,drugban,bindingdb,s1,prot25,deployment,,,,cross_mask,cross_mask,3,0.6000000000000001,1640,1640,1640,9840,0.7571158634631499,0.06255505373960168,0.07606196141415045,0.6813008130081301,0.7578252032520325,0.16473577235772358,0.4317073170731707,0.4611788617886179,0.725609756097561
clean,drugban,bindingdb,s1,scaffold_prot50,deployment,,,,selected,hard,5,0.5,1640,1640,1640,9840,0.8038514119043958,0.052629076275514164,0.06034815759302714,0.7339430894308943,0.7904471544715447,0.18536585365853658,0.4559959349593496,0.4527439024390244,0.7453252032520326
clean,drugban,bindingdb,s1,scaffold_prot50,deployment,,,,hard,hard,5,0.5,1640,1640,1640,9840,0.8038514119043958,0.052629076275514164,0.06034815759302714,0.7339430894308943,0.7904471544715447,0.18536585365853658,0.4559959349593496,0.4527439024390244,0.7453252032520326
clean,drugban,bindingdb,s1,scaffold_prot50,deployment,,,,cross_mask,cross_mask,5,0.55,1640,1640,1640,9840,0.8038514119043958,0.0528010380625783,0.06447687943016045,0.7339430894308943,0.7995934959349593,0.1628048780487805,0.520020325203252,0.4140243902439024,0.7546747967479674
clean,drugban,bindingdb,s2,prot25,deployment,,,,selected,cross_mask,3,0.7000000000000001,1640,1640,1640,9840,0.7512330845708878,0.07401008416783439,0.07620714662885086,0.6482723577235773,0.7547764227642276,0.1638211382113821,0.41544715447154473,0.5041666666666667,0.7262195121951219
clean,drugban,bindingdb,s2,prot25,deployment,,,,hard,hard,3,0.625,1640,1640,1640,9840,0.7512330845708878,0.06719970350799487,0.07290087849293791,0.6482723577235773,0.7572154471544715,0.15548780487804878,0.390650406504065,0.4871951219512195,0.7208333333333333
clean,drugban,bindingdb,s2,prot25,deployment,,,,cross_mask,cross_mask,3,0.7000000000000001,1640,1640,1640,9840,0.7512330845708878,0.07401008416783439,0.07620714662885086,0.6482723577235773,0.7547764227642276,0.1638211382113821,0.41544715447154473,0.5041666666666667,0.7262195121951219
clean,drugban,bindingdb,s2,scaffold_prot50,deployment,,,,selected,hard,3,0.6000000000000001,1640,1640,1640,9840,0.7803093345430043,0.06472414766636858,0.07445185504176899,0.7163617886178861,0.7909552845528456,0.16321138211382114,0.3485772357723577,0.4375,0.7563008130081301
clean,drugban,bindingdb,s2,scaffold_prot50,deployment,,,,hard,hard,3,0.6000000000000001,1640,1640,1640,9840,0.7803093345430043,0.06472414766636858,0.07445185504176899,0.7163617886178861,0.7909552845528456,0.16321138211382114,0.3485772357723577,0.4375,0.7563008130081301
clean,drugban,bindingdb,s2,scaffold_prot50,deployment,,,,cross_mask,cross_mask,3,0.65,1640,1640,1640,9840,0.7803093345430043,0.06950900195158216,0.0862322697797987,0.7163617886178861,0.7981707317073171,0.13597560975609757,0.4091463414634146,0.40223577235772356,0.766260162601626
