study,bench,name,seed,cond,arm,rep,noise,pool_frac,policy,chosen,k,beta,n_pool,n_fit,n_conf,n_test,base_metric,gate_metric_delta,blanket_metric_delta,base_accuracy,gate_accuracy,joint_harm,blanket_joint_harm,apply_rate,target_accuracy
clean,drugban,biosnap,s42,prot25,deployment,,,,selected,cross_mask,12,0.75,915,915,915,5493,0.6875187916099935,0.06293750977694001,0.04845915426486691,0.5514290915710904,0.68068450755507,0.12743491716730385,0.5243036592026216,0.4054250864736938,0.6444565811032222
clean,drugban,biosnap,s42,prot25,deployment,,,,hard,hard,8,0.7000000000000001,915,915,915,5493,0.6875187916099935,0.057073334340855264,0.04157075322871018,0.5514290915710904,0.6719461132350264,0.1711268887675223,0.5101037684325506,0.4776988894957218,0.6388130347715274
clean,drugban,biosnap,s42,prot25,deployment,,,,cross_mask,cross_mask,12,0.75,915,915,915,5493,0.6875187916099935,0.06293750977694001,0.04845915426486691,0.5514290915710904,0.68068450755507,0.12743491716730385,0.5243036592026216,0.4054250864736938,0.6444565811032222
clean,drugban,biosnap,s42,scaffold_prot50,deployment,,,,selected,cross_mask,5,0.675,915,915,915,5493,0.748945151035494,0.04082644639055255,0.04969688171957476,0.6730384125250318,0.7198252321135992,0.14618605497906426,0.5272164573093028,0.3781176042235573,0.6823229564900782
clean,drugban,biosnap,s42,scaffold_prot50,deployment,,,,hard,hard,8,0.625,915,915,915,5493,0.748945151035494,0.03655329393392248,0.04143215267669409,0.6730384125250318,0.7187329328235936,0.194065173857637,0.5729109776078646,0.4263608228654651,0.6663025669033316
clean,drugban,biosnap,s42,scaffold_prot50,deployment,,,,cross_mask,cross_mask,5,0.675,915,915,915,5493,0.748945151035494,0.04082644639055255,0.04969688171957476,0.6730384125250318,0.7198252321135992,0.14618605497906426,0.5272164573093028,0.3781176042235573,0.6823229564900782
clean,drugban,biosnap,s1,prot25,deployment,,,,selected,hard,35,0.7250000000000001,915,915,915,5493,0.6899632254489438,0.05257024151361611,0.05216153228179854,0.5780083742945568,0.6730384125250318,0.1955215729109776,0.558529036956126,0.4968141270708174,0.6298925905698162
clean,drugban,biosnap,s1,prot25,deployment,,,,hard,hard,35,0.7250000000000001,915,915,915,5493,0.6899632254489438,0.05257024151361611,0.05216153228179854,0.5780083742945568,0.6730384125250318,0.1955215729109776,0.558529036956126,0.4968141270708174,0.6298925905698162
clean,drugban,biosnap,s1,prot25,deployment,,,,cross_mask,cross_mask,35,0.7000000000000001,915,915,915,5493,0.6899632254489438,0.048853015804837696,0.051635632339333326,0.5780083742945568,0.6799563080283998,0.17931913344256326,0.5548880393227744,0.4773347897323867,0.6171490988530858
clean,drugban,biosnap,s1,scaffold_prot50,deployment,,,,selected,hard,5,0.5750000000000001,915,915,915,5493,0.7583786718209369,0.029123217282713276,0.03773076892484151,0.6744948115783724,0.7356635718186784,0.1427271072273803,0.5412342981977062,0.3648279628618241,0.6688512652466776
clean,drugban,biosnap,s1,scaffold_prot50,deployment,,,,hard,hard,5,0.5750000000000001,915,915,915,5493,0.7583786718209369,0.029123217282713276,0.03773076892484151,0.6744948115783724,0.7356635718186784,0.1427271072273803,0.5412342981977062,0.3648279628618241,0.6688512652466776
clean,drugban,biosnap,s1,scaffold_prot50,deployment,,,,cross_mask,cross_mask,5,0.6000000000000001,915,915,915,5493,0.7583786718209369,0.03128541240789784,0.0481843393970246,0.6744948115783724,0.7342071727653378,0.13999635900236665,0.561077735299472,0.3764791552885491,0.6865101037684326
clean,drugban,biosnap,s2,prot25,deployment,,,,selected,cross_mask,20,0.775,915,915,915,5493,0.6612175637589053,0.059632440085586325,0.0732131730843163,0.5840160203895868,0.6737666120517022,0.16038594574913526,0.5507008920444202,0.4394684143455307,0.651920626251593
clean,drugban,biosnap,s2,prot25,deployment,,,,hard,hard,50,0.8,915,915,915,5493,0.6612175637589053,0.07122106357198343,0.07619610089006612,0.5840160203895868,0.6635718186783178,0.1531039504824322,0.5608956854178044,0.3883123975969416,0.641543782996541
clean,drugban,biosnap,s2,prot25,deployment,,,,cross_mask,cross_mask,20,0.775,915,915,915,5493,0.6612175637589053,0.059632440085586325,0.0732131730843163,0.5840160203895868,0.6737666120517022,0.16038594574913526,0.5507008920444202,0.4394684143455307,0.651920626251593
clean,drugban,biosnap,s2,scaffold_prot50,deployment,,,,selected,hard,35,0.675,915,915,915,5493,0.744112094770696,0.04549213470038149,0.05847703777942159,0.6774076096850538,0.7285636264336428,0.170398689240852,0.6431822319315492,0.3923174949936283,0.6981612961951574
clean,drugban,biosnap,s2,scaffold_prot50,deployment,,,,hard,hard,35,0.675,915,915,915,5493,0.744112094770696,0.04549213470038149,0.05847703777942159,0.6774076096850538,0.7285636264336428,0.170398689240852,0.6431822319315492,0.3923174949936283,0.6981612961951574
clean,drugban,biosnap,s2,scaffold_prot50,deployment,,,,cross_mask,cross_mask,35,0.75,915,915,915,5493,0.744112094770696,0.030835805739163225,0.046459156916240474,0.6774076096850538,0.713817586018569,0.1268887675223011,0.6218823957764428,0.3207718914982705,0.6943382486801384
