study,bench,name,seed,cond,arm,rep,noise,pool_frac,policy,chosen,k,beta,n_pool,n_fit,n_conf,n_test,base_metric,gate_metric_delta,blanket_metric_delta,base_accuracy,gate_accuracy,joint_harm,blanket_joint_harm,apply_rate,target_accuracy
clean,drugban,human,s42,prot25,deployment,,,,selected,cross_mask,3,0.15000000000000002,200,200,200,1200,0.9460135317388959,0.0009384553137924412,0.00121942995864055,0.8641666666666666,0.8725,0.025,0.7608333333333334,0.060833333333333336,0.7983333333333333
clean,drugban,human,s42,prot25,deployment,,,,hard,hard,3,0.15000000000000002,200,200,200,1200,0.9460135317388959,3.090721093323978e-05,0.002936185038662109,0.8641666666666666,0.8675,0.02,0.6858333333333333,0.03666666666666667,0.7916666666666666
clean,drugban,human,s42,prot25,deployment,,,,cross_mask,cross_mask,3,0.15000000000000002,200,200,200,1200,0.9460135317388959,0.0009384553137924412,0.00121942995864055,0.8641666666666666,0.8725,0.025,0.7608333333333334,0.060833333333333336,0.7983333333333333
clean,drugban,human,s42,scaffold_prot50,deployment,,,,selected,cross_mask,3,0.5,200,200,200,1200,0.9391408919259127,-0.006271354073008495,-0.008912515734580184,0.8416666666666667,0.835,0.115,0.6825,0.19416666666666665,0.7725
clean,drugban,human,s42,scaffold_prot50,deployment,,,,hard,hard,5,0.47500000000000003,200,200,200,1200,0.9391408919259127,-0.005318850026973632,-0.00654670922495959,0.8416666666666667,0.8416666666666667,0.1225,0.4241666666666667,0.21083333333333334,0.7891666666666667
clean,drugban,human,s42,scaffold_prot50,deployment,,,,cross_mask,cross_mask,3,0.5,200,200,200,1200,0.9391408919259127,-0.006271354073008495,-0.008912515734580184,0.8416666666666667,0.835,0.115,0.6825,0.19416666666666665,0.7725
clean,drugban,human,s1,prot25,deployment,,,,selected,hard,5,0.55,200,200,200,1200,0.9538330561050171,0.00403760564646638,-0.0027142150692321954,0.87,0.8758333333333334,0.05,0.2975,0.13333333333333333,0.835
clean,drugban,human,s1,prot25,deployment,,,,hard,hard,5,0.55,200,200,200,1200,0.9538330561050171,0.00403760564646638,-0.0027142150692321954,0.87,0.8758333333333334,0.05,0.2975,0.13333333333333333,0.835
clean,drugban,human,s1,prot25,deployment,,,,cross_mask,cross_mask,5,0.55,200,200,200,1200,0.9538330561050171,0.00562230264340946,-0.002166314511778511,0.87,0.895,0.021666666666666667,0.5283333333333333,0.08333333333333333,0.8408333333333333
clean,drugban,human,s1,scaffold_prot50,deployment,,,,selected,cross_mask,8,0.4,200,200,200,1200,0.9475504630462147,0.0021269780614997513,0.00361895342564289,0.8825,0.89,0.056666666666666664,0.4275,0.21583333333333332,0.8033333333333333
clean,drugban,human,s1,scaffold_prot50,deployment,,,,hard,hard,8,0.275,200,200,200,1200,0.9475504630462147,0.0035796169753641305,0.006128057004135989,0.8825,0.89,0.07833333333333334,0.635,0.1425,0.7983333333333333
clean,drugban,human,s1,scaffold_prot50,deployment,,,,cross_mask,cross_mask,8,0.4,200,200,200,1200,0.9475504630462147,0.0021269780614997513,0.00361895342564289,0.8825,0.89,0.056666666666666664,0.4275,0.21583333333333332,0.8033333333333333
clean,drugban,human,s2,prot25,deployment,,,,selected,cross_mask,3,0.375,200,200,200,1200,0.9445693220643769,0.0032649253731342753,0.004520882035605078,0.8741666666666666,0.8825,0.056666666666666664,0.475,0.11166666666666666,0.8041666666666667
clean,drugban,human,s2,prot25,deployment,,,,hard,hard,3,0.325,200,200,200,1200,0.9445693220643769,0.004217429419169139,0.005672878079482135,0.8741666666666666,0.8858333333333334,0.03333333333333333,0.4025,0.07666666666666666,0.8041666666666667
clean,drugban,human,s2,prot25,deployment,,,,cross_mask,cross_mask,3,0.375,200,200,200,1200,0.9445693220643769,0.0032649253731342753,0.004520882035605078,0.8741666666666666,0.8825,0.056666666666666664,0.475,0.11166666666666666,0.8041666666666667
clean,drugban,human,s2,scaffold_prot50,deployment,,,,selected,hard,3,0.5,200,200,200,1200,0.9461315410897321,-0.0037482017622729735,-0.003964552238805985,0.8583333333333333,0.8541666666666666,0.16416666666666666,0.31083333333333335,0.3025,0.7866666666666666
clean,drugban,human,s2,scaffold_prot50,deployment,,,,hard,hard,3,0.5,200,200,200,1200,0.9461315410897321,-0.0037482017622729735,-0.003964552238805985,0.8583333333333333,0.8541666666666666,0.16416666666666666,0.31083333333333335,0.3025,0.7866666666666666
clean,drugban,human,s2,scaffold_prot50,deployment,,,,cross_mask,cross_mask,5,0.55,200,200,200,1200,0.9461315410897321,0.003099150332673939,0.0011267083258406085,0.8583333333333333,0.8575,0.11833333333333333,0.5025,0.215,0.8058333333333333
