study,bench,name,seed,cond,arm,rep,noise,pool_frac,policy,chosen,k,beta,n_pool,n_fit,n_conf,n_test,base_metric,gate_metric_delta,blanket_metric_delta,base_accuracy,gate_accuracy,joint_harm,blanket_joint_harm,apply_rate,target_accuracy
conf,drugban,biosnap,s42,prot25,,0,,,selected,hard,8,0.8500000000000001,12000,1373,1374,5493,0.6875187916099935,0.12853421464989945,0.13069521665698924,0.5514290915710904,0.7442199162570544,0.1591115965774622,0.4560349535772802,0.5499726925177498,0.7425814673220462
conf,drugban,biosnap,s42,prot25,,0,,,selected,hard,8,0.8500000000000001,12000,1373,50,5493,0.6875187916099935,0.12363407863443665,0.13069521665698924,0.5514290915710904,0.7518660112870926,0.10467868195885673,0.4560349535772802,0.4416530129255416,0.7425814673220462
conf,drugban,biosnap,s42,prot25,,1,,,selected,hard,8,0.8500000000000001,12000,1373,50,5493,0.6875187916099935,0.11909877161863702,0.13069521665698924,0.5514290915710904,0.7522301110504278,0.08392499544875295,0.4560349535772802,0.3921354451119607,0.7425814673220462
conf,drugban,biosnap,s42,prot25,,2,,,selected,hard,8,0.8500000000000001,12000,1373,50,5493,0.6875187916099935,0.12336483165103684,0.13069521665698924,0.5514290915710904,0.7440378663753868,0.1254323684689605,0.4560349535772802,0.4798834880757328,0.7425814673220462
conf,drugban,biosnap,s42,prot25,,3,,,selected,hard,8,0.8500000000000001,12000,1373,50,5493,0.6875187916099935,0.13189403520493792,0.13069521665698924,0.5514290915710904,0.7442199162570544,0.17877298379756054,0.4560349535772802,0.5845621700345894,0.7425814673220462
conf,drugban,biosnap,s42,prot25,,4,,,selected,hard,8,0.8500000000000001,12000,1373,50,5493,0.6875187916099935,0.13293111996669882,0.13069521665698924,0.5514290915710904,0.7442199162570544,0.1986164208993264,0.4560349535772802,0.6155106499180776,0.7425814673220462
conf,drugban,biosnap,s42,prot25,,5,,,selected,hard,8,0.8500000000000001,12000,1373,50,5493,0.6875187916099935,0.13293111996669882,0.13069521665698924,0.5514290915710904,0.7442199162570544,0.1986164208993264,0.4560349535772802,0.6155106499180776,0.7425814673220462
conf,drugban,biosnap,s42,prot25,,6,,,selected,hard,8,0.8500000000000001,12000,1373,50,5493,0.6875187916099935,0.12320813547458265,0.13069521665698924,0.5514290915710904,0.7462224649553978,0.11815037320225742,0.4560349535772802,0.4675040961223375,0.7425814673220462
conf,drugban,biosnap,s42,prot25,,7,,,selected,hard,8,0.8500000000000001,12000,1373,50,5493,0.6875187916099935,0.13189403520493792,0.13069521665698924,0.5514290915710904,0.7442199162570544,0.17877298379756054,0.4560349535772802,0.5845621700345894,0.7425814673220462
conf,drugban,biosnap,s42,prot25,,8,,,selected,hard,8,0.8500000000000001,12000,1373,50,5493,0.6875187916099935,0.12320813547458265,0.13069521665698924,0.5514290915710904,0.7462224649553978,0.11815037320225742,0.4560349535772802,0.4675040961223375,0.7425814673220462
conf,drugban,biosnap,s42,prot25,,9,,,selected,hard,8,0.8500000000000001,12000,1373,50,5493,0.6875187916099935,0.13216049824611642,0.13069521665698924,0.5514290915710904,0.7442199162570544,0.1838703804842527,0.4560349535772802,0.5918441653012926,0.7425814673220462
conf,drugban,biosnap,s42,prot25,,10,,,selected,hard,8,0.8500000000000001,12000,1373,50,5493,0.6875187916099935,0.12481871233392461,0.13069521665698924,0.5514290915710904,0.7442199162570544,0.13853995994902604,0.4560349535772802,0.5059166211541962,0.7425814673220462
