study,bench,name,seed,cond,arm,rep,noise,pool_frac,policy,chosen,k,beta,n_pool,n_fit,n_conf,n_test,base_metric,gate_metric_delta,blanket_metric_delta,base_accuracy,gate_accuracy,joint_harm,blanket_joint_harm,apply_rate,target_accuracy
conf,drugban,human,s42,prot25,,0,,,selected,hard,12,0.6000000000000001,4197,300,300,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,0,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.019179329257327793,0.019465923395072804,0.8641666666666666,0.8966666666666666,0.2075,0.21333333333333335,0.9933333333333333,0.8833333333333333
conf,drugban,human,s42,prot25,,1,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,2,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.006411841395432494,0.019465923395072804,0.8641666666666666,0.8816666666666667,0.03,0.21333333333333335,0.7266666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,3,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,4,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,5,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,6,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,7,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,8,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,9,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.019179329257327793,0.019465923395072804,0.8641666666666666,0.8966666666666666,0.2075,0.21333333333333335,0.9933333333333333,0.8833333333333333
conf,drugban,human,s42,prot25,,10,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,11,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.006411841395432494,0.019465923395072804,0.8641666666666666,0.8816666666666667,0.03,0.21333333333333335,0.7266666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,12,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,13,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.019179329257327793,0.019465923395072804,0.8641666666666666,0.8966666666666666,0.2075,0.21333333333333335,0.9933333333333333,0.8833333333333333
conf,drugban,human,s42,prot25,,14,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,15,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.019179329257327793,0.019465923395072804,0.8641666666666666,0.8966666666666666,0.2075,0.21333333333333335,0.9933333333333333,0.8833333333333333
conf,drugban,human,s42,prot25,,16,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,17,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,18,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,19,,,selected,hard,12,0.6000000000000001,4197,300,50,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,0,,,selected,hard,12,0.6000000000000001,4197,300,100,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,1,,,selected,hard,12,0.6000000000000001,4197,300,100,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,2,,,selected,hard,12,0.6000000000000001,4197,300,100,1200,0.9460135317388959,0.006411841395432494,0.019465923395072804,0.8641666666666666,0.8816666666666667,0.03,0.21333333333333335,0.7266666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,3,,,selected,hard,12,0.6000000000000001,4197,300,100,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,4,,,selected,hard,12,0.6000000000000001,4197,300,100,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,5,,,selected,hard,12,0.6000000000000001,4197,300,100,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,6,,,selected,hard,12,0.6000000000000001,4197,300,100,1200,0.9460135317388959,0.019179329257327793,0.019465923395072804,0.8641666666666666,0.8966666666666666,0.2075,0.21333333333333335,0.9933333333333333,0.8833333333333333
conf,drugban,human,s42,prot25,,7,,,selected,hard,12,0.6000000000000001,4197,300,100,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,8,,,selected,hard,12,0.6000000000000001,4197,300,100,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,9,,,selected,hard,12,0.6000000000000001,4197,300,100,1200,0.9460135317388959,0.019179329257327793,0.019465923395072804,0.8641666666666666,0.8966666666666666,0.2075,0.21333333333333335,0.9933333333333333,0.8833333333333333
conf,drugban,human,s42,prot25,,10,,,selected,hard,12,0.6000000000000001,4197,300,100,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,11,,,selected,hard,12,0.6000000000000001,4197,300,100,1200,0.9460135317388959,0.006411841395432494,0.019465923395072804,0.8641666666666666,0.8816666666666667,0.03,0.21333333333333335,0.7266666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,12,,,selected,hard,12,0.6000000000000001,4197,300,100,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,13,,,selected,hard,12,0.6000000000000001,4197,300,100,1200,0.9460135317388959,0.019179329257327793,0.019465923395072804,0.8641666666666666,0.8966666666666666,0.2075,0.21333333333333335,0.9933333333333333,0.8833333333333333
conf,drugban,human,s42,prot25,,14,,,selected,hard,12,0.6000000000000001,4197,300,100,1200,0.9460135317388959,0.006411841395432494,0.019465923395072804,0.8641666666666666,0.8816666666666667,0.03,0.21333333333333335,0.7266666666666667,0.8833333333333333
conf,drugban,human,s42,prot25,,15,,,selected,hard,12,0.6000000000000001,4197,300,100,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
