study,bench,name,seed,cond,arm,rep,noise,pool_frac,policy,chosen,k,beta,n_pool,n_fit,n_conf,n_test,base_metric,gate_metric_delta,blanket_metric_delta,base_accuracy,gate_accuracy,joint_harm,blanket_joint_harm,apply_rate,target_accuracy
noise,drugban,bindingdb,s42,prot25,,,0.1,,selected,cross_mask,5,0.8500000000000001,12000,2460,2460,9840,0.7642491380838463,0.1198575997191057,0.1422489017348324,0.7048780487804878,0.8355691056910569,0.13343495934959348,0.30121951219512194,0.7704268292682926,0.8252032520325203
noise,drugban,bindingdb,s42,prot25,,,0.1,,hard,hard,12,0.8500000000000001,12000,2460,2460,9840,0.7642491380838463,0.09614424169172775,0.11542477860585076,0.7048780487804878,0.8055894308943089,0.1633130081300813,0.511890243902439,0.5482723577235772,0.7890243902439025
noise,drugban,bindingdb,s42,prot25,,,0.2,,selected,cross_mask,5,0.8500000000000001,12000,2460,2460,9840,0.7642491380838463,0.1198575997191057,0.1422489017348324,0.7048780487804878,0.8355691056910569,0.13343495934959348,0.30121951219512194,0.7704268292682926,0.8252032520325203
noise,drugban,bindingdb,s42,prot25,,,0.2,,hard,hard,20,0.75,12000,2460,2460,9840,0.7642491380838463,0.07784994681295787,0.09796083417579504,0.7048780487804878,0.7893292682926829,0.15223577235772356,0.6173780487804879,0.42865853658536585,0.7649390243902439
noise,drugban,bindingdb,s42,prot25,,,0.3,,selected,cross_mask,5,0.8500000000000001,12000,2460,2460,9840,0.7642491380838463,0.1198575997191057,0.1422489017348324,0.7048780487804878,0.8355691056910569,0.13343495934959348,0.30121951219512194,0.7704268292682926,0.8252032520325203
noise,drugban,bindingdb,s42,prot25,,,0.3,,hard,hard,12,0.5750000000000001,12000,2460,2460,9840,0.7642491380838463,0.061612062892676955,0.07199070916794081,0.7048780487804878,0.7703252032520326,0.1801829268292683,0.6330284552845529,0.44898373983739837,0.7282520325203252
noise,drugban,bindingdb,s42,prot25,,,0.4,,selected,cross_mask,5,0.8500000000000001,12000,2460,2460,9840,0.7642491380838463,0.1198575997191057,0.1422489017348324,0.7048780487804878,0.8355691056910569,0.13343495934959348,0.30121951219512194,0.7704268292682926,0.8252032520325203
noise,drugban,bindingdb,s42,prot25,,,0.4,,hard,hard,8,0.30000000000000004,12000,2460,2460,9840,0.7642491380838463,0.008203762819337213,0.010349038793421306,0.7048780487804878,0.7100609756097561,0.1850609756097561,0.6679878048780488,0.38394308943089434,0.6092479674796748
noise,drugban,bindingdb,s42,scaffold_prot50,,,0.1,,selected,cross_mask,3,0.9,12000,2460,2460,9840,0.8160400523032876,0.09591200068929451,0.1105577215205823,0.7152439024390244,0.8570121951219513,0.15203252032520326,0.26148373983739837,0.6017276422764227,0.8559959349593496
noise,drugban,bindingdb,s42,scaffold_prot50,,,0.1,,hard,hard,8,0.8,12000,2460,2460,9840,0.8160400523032876,0.06939834106150333,0.08943119749088613,0.7152439024390244,0.838719512195122,0.12327235772357724,0.49410569105691055,0.5466463414634146,0.8276422764227642
