study,bench,name,seed,cond,arm,rep,noise,pool_frac,policy,chosen,k,beta,n_pool,n_fit,n_conf,n_test,base_metric,gate_metric_delta,blanket_metric_delta,base_accuracy,gate_accuracy,joint_harm,blanket_joint_harm,apply_rate,target_accuracy
noise,drugban,biosnap,s42,prot25,,,0.1,,selected,cross_mask,8,0.9,12000,1373,1374,5493,0.6875187916099935,0.12832488870859549,0.1299998939450583,0.5514290915710904,0.7453122155470598,0.165665392317495,0.4567631531039505,0.5720007281995266,0.7433096668487166
noise,drugban,biosnap,s42,prot25,,,0.1,,hard,hard,8,0.875,12000,1373,1374,5493,0.6875187916099935,0.10588962862210771,0.10733833912658453,0.5514290915710904,0.7311123247769888,0.1483706535590752,0.4928090296741307,0.5033679228108502,0.7247405789186238
noise,drugban,biosnap,s42,prot25,,,0.2,,selected,cross_mask,8,0.9,12000,1373,1374,5493,0.6875187916099935,0.12832488870859549,0.1299998939450583,0.5514290915710904,0.7453122155470598,0.165665392317495,0.4567631531039505,0.5720007281995266,0.7433096668487166
noise,drugban,biosnap,s42,prot25,,,0.2,,hard,hard,50,1.0,12000,1373,1374,5493,0.6875187916099935,0.09065032890288816,0.08056463650994405,0.5514290915710904,0.7067176406335336,0.1663935918441653,0.53267795375933,0.5019115237575096,0.7067176406335336
noise,drugban,biosnap,s42,prot25,,,0.3,,selected,cross_mask,8,0.9,12000,1373,1374,5493,0.6875187916099935,0.12832488870859549,0.1299998939450583,0.5514290915710904,0.7453122155470598,0.165665392317495,0.4567631531039505,0.5720007281995266,0.7433096668487166
noise,drugban,biosnap,s42,prot25,,,0.3,,hard,hard,50,0.9750000000000001,12000,1373,1374,5493,0.6875187916099935,0.07561187072963149,0.060424935637907295,0.5514290915710904,0.688876752230111,0.15965774622246495,0.538321500091025,0.4613144001456399,0.6846896049517568
noise,drugban,biosnap,s42,prot25,,,0.4,,selected,cross_mask,8,0.9,12000,1373,1374,5493,0.6875187916099935,0.12832488870859549,0.1299998939450583,0.5514290915710904,0.7453122155470598,0.165665392317495,0.4567631531039505,0.5720007281995266,0.7433096668487166
noise,drugban,biosnap,s42,prot25,,,0.4,,hard,hard,50,0.875,12000,1373,1374,5493,0.6875187916099935,0.014569960468020504,-0.001671160744823763,0.5514290915710904,0.617877298379756,0.1907882759876206,0.543418896777717,0.4567631531039505,0.6080466047697068
noise,drugban,biosnap,s42,scaffold_prot50,,,0.1,,selected,cross_mask,3,0.7250000000000001,12000,1373,1374,5493,0.748945151035494,0.09018574197362939,0.10142862634988048,0.6730384125250318,0.7831785909339158,0.1665756417258329,0.3291461860549791,0.4920808301474604,0.765883852175496
noise,drugban,biosnap,s42,scaffold_prot50,,,0.1,,hard,hard,12,0.8,12000,1373,1374,5493,0.748945151035494,0.08014339953813066,0.09258245108878649,0.6730384125250318,0.7713453486255234,0.14400145639905335,0.5709084289095212,0.4247223739304569,0.7533224103404332
noise,drugban,biosnap,s42,scaffold_prot50,,,0.2,,selected,cross_mask,3,0.7250000000000001,12000,1373,1374,5493,0.748945151035494,0.09018574197362939,0.10142862634988048,0.6730384125250318,0.7831785909339158,0.1665756417258329,0.3291461860549791,0.4920808301474604,0.765883852175496
noise,drugban,biosnap,s42,scaffold_prot50,,,0.2,,hard,hard,20,0.75,12000,1373,1374,5493,0.748945151035494,0.06592845798766045,0.0739910197978062,0.6730384125250318,0.7487711632987438,0.1727653377025305,0.6257054432914618,0.4394684143455307,0.7351174221736756
noise,drugban,biosnap,s42,scaffold_prot50,,,0.3,,selected,cross_mask,3,0.7250000000000001,12000,1373,1374,5493,0.748945151035494,0.09018574197362939,0.10142862634988048,0.6730384125250318,0.7831785909339158,0.1665756417258329,0.3291461860549791,0.4920808301474604,0.765883852175496
noise,drugban,biosnap,s42,scaffold_prot50,,,0.3,,hard,hard,50,0.625,12000,1373,1374,5493,0.748945151035494,0.050451330061538346,0.05666230515718662,0.6730384125250318,0.7167303841252504,0.16038594574913526,0.6486437283815766,0.383397050791917,0.7161842344802476
noise,drugban,biosnap,s42,scaffold_prot50,,,0.4,,selected,cross_mask,3,0.7250000000000001,12000,1373,1374,5493,0.748945151035494,0.09018574197362939,0.10142862634988048,0.6730384125250318,0.7831785909339158,0.1665756417258329,0.3291461860549791,0.4920808301474604,0.765883852175496
noise,drugban,biosnap,s42,scaffold_prot50,,,0.4,,hard,hard,50,0.5,12000,1373,1374,5493,0.748945151035494,0.013236717281387533,0.01568267566012571,0.6730384125250318,0.68068450755507,0.1878754778809394,0.6572000728199526,0.3710176588385218,0.6167849990897506
noise,drugban,biosnap,s1,prot25,,,0.1,,selected,cross_mask,8,0.875,12000,1373,1374,5493,0.6899632254489438,0.12100418121607892,0.13087020731089738,0.5780083742945568,0.747860913890406,0.1878754778809394,0.4653194975423266,0.5716366284361916,0.7351174221736756
noise,drugban,biosnap,s1,prot25,,,0.1,,hard,hard,8,0.875,12000,1373,1374,5493,0.6899632254489438,0.10193377929436342,0.10860781677948261,0.5780083742945568,0.7300200254869834,0.1804114327325687,0.4991807755324959,0.5445111960677226,0.7198252321135992
noise,drugban,biosnap,s1,prot25,,,0.2,,selected,cross_mask,8,0.875,12000,1373,1374,5493,0.6899632254489438,0.12100418121607892,0.13087020731089738,0.5780083742945568,0.747860913890406,0.1878754778809394,0.4653194975423266,0.5716366284361916,0.7351174221736756
noise,drugban,biosnap,s1,prot25,,,0.2,,hard,hard,20,0.9500000000000001,12000,1373,1374,5493,0.6899632254489438,0.08650543664145205,0.08986724572664873,0.5780083742945568,0.7136355361369016,0.1744037866375387,0.5439650464227198,0.50864736937921,0.708720189331877
noise,drugban,biosnap,s1,prot25,,,0.3,,selected,cross_mask,8,0.875,12000,1373,1374,5493,0.6899632254489438,0.12100418121607892,0.13087020731089738,0.5780083742945568,0.747860913890406,0.1878754778809394,0.4653194975423266,0.5716366284361916,0.7351174221736756
noise,drugban,biosnap,s1,prot25,,,0.3,,hard,hard,50,0.9,12000,1373,1374,5493,0.6899632254489438,0.07831441578309639,0.08132385732428682,0.5780083742945568,0.7003458947751684,0.1829601310759148,0.5588931367194612,0.4964500273074823,0.6917895503367922
noise,drugban,biosnap,s1,prot25,,,0.4,,selected,cross_mask,8,0.875,12000,1373,1374,5493,0.6899632254489438,0.12100418121607892,0.13087020731089738,0.5780083742945568,0.747860913890406,0.1878754778809394,0.4653194975423266,0.5716366284361916,0.7351174221736756
noise,drugban,biosnap,s1,prot25,,,0.4,,hard,hard,50,0.8,12000,1373,1374,5493,0.6899632254489438,0.02575570774439695,0.015196480036482884,0.5780083742945568,0.6331694884398326,0.2153650100127435,0.566721281631167,0.4918987802657928,0.599854360094666
noise,drugban,biosnap,s1,scaffold_prot50,,,0.1,,selected,cross_mask,5,0.775,12000,1373,1374,5493,0.7583786718209369,0.07348056410623516,0.09040573969344812,0.6744948115783724,0.774986346258875,0.1662115419624977,0.3792099035135627,0.5048243218641908,0.7647915528854906
noise,drugban,biosnap,s1,scaffold_prot50,,,0.1,,hard,hard,5,0.675,12000,1373,1374,5493,0.7583786718209369,0.06340501321709713,0.07421353632249184,0.6744948115783724,0.7647915528854906,0.1592936464591298,0.4614964500273075,0.4536683051156017,0.7471327143637356
noise,drugban,biosnap,s1,scaffold_prot50,,,0.2,,selected,cross_mask,5,0.775,12000,1373,1374,5493,0.7583786718209369,0.07348056410623516,0.09040573969344812,0.6744948115783724,0.774986346258875,0.1662115419624977,0.3792099035135627,0.5048243218641908,0.7647915528854906
noise,drugban,biosnap,s1,scaffold_prot50,,,0.2,,hard,hard,20,0.75,12000,1373,1374,5493,0.7583786718209369,0.0463903537727719,0.06240286030177933,0.6744948115783724,0.7467686146004006,0.1592936464591298,0.626069543054797,0.4041507373020208,0.7340251228836702
noise,drugban,biosnap,s1,scaffold_prot50,,,0.3,,selected,cross_mask,5,0.775,12000,1373,1374,5493,0.7583786718209369,0.07348056410623516,0.09040573969344812,0.6744948115783724,0.774986346258875,0.1662115419624977,0.3792099035135627,0.5048243218641908,0.7647915528854906
noise,drugban,biosnap,s1,scaffold_prot50,,,0.3,,hard,hard,50,0.625,12000,1373,1374,5493,0.7583786718209369,0.036394808080326024,0.04418434469977173,0.6744948115783724,0.7247405789186238,0.1736755871108684,0.6499180775532496,0.3924995448752958,0.7176406335335882
noise,drugban,biosnap,s1,scaffold_prot50,,,0.4,,selected,cross_mask,5,0.775,12000,1373,1374,5493,0.7583786718209369,0.07348056410623516,0.09040573969344812,0.6744948115783724,0.774986346258875,0.1662115419624977,0.3792099035135627,0.5048243218641908,0.7647915528854906
