study,bench,name,seed,cond,arm,rep,noise,pool_frac,policy,chosen,k,beta,n_pool,n_fit,n_conf,n_test,base_metric,gate_metric_delta,blanket_metric_delta,base_accuracy,gate_accuracy,joint_harm,blanket_joint_harm,apply_rate,target_accuracy
noise,drugban,human,s42,prot25,,,0.1,,selected,cross_mask,12,0.5750000000000001,4197,300,300,1200,0.9460135317388959,0.009584045135766939,0.018131293832044593,0.8641666666666666,0.8966666666666666,0.05416666666666667,0.21583333333333332,0.7908333333333334,0.8816666666666667
noise,drugban,human,s42,prot25,,,0.1,,hard,hard,5,0.47500000000000003,4197,300,300,1200,0.9460135317388959,0.008569726667865485,0.01587225768746625,0.8641666666666666,0.8891666666666667,0.0575,0.4775,0.17583333333333334,0.8641666666666666
noise,drugban,human,s42,prot25,,,0.2,,selected,cross_mask,12,0.5750000000000001,4197,300,300,1200,0.9460135317388959,0.009584045135766939,0.018131293832044593,0.8641666666666666,0.8966666666666666,0.05416666666666667,0.21583333333333332,0.7908333333333334,0.8816666666666667
noise,drugban,human,s42,prot25,,,0.2,,hard,hard,12,0.225,4197,300,300,1200,0.9460135317388959,0.00552115177126411,0.00885351105916199,0.8641666666666666,0.8733333333333333,0.07166666666666667,0.43416666666666665,0.2891666666666667,0.86
noise,drugban,human,s42,prot25,,,0.3,,selected,cross_mask,12,0.5750000000000001,4197,300,300,1200,0.9460135317388959,0.009584045135766939,0.018131293832044593,0.8641666666666666,0.8966666666666666,0.05416666666666667,0.21583333333333332,0.7908333333333334,0.8816666666666667
noise,drugban,human,s42,prot25,,,0.3,,hard,hard,20,0.15000000000000002,4197,300,300,1200,0.9460135317388959,0.0016942771084337283,0.00031750134867825075,0.8641666666666666,0.865,0.14416666666666667,0.365,0.375,0.8291666666666667
noise,drugban,human,s42,prot25,,,0.4,,selected,cross_mask,12,0.5750000000000001,4197,300,300,1200,0.9460135317388959,0.009584045135766939,0.018131293832044593,0.8641666666666666,0.8966666666666666,0.05416666666666667,0.21583333333333332,0.7908333333333334,0.8816666666666667
noise,drugban,human,s42,prot25,,,0.4,,hard,hard,12,0.1,4197,300,300,1200,0.9460135317388959,0.0003905547563387568,-0.0009721722711742986,0.8641666666666666,0.8633333333333333,0.13333333333333333,0.31,0.4241666666666667,0.6225
noise,drugban,human,s42,scaffold_prot50,,,0.1,,selected,hard,20,0.7250000000000001,4197,300,300,1200,0.9391408919259127,0.01810319636755975,0.01417236108613551,0.8416666666666667,0.8841666666666667,0.095,0.6916666666666667,0.23166666666666666,0.8775
noise,drugban,human,s42,scaffold_prot50,,,0.1,,hard,hard,20,0.7250000000000001,4197,300,300,1200,0.9391408919259127,0.01810319636755975,0.01417236108613551,0.8416666666666667,0.8841666666666667,0.095,0.6916666666666667,0.23166666666666666,0.8775
noise,drugban,human,s42,scaffold_prot50,,,0.2,,selected,cross_mask,12,0.8250000000000001,4197,300,300,1200,0.9391408919259127,0.017181599532458125,0.02046338338428333,0.8416666666666667,0.89,0.12833333333333333,0.2783333333333333,0.8166666666666667,0.8816666666666667
noise,drugban,human,s42,scaffold_prot50,,,0.2,,hard,hard,35,0.42500000000000004,4197,300,300,1200,0.9391408919259127,0.014298799676317198,0.012239255529580939,0.8416666666666667,0.8533333333333334,0.11666666666666667,0.7608333333333334,0.26166666666666666,0.8625
noise,drugban,human,s42,scaffold_prot50,,,0.3,,selected,cross_mask,12,0.8250000000000001,4197,300,300,1200,0.9391408919259127,0.017181599532458125,0.02046338338428333,0.8416666666666667,0.89,0.12833333333333333,0.2783333333333333,0.8166666666666667,0.8816666666666667
noise,drugban,human,s42,scaffold_prot50,,,0.3,,hard,hard,12,0.325,4197,300,300,1200,0.9391408919259127,0.009879068512857359,0.004422540909908235,0.8416666666666667,0.8416666666666667,0.1325,0.7283333333333334,0.295,0.7991666666666667
noise,drugban,human,s42,scaffold_prot50,,,0.4,,selected,cross_mask,12,0.8250000000000001,4197,300,300,1200,0.9391408919259127,0.017181599532458125,0.02046338338428333,0.8416666666666667,0.89,0.12833333333333333,0.2783333333333333,0.8166666666666667,0.8816666666666667
noise,drugban,human,s42,scaffold_prot50,,,0.4,,hard,hard,50,0.225,4197,300,300,1200,0.9391408919259127,-4.7765689624168495e-05,-0.0014807363783492233,0.8416666666666667,0.8383333333333334,0.13666666666666666,0.8108333333333333,0.2658333333333333,0.6941666666666667
noise,drugban,human,s1,prot25,,,0.1,,selected,cross_mask,5,0.675,4197,300,300,1200,0.9538330561050171,0.01049159323862614,0.01732489660133063,0.87,0.9075,0.05583333333333333,0.15666666666666668,0.8583333333333333,0.8991666666666667
noise,drugban,human,s1,prot25,,,0.1,,hard,hard,5,0.47500000000000003,4197,300,300,1200,0.9538330561050171,0.008226937601150786,0.008943422945513313,0.87,0.9008333333333334,0.05,0.3883333333333333,0.6108333333333333,0.89
noise,drugban,human,s1,prot25,,,0.2,,selected,cross_mask,5,0.675,4197,300,300,1200,0.9538330561050171,0.01049159323862614,0.01732489660133063,0.87,0.9075,0.05583333333333333,0.15666666666666668,0.8583333333333333,0.8991666666666667
noise,drugban,human,s1,prot25,,,0.2,,hard,hard,5,0.15000000000000002,4197,300,300,1200,0.9538330561050171,0.00335483725948571,0.007209809386800936,0.87,0.8775,0.029166666666666667,0.2625,0.4225,0.8441666666666666
noise,drugban,human,s1,prot25,,,0.3,,selected,cross_mask,5,0.675,4197,300,300,1200,0.9538330561050171,0.01049159323862614,0.01732489660133063,0.87,0.9075,0.05583333333333333,0.15666666666666668,0.8583333333333333,0.8991666666666667
noise,drugban,human,s1,prot25,,,0.3,,hard,hard,3,0.125,4197,300,300,1200,0.9538330561050171,0.0021241683150512447,0.0006659099082898523,0.87,0.8708333333333333,0.049166666666666664,0.23833333333333334,0.43333333333333335,0.715
noise,drugban,human,s1,prot25,,,0.4,,selected,cross_mask,5,0.675,4197,300,300,1200,0.9538330561050171,0.01049159323862614,0.01732489660133063,0.87,0.9075,0.05583333333333333,0.15666666666666668,0.8583333333333333,0.8991666666666667
noise,drugban,human,s1,prot25,,,0.4,,hard,hard,50,0.05,4197,300,300,1200,0.9538330561050171,0.00030064286998732204,-0.00026692591260568665,0.87,0.8691666666666666,0.0,0.0,0.41,0.7525
noise,drugban,human,s1,scaffold_prot50,,,0.1,,selected,cross_mask,3,0.775,4197,300,300,1200,0.9475504630462147,0.011233366301025005,0.022056509620571818,0.8825,0.91,0.05333333333333334,0.25833333333333336,0.16833333333333333,0.9041666666666667
noise,drugban,human,s1,scaffold_prot50,,,0.1,,hard,hard,12,0.7000000000000001,4197,300,300,1200,0.9475504630462147,0.006147725229275314,0.014916943894982881,0.8825,0.895,0.023333333333333334,0.6391666666666667,0.07083333333333333,0.895
noise,drugban,human,s1,scaffold_prot50,,,0.2,,selected,cross_mask,3,0.775,4197,300,300,1200,0.9475504630462147,0.011233366301025005,0.022056509620571818,0.8825,0.91,0.05333333333333334,0.25833333333333336,0.16833333333333333,0.9041666666666667
noise,drugban,human,s1,scaffold_prot50,,,0.2,,hard,hard,12,0.17500000000000002,4197,300,300,1200,0.9475504630462147,0.003736962776479058,0.009123246718216182,0.8825,0.89,0.029166666666666667,0.7633333333333333,0.09416666666666666,0.8875
noise,drugban,human,s1,scaffold_prot50,,,0.3,,selected,cross_mask,3,0.775,4197,300,300,1200,0.9475504630462147,0.011233366301025005,0.022056509620571818,0.8825,0.91,0.05333333333333334,0.25833333333333336,0.16833333333333333,0.9041666666666667
noise,drugban,human,s1,scaffold_prot50,,,0.3,,hard,hard,50,0.2,4197,300,300,1200,0.9475504630462147,0.0028434634058622787,0.007423350116885441,0.8825,0.8858333333333334,0.03333333333333333,0.6116666666666667,0.12666666666666668,0.8725
noise,drugban,human,s1,scaffold_prot50,,,0.4,,selected,cross_mask,3,0.775,4197,300,300,1200,0.9475504630462147,0.011233366301025005,0.022056509620571818,0.8825,0.91,0.05333333333333334,0.25833333333333336,0.16833333333333333,0.9041666666666667
noise,drugban,human,s1,scaffold_prot50,,,0.4,,hard,hard,35,0.125,4197,300,300,1200,0.9475504630462147,0.00021354073008450491,6.181442186659059e-05,0.8825,0.8816666666666667,0.1125,0.4841666666666667,0.33416666666666667,0.7275
noise,drugban,human,s2,prot25,,,0.1,,selected,cross_mask,3,0.65,4197,300,300,1200,0.9445693220643769,0.019168090271533877,0.01966260564646649,0.8741666666666666,0.915,0.06916666666666667,0.2075,0.22416666666666665,0.9016666666666666
