study,bench,name,seed,cond,arm,rep,noise,pool_frac,policy,chosen,k,beta,n_pool,n_fit,n_conf,n_test,base_metric,gate_metric_delta,blanket_metric_delta,base_accuracy,gate_accuracy,joint_harm,blanket_joint_harm,apply_rate,target_accuracy
noise,mosei,CMAD,0,a,,,0.1,,selected,cross_mask,5,1.0,1161,1161,1161,1160,0.6305803571428571,0.0502232142857143,0.0736607142857143,0.5353448275862069,0.5827586206896552,0.10086206896551723,0.25775862068965516,0.3232758620689655,0.6137931034482759
noise,mosei,CMAD,0,a,,,0.1,,hard,hard,8,0.525,1161,1161,1161,1160,0.6305803571428571,0.024553571428571508,0.015625,0.5353448275862069,0.5844827586206897,0.14051724137931035,0.3431034482758621,0.42844827586206896,0.6172413793103448
noise,mosei,CMAD,0,a,,,0.2,,selected,cross_mask,5,1.0,1161,1161,1161,1160,0.6305803571428571,0.0502232142857143,0.0736607142857143,0.5353448275862069,0.5827586206896552,0.10086206896551723,0.25775862068965516,0.3232758620689655,0.6137931034482759
noise,mosei,CMAD,0,a,,,0.2,,hard,hard,20,0.47500000000000003,1161,1161,1161,1160,0.6305803571428571,0.0022321428571429047,-0.0078125,0.5353448275862069,0.55,0.14396551724137932,0.2767241379310345,0.46551724137931033,0.5681034482758621
noise,mosei,CMAD,0,a,,,0.3,,selected,cross_mask,5,1.0,1161,1161,1161,1160,0.6305803571428571,0.0502232142857143,0.0736607142857143,0.5353448275862069,0.5827586206896552,0.10086206896551723,0.25775862068965516,0.3232758620689655,0.6137931034482759
noise,mosei,CMAD,0,a,,,0.3,,hard,hard,35,0.275,1161,1161,1161,1160,0.6305803571428571,0.011160714285714302,0.029017857142857206,0.5353448275862069,0.5491379310344827,0.06810344827586207,0.14913793103448275,0.2827586206896552,0.5387931034482759
noise,mosei,CMAD,0,a,,,0.4,,selected,cross_mask,5,1.0,1161,1161,1161,1160,0.6305803571428571,0.0502232142857143,0.0736607142857143,0.5353448275862069,0.5827586206896552,0.10086206896551723,0.25775862068965516,0.3232758620689655,0.6137931034482759
noise,mosei,CMAD,0,a,,,0.4,,hard,hard,3,0.025,1161,1161,1161,1160,0.6305803571428571,-0.008928571428571397,-0.0200892857142857,0.5353448275862069,0.5301724137931034,0.0,0.2103448275862069,0.09568965517241379,0.5017241379310344
noise,mosei,CMAD,1,a,,,0.1,,selected,cross_mask,20,1.0,1161,1161,1161,1160,0.6560088202866593,0.055126791620727644,0.05402425578831316,0.5586206896551724,0.6043103448275862,0.08362068965517241,0.2267241379310345,0.23706896551724138,0.5991379310344828
noise,mosei,CMAD,1,a,,,0.1,,hard,hard,5,0.42500000000000004,1161,1161,1161,1160,0.6560088202866593,0.011025358324145529,-0.006615214994487251,0.5586206896551724,0.5905172413793104,0.0896551724137931,0.3439655172413793,0.2706896551724138,0.6068965517241379
