study,bench,name,seed,cond,arm,rep,noise,pool_frac,policy,chosen,k,beta,n_pool,n_fit,n_conf,n_test,base_metric,gate_metric_delta,blanket_metric_delta,base_accuracy,gate_accuracy,joint_harm,blanket_joint_harm,apply_rate,target_accuracy
origin,drugban,bindingdb,s42,prot25,deployment,0,,,selected,hard,3,0.775,2371,2371,2371,1779,0.5029167481814787,0.2865857531587519,0.3081653704752927,0.5289488476672288,0.7307476110174255,0.13659359190556492,0.2450815064643058,0.6975829117481731,0.7431141090500281
origin,drugban,bindingdb,s42,prot25,deployment,0,,,hard,hard,3,0.775,2371,2371,2371,1779,0.5029167481814787,0.2865857531587519,0.3081653704752927,0.5289488476672288,0.7307476110174255,0.13659359190556492,0.2450815064643058,0.6975829117481731,0.7431141090500281
origin,drugban,bindingdb,s42,prot25,deployment,0,,,cross_mask,cross_mask,5,1.0,2371,2371,2371,1779,0.5029167481814787,0.04653013676703355,0.06090299779719455,0.5289488476672288,0.5474985947161327,0.1905564924114671,0.4007869589657111,0.4345137717818999,0.5508712759977515
origin,drugban,bindingdb,s42,prot25,source_all,0,,,selected,cross_mask,5,0.55,12000,2371,2371,1779,0.5029167481814787,0.023730337992169503,0.03190129805456954,0.5289488476672288,0.5306351883080382,0.13940415964024733,0.4024732996065205,0.29679595278246207,0.5278246205733558
origin,drugban,bindingdb,s42,prot25,source_all,0,,,hard,hard,35,0.35000000000000003,12000,2371,2371,1779,0.5029167481814787,0.0,0.034152377225989516,0.5289488476672288,0.5289488476672288,0.0,0.3220910623946037,0.0,0.5497470489038786
origin,drugban,bindingdb,s42,prot25,source_all,0,,,cross_mask,cross_mask,5,0.55,12000,2371,2371,1779,0.5029167481814787,0.023730337992169503,0.03190129805456954,0.5289488476672288,0.5306351883080382,0.13940415964024733,0.4024732996065205,0.29679595278246207,0.5278246205733558
origin,drugban,bindingdb,s42,prot25,source_all+deployment,0,,,selected,hard,5,0.8250000000000001,14371,2371,2371,1779,0.5029167481814787,0.28934624697336553,0.3091435482190813,0.5289488476672288,0.7240022484541877,0.1405283867341203,0.25744800449690836,0.7032040472175379,0.7296233839235525
origin,drugban,bindingdb,s42,prot25,source_all+deployment,0,,,hard,hard,5,0.8250000000000001,14371,2371,2371,1779,0.5029167481814787,0.28934624697336553,0.3091435482190813,0.5289488476672288,0.7240022484541877,0.1405283867341203,0.25744800449690836,0.7032040472175379,0.7296233839235525
origin,drugban,bindingdb,s42,prot25,source_all+deployment,0,,,cross_mask,cross_mask,8,0.9500000000000001,14371,2371,2371,1779,0.5029167481814787,0.03029048067908402,0.07592437796788021,0.5289488476672288,0.5491849353569421,0.14839797639123103,0.38336143901068015,0.3524451939291737,0.5587408656548623
origin,drugban,bindingdb,s42,prot25,source_matched,0,,,selected,cross_mask,50,0.8,2371,2371,2371,1779,0.5029167481814787,0.06575132943247897,0.07232925716928063,0.5289488476672288,0.5767284991568297,0.07869589657110736,0.41708825182686904,0.20629567172568858,0.5801011804384486
