study,bench,name,seed,cond,arm,rep,noise,pool_frac,policy,chosen,k,beta,n_pool,n_fit,n_conf,n_test,base_metric,gate_metric_delta,blanket_metric_delta,base_accuracy,gate_accuracy,joint_harm,blanket_joint_harm,apply_rate,target_accuracy
origin,drugban,biosnap,s42,prot25,deployment,0,,,selected,hard,12,0.8,1209,1209,1209,907,0.541870076825829,0.0728532529417486,0.09050374404356709,0.5016538037486218,0.6030871003307607,0.16207276736493936,0.47519294377067256,0.4310915104740904,0.6030871003307607
origin,drugban,biosnap,s42,prot25,deployment,0,,,hard,hard,12,0.8,1209,1209,1209,907,0.541870076825829,0.0728532529417486,0.09050374404356709,0.5016538037486218,0.6030871003307607,0.16207276736493936,0.47519294377067256,0.4310915104740904,0.6030871003307607
origin,drugban,biosnap,s42,prot25,deployment,0,,,cross_mask,cross_mask,3,1.0,1209,1209,1209,907,0.541870076825829,0.04025089954293504,0.054799183117767214,0.5016538037486218,0.5424476295479603,0.175303197353914,0.4961411245865491,0.4211686879823594,0.5413450937155457
origin,drugban,biosnap,s42,prot25,source_all,0,,,selected,hard,20,0.875,9766,1209,1209,907,0.541870076825829,0.04693669162695713,0.04719926091607507,0.5016538037486218,0.565600882028666,0.16979051819184124,0.4729878721058434,0.39691289966923926,0.565600882028666
origin,drugban,biosnap,s42,prot25,source_all,0,,,hard,hard,20,0.875,9766,1209,1209,907,0.541870076825829,0.04693669162695713,0.04719926091607507,0.5016538037486218,0.565600882028666,0.16979051819184124,0.4729878721058434,0.39691289966923926,0.565600882028666
origin,drugban,biosnap,s42,prot25,source_all,0,,,cross_mask,cross_mask,35,1.0,9766,1209,1209,907,0.541870076825829,0.04376154818632694,0.06469658659924149,0.5016538037486218,0.5644983461962514,0.185226019845645,0.4906284454244763,0.42778390297684676,0.5633958103638368
origin,drugban,biosnap,s42,prot25,source_all+deployment,0,,,selected,hard,12,0.75,10975,1209,1209,907,0.541870076825829,0.09301273947291655,0.10129825926286107,0.5016538037486218,0.6085997794928335,0.16207276736493936,0.4564498346196251,0.45424476295479604,0.6097023153252481
origin,drugban,biosnap,s42,prot25,source_all+deployment,0,,,hard,hard,12,0.75,10975,1209,1209,907,0.541870076825829,0.09301273947291655,0.10129825926286107,0.5016538037486218,0.6085997794928335,0.16207276736493936,0.4564498346196251,0.45424476295479604,0.6097023153252481
origin,drugban,biosnap,s42,prot25,source_all+deployment,0,,,cross_mask,cross_mask,35,1.0,10975,1209,1209,907,0.541870076825829,0.036181075561606546,0.05516386268598661,0.5016538037486218,0.5479603087100331,0.17199558985667035,0.4884233737596472,0.4013230429988975,0.5479603087100331
origin,drugban,biosnap,s42,prot25,source_matched,0,,,selected,hard,5,0.675,1209,1209,1209,907,0.541870076825829,0.028513079840513544,0.02155985607313049,0.5016538037486218,0.5336273428886439,0.20176405733186328,0.4619625137816979,0.5082690187431091,0.5369349503858876
origin,drugban,biosnap,s42,prot25,source_matched,0,,,hard,hard,5,0.675,1209,1209,1209,907,0.541870076825829,0.028513079840513544,0.02155985607313049,0.5016538037486218,0.5336273428886439,0.20176405733186328,0.4619625137816979,0.5082690187431091,0.5369349503858876
origin,drugban,biosnap,s42,prot25,source_matched,0,,,cross_mask,cross_mask,35,1.0,1209,1209,1209,907,0.541870076825829,0.04744238062822137,0.05999708256345426,0.5016538037486218,0.5523704520396913,0.18853362734288864,0.49834619625137816,0.4421168687982359,0.5523704520396913
origin,drugban,biosnap,s42,prot25,source_matched,1,,,selected,cross_mask,50,1.0,1209,1209,1209,907,0.541870076825829,0.03549547797335417,0.045862102499270696,0.5016538037486218,0.557883131201764,0.2127894156560088,0.5005512679162073,0.47519294377067256,0.557883131201764
origin,drugban,biosnap,s42,prot25,source_matched,1,,,hard,hard,50,0.9500000000000001,1209,1209,1209,907,0.541870076825829,0.027530876203442634,0.04754449090732282,0.5016538037486218,0.5435501653803748,0.18963616317530319,0.4961411245865491,0.4288864388092613,0.5512679162072768
