study,bench,name,seed,cond,arm,rep,noise,pool_frac,policy,chosen,k,beta,n_pool,n_fit,n_conf,n_test,base_metric,gate_metric_delta,blanket_metric_delta,base_accuracy,gate_accuracy,joint_harm,blanket_joint_harm,apply_rate,target_accuracy
size,drugban,bindingdb,s42,prot25,,0,,1.0,selected,hard,5,0.8250000000000001,12000,2460,2460,9840,0.7642491380838463,0.1211432157531045,0.14279567167988816,0.7048780487804878,0.8388211382113822,0.16239837398373982,0.30060975609756097,0.8021341463414634,0.8247967479674797
size,drugban,bindingdb,s42,prot25,,0,,1.0,hard,hard,5,0.8250000000000001,12000,2460,2460,9840,0.7642491380838463,0.1211432157531045,0.14279567167988816,0.7048780487804878,0.8388211382113822,0.16239837398373982,0.30060975609756097,0.8021341463414634,0.8247967479674797
size,drugban,bindingdb,s42,prot25,,0,,1.0,cross_mask,cross_mask,5,0.8500000000000001,12000,2460,2460,9840,0.7642491380838463,0.1198575997191057,0.1422489017348324,0.7048780487804878,0.8355691056910569,0.13343495934959348,0.30121951219512194,0.7704268292682926,0.8252032520325203
size,drugban,bindingdb,s42,prot25,,0,,0.008333333333333333,selected,cross_mask,5,0.325,100,2460,2460,9840,0.7642491380838463,0.007780467354633003,0.011328661183301447,0.7048780487804878,0.7153455284552845,0.18221544715447155,0.6651422764227642,0.38140243902439025,0.5727642276422764
size,drugban,bindingdb,s42,prot25,,0,,0.008333333333333333,hard,hard,5,0.25,100,2460,2460,9840,0.7642491380838463,0.007781723171619848,0.010070524127777647,0.7048780487804878,0.7105691056910569,0.18729674796747967,0.6642276422764227,0.382520325203252,0.5393292682926829
size,drugban,bindingdb,s42,prot25,,0,,0.008333333333333333,cross_mask,cross_mask,5,0.325,100,2460,2460,9840,0.7642491380838463,0.007780467354633003,0.011328661183301447,0.7048780487804878,0.7153455284552845,0.18221544715447155,0.6651422764227642,0.38140243902439025,0.5727642276422764
size,drugban,bindingdb,s42,prot25,,1,,0.008333333333333333,selected,hard,3,0.2,100,2460,2460,9840,0.7642491380838463,0.00572844111308124,0.008409099539204545,0.7048780487804878,0.7056910569105691,0.1883130081300813,0.6184959349593496,0.38597560975609757,0.5906504065040651
size,drugban,bindingdb,s42,prot25,,1,,0.008333333333333333,hard,hard,3,0.2,100,2460,2460,9840,0.7642491380838463,0.00572844111308124,0.008409099539204545,0.7048780487804878,0.7056910569105691,0.1883130081300813,0.6184959349593496,0.38597560975609757,0.5906504065040651
size,drugban,bindingdb,s42,prot25,,1,,0.008333333333333333,cross_mask,cross_mask,5,0.275,100,2460,2460,9840,0.7642491380838463,0.004075168692405873,0.0054499903025386764,0.7048780487804878,0.7035569105691057,0.17794715447154472,0.6619918699186992,0.36666666666666664,0.6151422764227642
size,drugban,bindingdb,s42,prot25,,2,,0.008333333333333333,selected,hard,50,0.275,100,2460,2460,9840,0.7642491380838463,0.0003711045621319631,0.0006990430759700184,0.7048780487804878,0.7100609756097561,0.18485772357723576,0.6738821138211382,0.38119918699186994,0.5860772357723577
