study,bench,name,seed,cond,arm,rep,noise,pool_frac,policy,chosen,k,beta,n_pool,n_fit,n_conf,n_test,base_metric,gate_metric_delta,blanket_metric_delta,base_accuracy,gate_accuracy,joint_harm,blanket_joint_harm,apply_rate,target_accuracy
size,drugban,biosnap,s42,prot25,,0,,1.0,selected,hard,8,0.8500000000000001,12000,1373,1374,5493,0.6875187916099935,0.12853421464989945,0.13069521665698924,0.5514290915710904,0.7442199162570544,0.1591115965774622,0.4560349535772802,0.5499726925177498,0.7425814673220462
size,drugban,biosnap,s42,prot25,,0,,1.0,hard,hard,8,0.8500000000000001,12000,1373,1374,5493,0.6875187916099935,0.12853421464989945,0.13069521665698924,0.5514290915710904,0.7442199162570544,0.1591115965774622,0.4560349535772802,0.5499726925177498,0.7425814673220462
size,drugban,biosnap,s42,prot25,,0,,1.0,cross_mask,cross_mask,8,0.9,12000,1373,1374,5493,0.6875187916099935,0.12832488870859549,0.1299998939450583,0.5514290915710904,0.7453122155470598,0.165665392317495,0.4567631531039505,0.5720007281995266,0.7433096668487166
size,drugban,biosnap,s42,prot25,,0,,0.008333333333333333,selected,cross_mask,3,0.7000000000000001,100,1373,1374,5493,0.6875187916099935,0.025403207631713665,0.0036470968785379254,0.5514290915710904,0.6435463316948844,0.1767704350992172,0.4503914072455853,0.4611323502639723,0.6113235026397232
size,drugban,biosnap,s42,prot25,,0,,0.008333333333333333,hard,hard,8,0.8,100,1373,1374,5493,0.6875187916099935,0.020718760854060436,0.00223510789764636,0.5514290915710904,0.642818132168214,0.1663935918441653,0.528854906244311,0.4321864190788276,0.6111414527580558
size,drugban,biosnap,s42,prot25,,0,,0.008333333333333333,cross_mask,cross_mask,3,0.7000000000000001,100,1373,1374,5493,0.6875187916099935,0.025403207631713665,0.0036470968785379254,0.5514290915710904,0.6435463316948844,0.1767704350992172,0.4503914072455853,0.4611323502639723,0.6113235026397232
size,drugban,biosnap,s42,prot25,,1,,0.008333333333333333,selected,hard,3,0.6000000000000001,100,1373,1374,5493,0.6875187916099935,0.011511203378910428,-0.012100868855110303,0.5514290915710904,0.609685053704715,0.17622428545421445,0.4398325141088658,0.4332787183688331,0.583469870744584
size,drugban,biosnap,s42,prot25,,1,,0.008333333333333333,hard,hard,3,0.6000000000000001,100,1373,1374,5493,0.6875187916099935,0.011511203378910428,-0.012100868855110303,0.5514290915710904,0.609685053704715,0.17622428545421445,0.4398325141088658,0.4332787183688331,0.583469870744584
size,drugban,biosnap,s42,prot25,,1,,0.008333333333333333,cross_mask,cross_mask,3,0.7000000000000001,100,1373,1374,5493,0.6875187916099935,0.008020272402118,-0.023207472631196602,0.5514290915710904,0.6158747496814128,0.1791370835608957,0.4560349535772802,0.4405607136355361,0.583469870744584
size,drugban,biosnap,s42,prot25,,2,,0.008333333333333333,selected,hard,3,0.525,100,1373,1374,5493,0.6875187916099935,0.010590248778379663,-0.016908074227853676,0.5514290915710904,0.5931185144729656,0.18259603131257965,0.4137993810304023,0.4229018751137812,0.5734571272528672
size,drugban,biosnap,s42,prot25,,2,,0.008333333333333333,hard,hard,3,0.525,100,1373,1374,5493,0.6875187916099935,0.010590248778379663,-0.016908074227853676,0.5514290915710904,0.5931185144729656,0.18259603131257965,0.4137993810304023,0.4229018751137812,0.5734571272528672
size,drugban,biosnap,s42,prot25,,2,,0.008333333333333333,cross_mask,cross_mask,3,0.6000000000000001,100,1373,1374,5493,0.6875187916099935,0.005426301095282415,-0.02208116914967795,0.5514290915710904,0.595121063171309,0.18641907882759876,0.4660476970689969,0.4256326233387948,0.574913526306208
size,drugban,biosnap,s42,prot25,,0,,0.025,selected,cross_mask,5,0.775,300,1373,1374,5493,0.6875187916099935,0.04053539185975297,0.01877397835948913,0.5514290915710904,0.6559257236482796,0.17786273438922265,0.4980884762424904,0.47933733843073,0.6180593482614236
size,drugban,biosnap,s42,prot25,,0,,0.025,hard,hard,5,0.7250000000000001,300,1373,1374,5493,0.6875187916099935,0.03201719150605975,0.014222365396393655,0.5514290915710904,0.6448206808665574,0.17877298379756054,0.4959038776624795,0.4704168942290188,0.613144001456399
size,drugban,biosnap,s42,prot25,,0,,0.025,cross_mask,cross_mask,5,0.775,300,1373,1374,5493,0.6875187916099935,0.04053539185975297,0.01877397835948913,0.5514290915710904,0.6559257236482796,0.17786273438922265,0.4980884762424904,0.47933733843073,0.6180593482614236
size,drugban,biosnap,s42,prot25,,1,,0.025,selected,hard,3,0.6000000000000001,300,1373,1374,5493,0.6875187916099935,0.010994715812526756,-0.010303767866943425,0.5514290915710904,0.6129619515747314,0.20862916439104315,0.4303659202621518,0.4715091935190242,0.5851083196795922
size,drugban,biosnap,s42,prot25,,1,,0.025,hard,hard,3,0.6000000000000001,300,1373,1374,5493,0.6875187916099935,0.010994715812526756,-0.010303767866943425,0.5514290915710904,0.6129619515747314,0.20862916439104315,0.4303659202621518,0.4715091935190242,0.5851083196795922
size,drugban,biosnap,s42,prot25,,1,,0.025,cross_mask,cross_mask,3,0.675,300,1373,1374,5493,0.6875187916099935,0.011427154837563624,-0.013024739966539634,0.5514290915710904,0.6227926451847806,0.19370107409430184,0.4463863098488986,0.4480247587839068,0.584744219916257
size,drugban,biosnap,s42,prot25,,2,,0.025,selected,hard,20,0.8500000000000001,300,1373,1374,5493,0.6875187916099935,0.017009621834591426,-0.014285202949387843,0.5514290915710904,0.6231567449481158,0.1720371381758602,0.5359548516293464,0.4312761696704897,0.5967595121063172
size,drugban,biosnap,s42,prot25,,2,,0.025,hard,hard,20,0.8500000000000001,300,1373,1374,5493,0.6875187916099935,0.017009621834591426,-0.014285202949387843,0.5514290915710904,0.6231567449481158,0.1720371381758602,0.5359548516293464,0.4312761696704897,0.5967595121063172
size,drugban,biosnap,s42,prot25,,2,,0.025,cross_mask,cross_mask,20,0.8500000000000001,300,1373,1374,5493,0.6875187916099935,0.01744762874407091,-0.011768519181361903,0.5514290915710904,0.6251592936464592,0.17003458947751685,0.5392317494993628,0.4170762789004187,0.601128709266339
size,drugban,biosnap,s42,prot25,,0,,0.08333333333333333,selected,hard,35,0.9,1000,1373,1374,5493,0.6875187916099935,0.05219308362697295,0.038363651789809716,0.5514290915710904,0.665210267613326,0.1662115419624977,0.5330420535226652,0.4584016020389587,0.6464591298015656
size,drugban,biosnap,s42,prot25,,0,,0.08333333333333333,hard,hard,35,0.9,1000,1373,1374,5493,0.6875187916099935,0.05219308362697295,0.038363651789809716,0.5514290915710904,0.665210267613326,0.1662115419624977,0.5330420535226652,0.4584016020389587,0.6464591298015656
size,drugban,biosnap,s42,prot25,,0,,0.08333333333333333,cross_mask,cross_mask,35,0.9,1000,1373,1374,5493,0.6875187916099935,0.05284200730188282,0.03911995609325414,0.5514290915710904,0.666484616784999,0.1607500455124704,0.5344984525760058,0.4483888585472419,0.651010376843255
size,drugban,biosnap,s42,prot25,,1,,0.08333333333333333,selected,cross_mask,12,0.925,1000,1373,1374,5493,0.6875187916099935,0.060417644360661105,0.03821437945927897,0.5514290915710904,0.6670307664300018,0.1602038958674677,0.5273985071909704,0.450937556890588,0.6573821227016202
