study,bench,name,seed,cond,arm,rep,noise,pool_frac,policy,chosen,k,beta,n_pool,n_fit,n_conf,n_test,base_metric,gate_metric_delta,blanket_metric_delta,base_accuracy,gate_accuracy,joint_harm,blanket_joint_harm,apply_rate,target_accuracy
size,drugban,human,s42,prot25,,0,,1.0,selected,hard,12,0.6000000000000001,4197,300,300,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
size,drugban,human,s42,prot25,,0,,1.0,hard,hard,12,0.6000000000000001,4197,300,300,1200,0.9460135317388959,0.008547248696277654,0.019465923395072804,0.8641666666666666,0.8891666666666667,0.04833333333333333,0.21333333333333335,0.7666666666666667,0.8833333333333333
size,drugban,human,s42,prot25,,0,,1.0,cross_mask,cross_mask,12,0.5750000000000001,4197,300,300,1200,0.9460135317388959,0.009584045135766939,0.018131293832044593,0.8641666666666666,0.8966666666666666,0.05416666666666667,0.21583333333333332,0.7908333333333334,0.8816666666666667
size,drugban,human,s42,prot25,,0,,0.02382654276864427,selected,hard,5,0.45,100,300,300,1200,0.9460135317388959,0.00022196996942991376,-0.008926564466822495,0.8641666666666666,0.8691666666666666,0.06916666666666667,0.48833333333333334,0.14416666666666667,0.815
size,drugban,human,s42,prot25,,0,,0.02382654276864427,hard,hard,5,0.45,100,300,300,1200,0.9460135317388959,0.00022196996942991376,-0.008926564466822495,0.8641666666666666,0.8691666666666666,0.06916666666666667,0.48833333333333334,0.14416666666666667,0.815
size,drugban,human,s42,prot25,,0,,0.02382654276864427,cross_mask,cross_mask,5,0.4,100,300,300,1200,0.9460135317388959,0.00032031109512675737,-0.007018746628304262,0.8641666666666666,0.875,0.08666666666666667,0.42833333333333334,0.6183333333333333,0.815
size,drugban,human,s42,prot25,,1,,0.02382654276864427,selected,hard,3,0.325,100,300,300,1200,0.9460135317388959,0.0024838158604567617,-0.0005759980219385286,0.8641666666666666,0.8841666666666667,0.0375,0.5408333333333334,0.1025,0.8008333333333333
size,drugban,human,s42,prot25,,1,,0.02382654276864427,hard,hard,3,0.325,100,300,300,1200,0.9460135317388959,0.0024838158604567617,-0.0005759980219385286,0.8641666666666666,0.8841666666666667,0.0375,0.5408333333333334,0.1025,0.8008333333333333
size,drugban,human,s42,prot25,,1,,0.02382654276864427,cross_mask,cross_mask,3,0.30000000000000004,100,300,300,1200,0.9460135317388959,0.0008204459629562733,-0.0015622190253551382,0.8641666666666666,0.8791666666666667,0.17,0.3375,0.8175,0.8008333333333333
size,drugban,human,s42,prot25,,2,,0.02382654276864427,selected,hard,3,0.225,100,300,300,1200,0.9460135317388959,0.0014554486603128858,-0.0017757597554396432,0.8641666666666666,0.8783333333333333,0.06833333333333333,0.6583333333333333,0.15416666666666667,0.7758333333333334
size,drugban,human,s42,prot25,,2,,0.02382654276864427,hard,hard,3,0.225,100,300,300,1200,0.9460135317388959,0.0014554486603128858,-0.0017757597554396432,0.8641666666666666,0.8783333333333333,0.06833333333333333,0.6583333333333333,0.15416666666666667,0.7758333333333334
size,drugban,human,s42,prot25,,2,,0.02382654276864427,cross_mask,cross_mask,3,0.25,100,300,300,1200,0.9460135317388959,0.001725184319366968,-0.004144376011508744,0.8641666666666666,0.8725,0.15166666666666667,0.37333333333333335,0.7616666666666667,0.775
size,drugban,human,s42,prot25,,0,,0.07147962830593281,selected,hard,12,0.30000000000000004,300,300,300,1200,0.9460135317388959,-0.003121628304261881,-0.004641701132889753,0.8641666666666666,0.8716666666666667,0.09833333333333333,0.3525,0.7125,0.7933333333333333
size,drugban,human,s42,prot25,,0,,0.07147962830593281,hard,hard,12,0.30000000000000004,300,300,300,1200,0.9460135317388959,-0.003121628304261881,-0.004641701132889753,0.8641666666666666,0.8716666666666667,0.09833333333333333,0.3525,0.7125,0.7933333333333333
size,drugban,human,s42,prot25,,0,,0.07147962830593281,cross_mask,cross_mask,12,0.275,300,300,300,1200,0.9460135317388959,-0.0018347644308578381,-0.004728803272792681,0.8641666666666666,0.8691666666666666,0.0975,0.3383333333333333,0.65,0.7891666666666667
size,drugban,human,s42,prot25,,1,,0.07147962830593281,selected,hard,5,0.275,300,300,300,1200,0.9460135317388959,0.0008710213990289484,0.0017364233051608835,0.8641666666666666,0.88,0.09916666666666667,0.6075,0.20416666666666666,0.81
size,drugban,human,s42,prot25,,1,,0.07147962830593281,hard,hard,5,0.275,300,300,300,1200,0.9460135317388959,0.0008710213990289484,0.0017364233051608835,0.8641666666666666,0.88,0.09916666666666667,0.6075,0.20416666666666666,0.81
size,drugban,human,s42,prot25,,1,,0.07147962830593281,cross_mask,cross_mask,5,0.275,300,300,300,1200,0.9460135317388959,0.0004523691782053474,-1.9668225139435336e-05,0.8641666666666666,0.87,0.10416666666666667,0.3375,0.7308333333333333,0.81
size,drugban,human,s42,prot25,,2,,0.07147962830593281,selected,hard,20,0.25,300,300,300,1200,0.9460135317388959,-0.0013374393094767179,-0.0037538212551699868,0.8641666666666666,0.8691666666666666,0.04583333333333333,0.39166666666666666,0.45916666666666667,0.8008333333333333
size,drugban,human,s42,prot25,,2,,0.07147962830593281,hard,hard,20,0.25,300,300,300,1200,0.9460135317388959,-0.0013374393094767179,-0.0037538212551699868,0.8641666666666666,0.8691666666666666,0.04583333333333333,0.39166666666666666,0.45916666666666667,0.8008333333333333
size,drugban,human,s42,prot25,,2,,0.07147962830593281,cross_mask,cross_mask,20,0.25,300,300,300,1200,0.9460135317388959,-0.0017055160942276437,-0.0037566310016184934,0.8641666666666666,0.8691666666666666,0.055,0.38916666666666666,0.4866666666666667,0.7966666666666666
size,drugban,human,s42,prot25,,0,,0.2382654276864427,selected,hard,3,0.5,1000,300,300,1200,0.9460135317388959,0.00838709314871422,0.01196671012407835,0.8641666666666666,0.8808333333333334,0.17666666666666667,0.21916666666666668,0.9433333333333334,0.855
size,drugban,human,s42,prot25,,0,,0.2382654276864427,hard,hard,3,0.5,1000,300,300,1200,0.9460135317388959,0.00838709314871422,0.01196671012407835,0.8641666666666666,0.8808333333333334,0.17666666666666667,0.21916666666666668,0.9433333333333334,0.855
size,drugban,human,s42,prot25,,0,,0.2382654276864427,cross_mask,cross_mask,3,0.5,1000,300,300,1200,0.9460135317388959,0.007844812084157549,0.010415730084517127,0.8641666666666666,0.8816666666666667,0.16333333333333333,0.22333333333333333,0.9283333333333333,0.8566666666666667
size,drugban,human,s42,prot25,,1,,0.2382654276864427,selected,hard,3,0.325,1000,300,300,1200,0.9460135317388959,0.005183982197446424,0.009749820176227275,0.8641666666666666,0.88,0.12,0.20666666666666667,0.8858333333333334,0.8616666666666667
size,drugban,human,s42,prot25,,1,,0.2382654276864427,hard,hard,3,0.325,1000,300,300,1200,0.9460135317388959,0.005183982197446424,0.009749820176227275,0.8641666666666666,0.88,0.12,0.20666666666666667,0.8858333333333334,0.8616666666666667
size,drugban,human,s42,prot25,,1,,0.2382654276864427,cross_mask,cross_mask,3,0.325,1000,300,300,1200,0.9460135317388959,0.005029446142780003,0.009797585865851444,0.8641666666666666,0.88,0.09083333333333334,0.20666666666666667,0.8525,0.8625
size,drugban,human,s42,prot25,,2,,0.2382654276864427,selected,hard,5,0.45,1000,300,300,1200,0.9460135317388959,0.005942613738536218,0.00838709314871422,0.8641666666666666,0.8833333333333333,0.05416666666666667,0.285,0.7158333333333333,0.85
