study,bench,name,seed,cond,arm,rep,noise,pool_frac,policy,chosen,k,beta,n_pool,n_fit,n_conf,n_test,base_metric,gate_metric_delta,blanket_metric_delta,base_accuracy,gate_accuracy,joint_harm,blanket_joint_harm,apply_rate,target_accuracy
size,mosei,CMAD,0,a,,0,,1.0,selected,cross_mask,5,1.0,1161,1161,1161,1160,0.6305803571428571,0.0502232142857143,0.0736607142857143,0.5353448275862069,0.5827586206896552,0.10086206896551723,0.25775862068965516,0.3232758620689655,0.6137931034482759
size,mosei,CMAD,0,a,,0,,1.0,hard,hard,8,0.55,1161,1161,1161,1160,0.6305803571428571,0.030133928571428603,0.0345982142857143,0.5353448275862069,0.5775862068965517,0.06551724137931035,0.32241379310344825,0.2439655172413793,0.6224137931034482
size,mosei,CMAD,0,a,,0,,1.0,cross_mask,cross_mask,5,1.0,1161,1161,1161,1160,0.6305803571428571,0.0502232142857143,0.0736607142857143,0.5353448275862069,0.5827586206896552,0.10086206896551723,0.25775862068965516,0.3232758620689655,0.6137931034482759
size,mosei,CMAD,0,a,,0,,0.04306632213608958,selected,hard,3,0.15000000000000002,50,1161,1161,1160,0.6305803571428571,-0.0022321428571427937,-0.0078125,0.5353448275862069,0.5344827586206896,0.045689655172413794,0.2603448275862069,0.25862068965517243,0.5301724137931034
size,mosei,CMAD,0,a,,0,,0.04306632213608958,hard,hard,3,0.15000000000000002,50,1161,1161,1160,0.6305803571428571,-0.0022321428571427937,-0.0078125,0.5353448275862069,0.5344827586206896,0.045689655172413794,0.2603448275862069,0.25862068965517243,0.5301724137931034
size,mosei,CMAD,0,a,,0,,0.04306632213608958,cross_mask,cross_mask,3,0.2,50,1161,1161,1160,0.6305803571428571,0.0,-0.010044642857142794,0.5353448275862069,0.5413793103448276,0.020689655172413793,0.22327586206896552,0.10775862068965517,0.5077586206896552
size,mosei,CMAD,0,a,,0,,0.12919896640826872,selected,cross_mask,5,0.275,150,1161,1161,1160,0.6305803571428571,0.0,0.014508928571428603,0.5353448275862069,0.5353448275862069,0.03189655172413793,0.17672413793103448,0.2646551724137931,0.5387931034482759
size,mosei,CMAD,0,a,,0,,0.12919896640826872,hard,hard,35,0.30000000000000004,150,1161,1161,1160,0.6305803571428571,-0.0200892857142857,-0.0033482142857141906,0.5353448275862069,0.5310344827586206,0.029310344827586206,0.18017241379310345,0.25775862068965516,0.4991379310344828
size,mosei,CMAD,0,a,,0,,0.12919896640826872,cross_mask,cross_mask,5,0.275,150,1161,1161,1160,0.6305803571428571,0.0,0.014508928571428603,0.5353448275862069,0.5353448275862069,0.03189655172413793,0.17672413793103448,0.2646551724137931,0.5387931034482759
size,mosei,CMAD,0,a,,0,,0.34453057708871665,selected,cross_mask,3,0.4,400,1161,1161,1160,0.6305803571428571,0.024553571428571508,0.044642857142857206,0.5353448275862069,0.553448275862069,0.1206896551724138,0.30431034482758623,0.29482758620689653,0.5637931034482758
size,mosei,CMAD,0,a,,0,,0.34453057708871665,hard,hard,12,0.4,400,1161,1161,1160,0.6305803571428571,-0.010044642857142794,-0.005580357142857095,0.5353448275862069,0.5336206896551724,0.03879310344827586,0.29224137931034483,0.08620689655172414,0.5698275862068966
size,mosei,CMAD,0,a,,0,,0.34453057708871665,cross_mask,cross_mask,3,0.4,400,1161,1161,1160,0.6305803571428571,0.024553571428571508,0.044642857142857206,0.5353448275862069,0.553448275862069,0.1206896551724138,0.30431034482758623,0.29482758620689653,0.5637931034482758
size,mosei,CMAD,1,a,,0,,1.0,selected,cross_mask,20,1.0,1161,1161,1161,1160,0.6560088202866593,0.055126791620727644,0.05402425578831316,0.5586206896551724,0.6043103448275862,0.08362068965517241,0.2267241379310345,0.23706896551724138,0.5991379310344828
size,mosei,CMAD,1,a,,0,,1.0,hard,hard,20,0.675,1161,1161,1161,1160,0.6560088202866593,0.02094818081587657,0.019845644983461974,0.5586206896551724,0.5853448275862069,0.09568965517241379,0.28793103448275864,0.32413793103448274,0.6275862068965518
size,mosei,CMAD,1,a,,0,,1.0,cross_mask,cross_mask,20,1.0,1161,1161,1161,1160,0.6560088202866593,0.055126791620727644,0.05402425578831316,0.5586206896551724,0.6043103448275862,0.08362068965517241,0.2267241379310345,0.23706896551724138,0.5991379310344828
size,mosei,CMAD,1,a,,0,,0.04306632213608958,selected,cross_mask,5,0.2,50,1161,1161,1160,0.6560088202866593,-0.006615214994487251,-0.006615214994487251,0.5586206896551724,0.5344827586206896,0.05603448275862069,0.1793103448275862,0.5767241379310345,0.5224137931034483
size,mosei,CMAD,1,a,,0,,0.04306632213608958,hard,hard,3,0.05,50,1161,1161,1160,0.6560088202866593,0.0,0.0011025358324145973,0.5586206896551724,0.5586206896551724,0.0,0.08448275862068966,0.0,0.5094827586206897
size,mosei,CMAD,1,a,,0,,0.04306632213608958,cross_mask,cross_mask,5,0.2,50,1161,1161,1160,0.6560088202866593,-0.006615214994487251,-0.006615214994487251,0.5586206896551724,0.5344827586206896,0.05603448275862069,0.1793103448275862,0.5767241379310345,0.5224137931034483
size,mosei,CMAD,1,a,,0,,0.12919896640826872,selected,cross_mask,3,0.65,150,1161,1161,1160,0.6560088202866593,0.0011025358324145973,0.044101433296582115,0.5586206896551724,0.5577586206896552,0.019827586206896553,0.25,0.045689655172413794,0.5896551724137931
size,mosei,CMAD,1,a,,0,,0.12919896640826872,hard,hard,3,0.15000000000000002,150,1161,1161,1160,0.6560088202866593,0.009922822491731043,0.004410143329658278,0.5586206896551724,0.5732758620689655,0.13448275862068965,0.25517241379310346,0.4827586206896552,0.5689655172413793
size,mosei,CMAD,1,a,,0,,0.12919896640826872,cross_mask,cross_mask,3,0.65,150,1161,1161,1160,0.6560088202866593,0.0011025358324145973,0.044101433296582115,0.5586206896551724,0.5577586206896552,0.019827586206896553,0.25,0.045689655172413794,0.5896551724137931
size,mosei,CMAD,1,a,,0,,0.34453057708871665,selected,cross_mask,3,0.525,400,1161,1161,1160,0.6560088202866593,0.016538037486218293,0.026460859977949336,0.5586206896551724,0.5724137931034483,0.12155172413793103,0.29310344827586204,0.31724137931034485,0.5887931034482758
