study,bench,name,seed,cond,arm,rep,noise,pool_frac,policy,chosen,k,beta,n_pool,n_fit,n_conf,n_test,base_metric,gate_metric_delta,blanket_metric_delta,base_accuracy,gate_accuracy,joint_harm,blanket_joint_harm,apply_rate,target_accuracy
size,mosei,MoMKE,0,a,,0,,1.0,selected,cross_mask,8,0.25,1165,1165,1165,1164,0.70874861572536,0.008859357696566983,0.024363233665559147,0.6400343642611683,0.6460481099656358,0.03264604810996564,0.13144329896907217,0.21563573883161513,0.6254295532646048
size,mosei,MoMKE,0,a,,0,,1.0,hard,hard,50,0.2,1165,1165,1165,1164,0.70874861572536,0.0,0.006644518272425182,0.6400343642611683,0.6408934707903781,0.02577319587628866,0.1013745704467354,0.19243986254295534,0.6134020618556701
size,mosei,MoMKE,0,a,,0,,1.0,cross_mask,cross_mask,8,0.25,1165,1165,1165,1164,0.70874861572536,0.008859357696566983,0.024363233665559147,0.6400343642611683,0.6460481099656358,0.03264604810996564,0.13144329896907217,0.21563573883161513,0.6254295532646048
size,mosei,MoMKE,0,a,,0,,0.04291845493562232,selected,hard,3,0.0,50,1165,1165,1164,0.70874861572536,0.0,0.0,0.6400343642611683,0.6400343642611683,0.0,0.0,1.0,0.5231958762886598
size,mosei,MoMKE,0,a,,0,,0.04291845493562232,hard,hard,3,0.0,50,1165,1165,1164,0.70874861572536,0.0,0.0,0.6400343642611683,0.6400343642611683,0.0,0.0,1.0,0.5231958762886598
size,mosei,MoMKE,0,a,,0,,0.04291845493562232,cross_mask,cross_mask,3,0.0,50,1165,1165,1164,0.70874861572536,0.0,0.0,0.6400343642611683,0.6400343642611683,0.0,0.0,1.0,0.5
size,mosei,MoMKE,0,a,,0,,0.12875536480686695,selected,hard,35,0.1,150,1165,1165,1164,0.70874861572536,0.0,0.001107419712070845,0.6400343642611683,0.6400343642611683,0.0,0.5249140893470791,0.0,0.6065292096219931
size,mosei,MoMKE,0,a,,0,,0.12875536480686695,hard,hard,35,0.1,150,1165,1165,1164,0.70874861572536,0.0,0.001107419712070845,0.6400343642611683,0.6400343642611683,0.0,0.5249140893470791,0.0,0.6065292096219931
size,mosei,MoMKE,0,a,,0,,0.12875536480686695,cross_mask,cross_mask,5,0.05,150,1165,1165,1164,0.70874861572536,0.00221483942414169,0.0033222591362125353,0.6400343642611683,0.6417525773195877,0.0,0.5274914089347079,0.04209621993127148,0.5945017182130584
size,mosei,MoMKE,0,a,,0,,0.34334763948497854,selected,hard,20,0.07500000000000001,400,1165,1165,1164,0.70874861572536,0.0,0.00221483942414169,0.6400343642611683,0.6400343642611683,0.003436426116838488,0.00429553264604811,0.27233676975945015,0.5884879725085911
size,mosei,MoMKE,0,a,,0,,0.34334763948497854,hard,hard,20,0.07500000000000001,400,1165,1165,1164,0.70874861572536,0.0,0.00221483942414169,0.6400343642611683,0.6400343642611683,0.003436426116838488,0.00429553264604811,0.27233676975945015,0.5884879725085911
size,mosei,MoMKE,0,a,,0,,0.34334763948497854,cross_mask,cross_mask,3,0.0,400,1165,1165,1164,0.70874861572536,0.0,0.0,0.6400343642611683,0.6400343642611683,0.0,0.0,1.0,0.5867697594501718
size,mosei,MoMKE,1,a,,0,,1.0,selected,cross_mask,3,0.35000000000000003,1165,1165,1165,1164,0.6990185387131952,0.01199563794983638,0.022900763358778664,0.634020618556701,0.6451890034364262,0.06013745704467354,0.24570446735395188,0.2654639175257732,0.6348797250859106
