study,bench,name,seed,cond,arm,rep,noise,pool_frac,policy,chosen,k,beta,n_pool,n_fit,n_conf,n_test,base_metric,gate_metric_delta,blanket_metric_delta,base_accuracy,gate_accuracy,joint_harm,blanket_joint_harm,apply_rate,target_accuracy
size,mosei,TMDC,0,a,,0,,1.0,selected,cross_mask,20,0.30000000000000004,1165,1165,1165,1164,0.7452934662236987,0.0033222591362126463,0.005537098560354448,0.6469072164948454,0.6494845360824743,0.037800687285223365,0.218213058419244,0.14261168384879724,0.6116838487972509
size,mosei,TMDC,0,a,,0,,1.0,hard,hard,50,0.35000000000000003,1165,1165,1165,1164,0.7452934662236987,-0.00221483942414169,-0.015503875968992165,0.6469072164948454,0.6469072164948454,0.0506872852233677,0.25,0.17697594501718214,0.6134020618556701
size,mosei,TMDC,0,a,,0,,1.0,cross_mask,cross_mask,20,0.30000000000000004,1165,1165,1165,1164,0.7452934662236987,0.0033222591362126463,0.005537098560354448,0.6469072164948454,0.6494845360824743,0.037800687285223365,0.218213058419244,0.14261168384879724,0.6116838487972509
size,mosei,TMDC,0,a,,0,,0.04291845493562232,selected,hard,8,0.05,50,1165,1165,1164,0.7452934662236987,-0.0033222591362125353,-0.008859357696566983,0.6469072164948454,0.6417525773195877,0.0,0.49398625429553267,0.05756013745704467,0.5103092783505154
size,mosei,TMDC,0,a,,0,,0.04291845493562232,hard,hard,8,0.05,50,1165,1165,1164,0.7452934662236987,-0.0033222591362125353,-0.008859357696566983,0.6469072164948454,0.6417525773195877,0.0,0.49398625429553267,0.05756013745704467,0.5103092783505154
size,mosei,TMDC,0,a,,0,,0.04291845493562232,cross_mask,cross_mask,3,0.0,50,1165,1165,1164,0.7452934662236987,0.0,0.0,0.6469072164948454,0.6469072164948454,0.0,0.0,1.0,0.5060137457044673
size,mosei,TMDC,0,a,,0,,0.12875536480686695,selected,hard,35,0.17500000000000002,150,1165,1165,1164,0.7452934662236987,-0.0055370985603543366,-0.013289036544850474,0.6469072164948454,0.6400343642611683,0.005154639175257732,0.5051546391752577,0.13058419243986255,0.570446735395189
size,mosei,TMDC,0,a,,0,,0.12875536480686695,hard,hard,35,0.17500000000000002,150,1165,1165,1164,0.7452934662236987,-0.0055370985603543366,-0.013289036544850474,0.6469072164948454,0.6400343642611683,0.005154639175257732,0.5051546391752577,0.13058419243986255,0.570446735395189
size,mosei,TMDC,0,a,,0,,0.12875536480686695,cross_mask,cross_mask,5,0.05,150,1165,1165,1164,0.7452934662236987,0.0,-0.007751937984496138,0.6469072164948454,0.6469072164948454,0.0,0.0,0.20704467353951891,0.5678694158075601
size,mosei,TMDC,0,a,,0,,0.34334763948497854,selected,hard,8,0.225,400,1165,1165,1164,0.7452934662236987,-0.001107419712070845,-0.0055370985603543366,0.6469072164948454,0.6451890034364262,0.08676975945017182,0.29037800687285226,0.2663230240549828,0.5859106529209622
size,mosei,TMDC,0,a,,0,,0.34334763948497854,hard,hard,8,0.225,400,1165,1165,1164,0.7452934662236987,-0.001107419712070845,-0.0055370985603543366,0.6469072164948454,0.6451890034364262,0.08676975945017182,0.29037800687285226,0.2663230240549828,0.5859106529209622
size,mosei,TMDC,0,a,,0,,0.34334763948497854,cross_mask,cross_mask,5,0.17500000000000002,400,1165,1165,1164,0.7452934662236987,-0.008859357696566983,-0.006644518272425182,0.6469072164948454,0.6400343642611683,0.01718213058419244,0.48109965635738833,0.13831615120274915,0.5661512027491409
size,mosei,TMDC,1,a,,0,,1.0,selected,cross_mask,3,0.4,1165,1165,1165,1164,0.7022900763358778,0.0010905125408943173,0.02399127589967287,0.6211340206185567,0.6211340206185567,0.08161512027491409,0.32646048109965636,0.27319587628865977,0.615979381443299
size,mosei,TMDC,1,a,,0,,1.0,hard,hard,50,0.225,1165,1165,1165,1164,0.7022900763358778,0.004362050163576936,0.0065430752453653485,0.6211340206185567,0.6185567010309279,0.059278350515463915,0.42869415807560135,0.2603092783505155,0.5970790378006873
size,mosei,TMDC,1,a,,0,,1.0,cross_mask,cross_mask,3,0.4,1165,1165,1165,1164,0.7022900763358778,0.0010905125408943173,0.02399127589967287,0.6211340206185567,0.6211340206185567,0.08161512027491409,0.32646048109965636,0.27319587628865977,0.615979381443299
size,mosei,TMDC,1,a,,0,,0.04291845493562232,selected,hard,35,0.1,50,1165,1165,1164,0.7022900763358778,0.0,0.0,0.6211340206185567,0.6237113402061856,0.000859106529209622,0.001718213058419244,0.37199312714776633,0.5429553264604811
