condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,threshold,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,source,strength,seed
gap@0.2,hard,0.0,0.62,0.0,0.0,0.941392996278409,0.0,0.0,0.0,0.607,-0.0009540939403065485,0.004273701506188486,1.0,0.0,0.0,-5e-324,2000,2000,2000,2000,0.2,0.05,50,True,gap,0.2,0
gap@0.2,hard,0.0,0.6145,0.0,0.0,0.948841146898223,0.0,0.0,0.0,0.6045,-0.0015345148446710823,0.004153057276557827,1.0,0.0,0.0,-5e-324,2000,2000,2000,2000,0.2,0.05,50,True,gap,0.2,1
gap@0.2,hard,0.0,0.61,0.0,0.0,0.9371480156180229,0.0,0.0,0.0,0.5935,0.004993736327109859,0.004342576636383445,1.0,0.0,0.0,-5e-324,2000,2000,2000,2000,0.2,0.05,50,True,gap,0.2,2
gap@0.4,hard,0.55,0.62,-0.005499999999999949,0.0,0.9815155025612678,0.007460104963151503,0.014694358162313816,0.238,0.607,0.007254536150322666,0.0043981484475804555,0.236,0.047,0.19915254237288135,0.6781656475935894,2000,2000,2000,2000,0.2,0.05,50,True,gap,0.4,0
gap@0.4,hard,0.525,0.6145,-0.007500000000000062,0.0004999999999999449,0.9873514960486737,0.010349053853106405,0.006291018912994044,0.241,0.6045,0.007981274892138499,0.00430663735641913,0.3185,0.059,0.18524332810047095,0.641808796700187,2000,2000,2000,2000,0.2,0.05,50,True,gap,0.4,1
gap@0.4,hard,0.5750000000000001,0.61,-0.0020000000000000018,-0.0004999999999999449,0.9775260344366109,0.011048020884588812,0.0086730648304791,0.277,0.5935,0.013424830423250779,0.004445899286700418,0.3795,0.083,0.21870882740447958,0.6341844694401164,2000,2000,2000,2000,0.2,0.05,50,True,gap,0.4,2
gap@0.6,hard,0.925,0.62,-0.008499999999999952,-0.0024999999999999467,1.0612080661823964,0.07688905635940955,0.0885515405538201,0.238,0.607,0.026549371614121013,0.004648634796232489,0.6785,0.1405,0.20707442888725128,0.6695382300080703,2000,2000,2000,2000,0.2,0.05,50,True,gap,0.6,0
gap@0.6,hard,0.925,0.6145,-0.007500000000000062,-0.000500000000000056,1.0653431252625196,0.07016322212243709,0.07282880039796592,0.229,0.6045,0.028516398761883072,0.004588405162566067,0.7365,0.141,0.19144602851323828,0.6804333221699813,2000,2000,2000,2000,0.2,0.05,50,True,gap,0.6,1
gap@0.6,hard,0.925,0.61,-0.015000000000000013,-0.00649999999999995,1.057905861217686,0.07973462701959225,0.08079185438858079,0.249,0.5935,0.03330426059644256,0.004675402243860722,0.6665,0.1335,0.2003000750187547,0.6772377446428998,2000,2000,2000,2000,0.2,0.05,50,True,gap,0.6,2
noise@0.2,hard,0.0,0.5685,0.0,0.0,1.021743041383867,0.0,0.0,0.0,0.546,-0.002470797539488081,0.0044207039537949196,1.0,0.0,0.0,-5e-324,2000,2000,2000,2000,0.2,0.05,50,True,noise,0.2,0
noise@0.2,hard,0.07500000000000001,0.5615,0.0,-0.0010000000000000009,1.0458073333229083,-0.00010522814447475115,0.00041713596347284877,0.0025,0.5425,-0.0005439551999565211,0.004368083636232573,0.104,0.0005,0.004807692307692308,0.4857215210850739,2000,2000,2000,2000,0.2,0.05,50,True,noise,0.2,1
noise@0.2,hard,0.07500000000000001,0.544,0.0014999999999999458,0.0,1.0645386397506362,6.149497530206549e-06,0.0008032815892282956,0.002,0.5285,0.003635053103667771,0.0045661050270312835,0.0035,0.0,0.0,0.5784893196023773,2000,2000,2000,2000,0.2,0.05,50,True,noise,0.2,2
noise@0.4,hard,0.0,0.5,0.0,0.0,1.135721320083035,0.0,0.0,0.0,0.4865,0.0016126233469408362,0.004662885259346861,1.0,0.0,0.0,-5e-324,2000,2000,2000,2000,0.2,0.05,50,True,noise,0.4,0
noise@0.4,hard,0.0,0.498,0.0,0.0,1.153858326512116,0.0,0.0,0.0,0.472,0.003548237939728968,0.00461700680882632,1.0,0.0,0.0,-5e-324,2000,2000,2000,2000,0.2,0.05,50,True,noise,0.4,1
noise@0.4,hard,0.025,0.473,0.0015000000000000013,0.0,1.1808197521091803,0.0,0.00039587084225209493,0.0,0.4595,0.008312132676476262,0.004885027016615002,0.0,0.0,0.0,0.5519756648786043,2000,2000,2000,2000,0.2,0.05,50,True,noise,0.4,2
noise@0.6,hard,0.0,0.4245,0.0,0.0,1.2585122384450669,0.0,0.0,0.0,0.409,0.007597605945520092,0.004859697444178366,1.0,0.0,0.0,-5e-324,2000,2000,2000,2000,0.2,0.05,50,True,noise,0.6,0
noise@0.6,hard,0.05,0.423,0.0005000000000000004,0.0,1.2702372761552572,0.0,-7.896647144237742e-05,0.0,0.3885,0.0011827220052202207,0.004666512413182169,0.0,0.0,0.0,0.5231820702356594,2000,2000,2000,2000,0.2,0.05,50,True,noise,0.6,1
noise@0.6,hard,0.07500000000000001,0.392,0.0020000000000000018,0.0,1.2856092371271104,1.1988650649072729e-05,0.0004314547546463493,0.0015,0.3745,0.010458750567677135,0.004962574907547889,0.001,0.0,0.0,0.532424588615172,2000,2000,2000,2000,0.2,0.05,50,True,noise,0.6,2
