family,dataset,condition,target,seed,exchangeable,alpha,apply_rate,joint_harm,acc_gain,blanket_joint_harm,blanket_acc_gain
drugban,drugban_biosnap_random_s42,prot25,cross,0,True,0.05,0.3032951028581831,0.05243036592026215,0.1829601310759148,0.4576734025122884,0.19006007646095036
drugban,drugban_biosnap_random_s42,prot25,cross,0,True,0.1,0.4310941197888221,0.0961223375204806,0.2002548698343346,0.4576734025122884,0.19006007646095036
drugban,drugban_biosnap_random_s42,prot25,cross,0,True,0.2,0.4733296923357,0.11815037320225742,0.19497542326597495,0.4576734025122884,0.19006007646095036
drugban,drugban_biosnap_random_s42,prot25,cross,0,True,0.3,0.7403968687420354,0.2519570362279265,0.19006007646095036,0.4576734025122884,0.19006007646095036
drugban,drugban_biosnap_random_s42,prot25,cross,0,True,0.5,0.930274895321318,0.397596941561988,0.19006007646095036,0.4576734025122884,0.19006007646095036
drugban,drugban_biosnap_random_s42,prot25,cross,1,True,0.05,0.3273256872383033,0.05880211177862735,0.18805752776260698,0.4092481339887129,0.20316766794101593
drugban,drugban_biosnap_random_s42,prot25,cross,1,True,0.1,0.3733843073002003,0.07609685053704715,0.19224467504096132,0.4092481339887129,0.20316766794101593
drugban,drugban_biosnap_random_s42,prot25,cross,1,True,0.2,0.6568359730566176,0.15510649918077554,0.20316766794101593,0.4092481339887129,0.20316766794101593
drugban,drugban_biosnap_random_s42,prot25,cross,1,True,0.3,0.8432550518842162,0.2807209175314036,0.20316766794101593,0.4092481339887129,0.20316766794101593
drugban,drugban_biosnap_random_s42,prot25,cross,1,True,0.5,0.922082650646277,0.3427999271800473,0.20316766794101593,0.4092481339887129,0.20316766794101593
drugban,drugban_biosnap_random_s42,prot25,hard,2,True,0.05,0.2910977607864555,0.0496996176952485,0.16748589113417078,0.3599126160567996,0.19479337338430736
drugban,drugban_biosnap_random_s42,prot25,hard,2,True,0.1,0.3003823047515019,0.05334061532860004,0.16948843983251416,0.3599126160567996,0.19479337338430736
drugban,drugban_biosnap_random_s42,prot25,hard,2,True,0.2,0.7227380302202804,0.16748589113417076,0.19461132350263977,0.3599126160567996,0.19479337338430736
drugban,drugban_biosnap_random_s42,prot25,hard,2,True,0.3,0.8618241398143092,0.2581467322046241,0.19479337338430736,0.3599126160567996,0.19479337338430736
drugban,drugban_biosnap_random_s42,prot25,hard,2,True,0.5,0.9654105224831604,0.3377025304933552,0.19479337338430736,0.3599126160567996,0.19479337338430736
drugban,drugban_biosnap_random_s42,prot50,cross,0,True,0.05,0.22901875113781175,0.03677407609685054,0.07773529947205537,0.3151283451665756,0.08483524485709082
drugban,drugban_biosnap_random_s42,prot50,cross,0,True,0.1,0.2446750409612234,0.042053522665210265,0.07864554888039321,0.3151283451665756,0.08483524485709082
drugban,drugban_biosnap_random_s42,prot50,cross,0,True,0.2,0.8041143273256872,0.1647551429091571,0.08483524485709082,0.3151283451665756,0.08483524485709082
drugban,drugban_biosnap_random_s42,prot50,cross,0,True,0.3,0.9442927362097214,0.273256872383033,0.08483524485709082,0.3151283451665756,0.08483524485709082
drugban,drugban_biosnap_random_s42,prot50,cross,0,True,0.5,0.9717822683415256,0.2949208083014746,0.08483524485709082,0.3151283451665756,0.08483524485709082
drugban,drugban_biosnap_random_s42,prot50,hard,1,True,0.05,0.1926087748042964,0.022574185326779538,0.06408155834698714,0.4463863098488986,0.07900964864372839
drugban,drugban_biosnap_random_s42,prot50,hard,1,True,0.1,0.5073730202075368,0.08101219734207173,0.0773711997087202,0.4463863098488986,0.07900964864372839
drugban,drugban_biosnap_random_s42,prot50,hard,1,True,0.2,0.5683597305661752,0.1095940287638813,0.07900964864372839,0.4463863098488986,0.07900964864372839
drugban,drugban_biosnap_random_s42,prot50,hard,1,True,0.3,0.756417258328782,0.2570544329146186,0.07900964864372839,0.4463863098488986,0.07900964864372839
drugban,drugban_biosnap_random_s42,prot50,hard,1,True,0.5,0.9528490806480976,0.4127070817403969,0.07900964864372839,0.4463863098488986,0.07900964864372839
drugban,drugban_biosnap_random_s42,prot50,cross,2,True,0.05,0.2605133806663026,0.042781722191880575,0.08028399781540141,0.3071181503732023,0.08610959402876395
drugban,drugban_biosnap_random_s42,prot50,cross,2,True,0.1,0.2661569269979975,0.04460222100855635,0.0819224467504096,0.3071181503732023,0.08610959402876395
drugban,drugban_biosnap_random_s42,prot50,cross,2,True,0.2,0.8210449663207718,0.16839614054250865,0.08610959402876395,0.3071181503732023,0.08610959402876395
drugban,drugban_biosnap_random_s42,prot50,cross,2,True,0.3,0.9714181685781904,0.2869106135081012,0.08610959402876395,0.3071181503732023,0.08610959402876395
drugban,drugban_biosnap_random_s42,prot50,cross,2,True,0.5,0.9748771163298744,0.2896413617331149,0.08610959402876395,0.3071181503732023,0.08610959402876395
drugban,drugban_biosnap_random_s42,scaffold,cross,0,True,0.05,0.1898780265792827,0.0449663207718915,0.04878936828691072,0.2807209175314036,0.05315856544693254
drugban,drugban_biosnap_random_s42,scaffold,cross,0,True,0.1,0.7382122701620244,0.10121973420717277,0.05279446568359736,0.2807209175314036,0.05315856544693254
drugban,drugban_biosnap_random_s42,scaffold,cross,0,True,0.2,0.8667394866193336,0.17931913344256326,0.05315856544693254,0.2807209175314036,0.05315856544693254
drugban,drugban_biosnap_random_s42,scaffold,cross,0,True,0.3,0.9808847624249044,0.2670671764063353,0.05315856544693254,0.2807209175314036,0.05315856544693254
drugban,drugban_biosnap_random_s42,scaffold,cross,0,True,0.5,0.9808847624249044,0.2670671764063353,0.05315856544693254,0.2807209175314036,0.05315856544693254
drugban,drugban_biosnap_random_s42,scaffold,cross,1,True,0.05,0.2452211906062261,0.0646277079919898,0.05079191698525398,0.2821773165847442,0.05170216639359193
drugban,drugban_biosnap_random_s42,scaffold,cross,1,True,0.1,0.7462224649553978,0.10613508101219735,0.05152011651192434,0.2821773165847442,0.05170216639359193
drugban,drugban_biosnap_random_s42,scaffold,cross,1,True,0.2,0.8914982705261242,0.1986164208993264,0.05170216639359193,0.2821773165847442,0.05170216639359193
drugban,drugban_biosnap_random_s42,scaffold,cross,1,True,0.3,0.9792463134898962,0.2656107773529947,0.05170216639359193,0.2821773165847442,0.05170216639359193
drugban,drugban_biosnap_random_s42,scaffold,cross,1,True,0.5,0.9792463134898962,0.2656107773529947,0.05170216639359193,0.2821773165847442,0.05170216639359193
drugban,drugban_biosnap_random_s42,scaffold,cross,2,True,0.05,0.1245221190606226,0.03204077917349354,0.040597123611869734,0.280538867649736,0.04860731840524313
drugban,drugban_biosnap_random_s42,scaffold,cross,2,True,0.1,0.1922446750409612,0.04860731840524304,0.04642271982523216,0.280538867649736,0.04860731840524313
drugban,drugban_biosnap_random_s42,scaffold,cross,2,True,0.2,0.8951392681594756,0.19916257054432915,0.04860731840524313,0.280538867649736,0.04860731840524313
drugban,drugban_biosnap_random_s42,scaffold,cross,2,True,0.3,0.982341161478245,0.2676133260513381,0.04860731840524313,0.280538867649736,0.04860731840524313
drugban,drugban_biosnap_random_s42,scaffold,cross,2,True,0.5,0.982341161478245,0.2676133260513381,0.04860731840524313,0.280538867649736,0.04860731840524313
drugban,drugban_bindingdb_random_s42,prot25,hard,0,True,0.05,0.5263211382113822,0.028760162601626015,0.11392276422764236,0.30060975609756097,0.13079268292682933
drugban,drugban_bindingdb_random_s42,prot25,hard,0,True,0.1,0.635569105691057,0.06412601626016261,0.12408536585365859,0.30060975609756097,0.13079268292682933
drugban,drugban_bindingdb_random_s42,prot25,hard,0,True,0.2,0.8021341463414634,0.16239837398373982,0.1339430894308944,0.30060975609756097,0.13079268292682933
drugban,drugban_bindingdb_random_s42,prot25,hard,0,True,0.3,0.9470528455284553,0.26178861788617885,0.13079268292682933,0.30060975609756097,0.13079268292682933
