family,dataset,condition,target,seed,exchangeable,alpha,apply_rate,joint_harm,acc_gain,blanket_joint_harm,blanket_acc_gain
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,0,False,0.05,0.27608607389362566,0.035728786033292735,0.20592004804788355,0.15793747462444174,0.30456231489257135
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,0,False,0.1,0.5050751116524563,0.0832318311002842,0.30456231489257135,0.15793747462444174,0.30456231489257135
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,0,False,0.2,0.7243199350385708,0.15793747462444174,0.30456231489257135,0.15793747462444174,0.30456231489257135
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,0,False,0.3,0.7243199350385708,0.15793747462444174,0.30456231489257135,0.15793747462444174,0.30456231489257135
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,0,False,0.5,0.7243199350385708,0.15793747462444174,0.30456231489257135,0.15793747462444174,0.30456231489257135
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,1,False,0.05,0.13032886723507917,0.028014616321559074,0.07369061558052287,0.32886723507917176,0.2167836711627214
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,1,False,0.1,0.37799431587494925,0.1023142509135201,0.17894817550283842,0.32886723507917176,0.2167836711627214
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,1,False,0.2,0.7718229801055623,0.20178643930166465,0.21019513239331117,0.32886723507917176,0.2167836711627214
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,1,False,0.3,0.9817295980511571,0.31952902963865204,0.2167836711627214,0.32886723507917176,0.2167836711627214
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,1,False,0.5,0.9817295980511571,0.31952902963865204,0.2167836711627214,0.32886723507917176,0.2167836711627214
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,2,False,0.05,0.277000777000777,0.07925407925407925,0.0887170062626188,0.28243978243978246,0.13547284091677747
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,2,False,0.1,0.35120435120435123,0.0912975912975913,0.11041743897317113,0.28243978243978246,0.13547284091677747
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,2,False,0.2,0.8088578088578089,0.17404817404817405,0.13107819773629503,0.28243978243978246,0.13547284091677747
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,2,False,0.3,0.9440559440559441,0.25252525252525254,0.13329394425472474,0.28243978243978246,0.13547284091677747
opportunity,opportunity_cross_subject,low_cost_accels_only,hard,2,False,0.5,0.9673659673659674,0.26107226107226106,0.1353835556085059,0.28243978243978246,0.13547284091677747
opportunity,opportunity_cross_subject,no_imu_family,hard,0,False,0.05,0.42590336987413724,0.03288672350791717,0.40185276986211654,0.15347137637028013,0.4131006971868872
opportunity,opportunity_cross_subject,no_imu_family,hard,0,False,0.1,0.4827446203816484,0.05481120584652863,0.4122420825346988,0.15347137637028013,0.4131006971868872
opportunity,opportunity_cross_subject,no_imu_family,hard,0,False,0.2,0.5765326837190419,0.10393828664230613,0.4131006971868872,0.15347137637028013,0.4131006971868872
opportunity,opportunity_cross_subject,no_imu_family,hard,0,False,0.3,0.727568006496143,0.15347137637028013,0.4131006971868872,0.15347137637028013,0.4131006971868872
opportunity,opportunity_cross_subject,no_imu_family,hard,0,False,0.5,0.727568006496143,0.15347137637028013,0.4131006971868872,0.15347137637028013,0.4131006971868872
opportunity,opportunity_cross_subject,no_imu_family,hard,1,False,0.05,0.38773853024766547,0.04100690215184734,0.29187322037562424,0.3503857084855867,0.3573411323352287
opportunity,opportunity_cross_subject,no_imu_family,hard,1,False,0.1,0.4437677628907836,0.05805927730410069,0.3025851609835889,0.3503857084855867,0.3573411323352287
opportunity,opportunity_cross_subject,no_imu_family,hard,1,False,0.2,0.6731628095818109,0.1270807957775071,0.3397267688799702,0.3503857084855867,0.3573411323352287
opportunity,opportunity_cross_subject,no_imu_family,hard,1,False,0.3,0.7726349979699554,0.19447827852212748,0.3548483308343704,0.3503857084855867,0.3573411323352287
opportunity,opportunity_cross_subject,no_imu_family,hard,1,False,0.5,0.925700365408039,0.3036946812829882,0.35448111972187213,0.3503857084855867,0.3573411323352287
opportunity,opportunity_cross_subject,no_imu_family,hard,2,False,0.05,0.36324786324786323,0.09595959595959595,0.21549730155904845,0.36752136752136755,0.22745718329452524
opportunity,opportunity_cross_subject,no_imu_family,hard,2,False,0.1,0.4347319347319347,0.1247086247086247,0.2275854785604936,0.36752136752136755,0.22745718329452524
opportunity,opportunity_cross_subject,no_imu_family,hard,2,False,0.2,0.48951048951048953,0.15423465423465424,0.22745718329452524,0.36752136752136755,0.22745718329452524
opportunity,opportunity_cross_subject,no_imu_family,hard,2,False,0.3,0.5481740481740481,0.18997668997668998,0.22745718329452524,0.36752136752136755,0.22745718329452524
opportunity,opportunity_cross_subject,no_imu_family,hard,2,False,0.5,0.6355866355866356,0.25524475524475526,0.22745718329452524,0.36752136752136755,0.22745718329452524
opportunity,opportunity_cross_subject,no_shoes,hard,0,False,0.05,0.008932196508323184,0.00243605359317905,-0.0004733279432385107,0.18920016240357287,0.23402871438926287
opportunity,opportunity_cross_subject,no_shoes,hard,0,False,0.1,0.5537961835160373,0.03978887535525782,0.03548356002648534,0.18920016240357287,0.23402871438926287
opportunity,opportunity_cross_subject,no_shoes,hard,0,False,0.2,0.8509947218838815,0.08607389362565976,0.23264312024636125,0.18920016240357287,0.23402871438926287
opportunity,opportunity_cross_subject,no_shoes,hard,0,False,0.3,0.9228583028826635,0.12951684937068617,0.23402871438926287,0.18920016240357287,0.23402871438926287
opportunity,opportunity_cross_subject,no_shoes,hard,0,False,0.5,0.9516849370686155,0.1518473406414941,0.23402871438926287,0.18920016240357287,0.23402871438926287
opportunity,opportunity_cross_subject,no_shoes,hard,1,False,0.05,0.37880633373934225,0.2139667072675599,0.020806316412240844,0.3909866017052375,0.02128079679972461
opportunity,opportunity_cross_subject,no_shoes,hard,1,False,0.1,0.44945188794153473,0.2537555826228177,0.02128079679972461,0.3909866017052375,0.02128079679972461
opportunity,opportunity_cross_subject,no_shoes,hard,1,False,0.2,0.5131952902963866,0.29516849370686155,0.02128079679972461,0.3909866017052375,0.02128079679972461
opportunity,opportunity_cross_subject,no_shoes,hard,1,False,0.3,0.758018676410881,0.3909866017052375,0.02128079679972461,0.3909866017052375,0.02128079679972461
opportunity,opportunity_cross_subject,no_shoes,hard,1,False,0.5,0.758018676410881,0.3909866017052375,0.02128079679972461,0.3909866017052375,0.02128079679972461
opportunity,opportunity_cross_subject,no_shoes,hard,2,False,0.05,0.28943278943278944,0.036907536907536904,0.1823769050278491,0.21833721833721834,0.14734261831431028
opportunity,opportunity_cross_subject,no_shoes,hard,2,False,0.1,0.44755244755244755,0.10955710955710955,0.14857956000351824,0.21833721833721834,0.14734261831431028
opportunity,opportunity_cross_subject,no_shoes,hard,2,False,0.2,0.533022533022533,0.15034965034965034,0.14734261831431028,0.21833721833721834,0.14734261831431028
opportunity,opportunity_cross_subject,no_shoes,hard,2,False,0.3,0.5442890442890443,0.1588966588966589,0.14734261831431028,0.21833721833721834,0.14734261831431028
opportunity,opportunity_cross_subject,no_shoes,hard,2,False,0.5,0.5442890442890443,0.1588966588966589,0.14734261831431028,0.21833721833721834,0.14734261831431028
opportunity,opportunity_cross_subject,severe_three_sensors,hard,0,False,0.05,0.2342671538773853,0.01989443767762891,0.1839310753538832,0.2797401542833942,0.23203235457660543
opportunity,opportunity_cross_subject,severe_three_sensors,hard,0,False,0.1,0.28867235079171744,0.029638652050345108,0.2084134878373104,0.2797401542833942,0.23203235457660543
opportunity,opportunity_cross_subject,severe_three_sensors,hard,0,False,0.2,0.4056029232643118,0.07105156313438896,0.23137630235479267,0.2797401542833942,0.23203235457660543
opportunity,opportunity_cross_subject,severe_three_sensors,hard,0,False,0.3,0.5777507105156313,0.1749898497766951,0.23203235457660543,0.2797401542833942,0.23203235457660543
opportunity,opportunity_cross_subject,severe_three_sensors,hard,0,False,0.5,0.6950872919204223,0.2679658952496955,0.23203235457660543,0.2797401542833942,0.23203235457660543
opportunity,opportunity_cross_subject,severe_three_sensors,hard,1,False,0.05,0.10475030450669914,0.02882663418595209,-0.0048339283930733945,0.3207470564352416,-0.003954429570862228
opportunity,opportunity_cross_subject,severe_three_sensors,hard,1,False,0.1,0.1518473406414941,0.04831506293138449,-0.006011165059097379,0.3207470564352416,-0.003954429570862228
opportunity,opportunity_cross_subject,severe_three_sensors,hard,1,False,0.2,0.4169711733658141,0.15834348355663824,-0.003954429570862228,0.3207470564352416,-0.003954429570862228
opportunity,opportunity_cross_subject,severe_three_sensors,hard,1,False,0.3,0.7693869265123833,0.25131952902963867,-0.003954429570862228,0.3207470564352416,-0.003954429570862228
opportunity,opportunity_cross_subject,severe_three_sensors,hard,1,False,0.5,0.953714981729598,0.28095818107998377,-0.003954429570862228,0.3207470564352416,-0.003954429570862228
opportunity,opportunity_cross_subject,severe_three_sensors,hard,2,False,0.05,0.0034965034965034965,0.0003885003885003885,0.0,0.3045843045843046,-0.01661153830842521
opportunity,opportunity_cross_subject,severe_three_sensors,hard,2,False,0.1,0.0034965034965034965,0.0003885003885003885,0.0,0.3045843045843046,-0.01661153830842521
opportunity,opportunity_cross_subject,severe_three_sensors,hard,2,False,0.2,0.6196581196581197,0.08041958041958042,0.009965384619222029,0.3045843045843046,-0.01661153830842521
opportunity,opportunity_cross_subject,severe_three_sensors,hard,2,False,0.3,0.7952602952602953,0.16317016317016317,-0.015973257613922986,0.3045843045843046,-0.01661153830842521
opportunity,opportunity_cross_subject,severe_three_sensors,hard,2,False,0.5,0.9440559440559441,0.26456876456876455,-0.01661153830842521,0.3045843045843046,-0.01661153830842521
