family,dataset,condition,target,seed,exchangeable,alpha,apply_rate,joint_harm,acc_gain,blanket_joint_harm,blanket_acc_gain
ptbxl,ptbxl,drop11,hard,0,True,0.05,0.4125,0.04861111111111111,-7.874149535358477e-05,0.09722222222222222,0.002086920415311111
ptbxl,ptbxl,drop11,hard,0,True,0.1,0.43333333333333335,0.05138888888888889,3.848075895274139e-05,0.09722222222222222,0.002086920415311111
ptbxl,ptbxl,drop11,hard,0,True,0.2,0.43333333333333335,0.05138888888888889,3.848075895274139e-05,0.09722222222222222,0.002086920415311111
ptbxl,ptbxl,drop11,hard,0,True,0.3,0.43333333333333335,0.05138888888888889,3.848075895274139e-05,0.09722222222222222,0.002086920415311111
ptbxl,ptbxl,drop11,hard,0,True,0.5,0.43333333333333335,0.05138888888888889,3.848075895274139e-05,0.09722222222222222,0.002086920415311111
ptbxl,ptbxl,drop11,hard,1,True,0.05,0.26666666666666666,0.04861111111111111,-0.0006259725194636134,0.1763888888888889,-0.0006780262473135013
ptbxl,ptbxl,drop11,hard,1,True,0.1,0.5055555555555555,0.0875,-0.0020705499269630945,0.1763888888888889,-0.0006780262473135013
ptbxl,ptbxl,drop11,hard,1,True,0.2,0.625,0.10277777777777777,-0.0022117946149610157,0.1763888888888889,-0.0006780262473135013
ptbxl,ptbxl,drop11,hard,1,True,0.3,0.625,0.10277777777777777,-0.0022117946149610157,0.1763888888888889,-0.0006780262473135013
ptbxl,ptbxl,drop11,hard,1,True,0.5,0.625,0.10277777777777777,-0.0022117946149610157,0.1763888888888889,-0.0006780262473135013
ptbxl,ptbxl,drop11,hard,2,True,0.05,0.13055555555555556,0.034722222222222224,-0.0003508894812640495,0.20972222222222223,0.0004462099237070305
ptbxl,ptbxl,drop11,hard,2,True,0.1,0.31805555555555554,0.07361111111111111,-0.0012068079389244701,0.20972222222222223,0.0004462099237070305
ptbxl,ptbxl,drop11,hard,2,True,0.2,0.34305555555555556,0.08055555555555556,-0.0015036768741776285,0.20972222222222223,0.0004462099237070305
ptbxl,ptbxl,drop11,hard,2,True,0.3,0.35,0.08333333333333333,-0.0016947842596746199,0.20972222222222223,0.0004462099237070305
ptbxl,ptbxl,drop11,hard,2,True,0.5,0.35,0.08333333333333333,-0.0016947842596746199,0.20972222222222223,0.0004462099237070305
ptbxl,ptbxl,drop10,hard,0,True,0.05,0.3013888888888889,0.05416666666666667,-0.00121822769651736,0.2875,0.0167337780758251
ptbxl,ptbxl,drop10,hard,0,True,0.1,0.41388888888888886,0.08194444444444444,0.0008928623903258215,0.2875,0.0167337780758251
ptbxl,ptbxl,drop10,hard,0,True,0.2,0.5708333333333333,0.11388888888888889,0.004826726654171609,0.2875,0.0167337780758251
ptbxl,ptbxl,drop10,hard,0,True,0.3,0.7458333333333333,0.17916666666666667,0.008418092663659671,0.2875,0.0167337780758251
ptbxl,ptbxl,drop10,hard,0,True,0.5,0.7458333333333333,0.17916666666666667,0.008418092663659671,0.2875,0.0167337780758251
ptbxl,ptbxl,drop10,hard,1,True,0.05,0.2013888888888889,0.025,0.003666929618209025,0.2777777777777778,0.016786012404715223
ptbxl,ptbxl,drop10,hard,1,True,0.1,0.4111111111111111,0.0763888888888889,0.001990815914024724,0.2777777777777778,0.016786012404715223
ptbxl,ptbxl,drop10,hard,1,True,0.2,0.6652777777777777,0.1375,0.005908354349466349,0.2777777777777778,0.016786012404715223
ptbxl,ptbxl,drop10,hard,1,True,0.3,0.7013888888888888,0.14722222222222223,0.005792489421115321,0.2777777777777778,0.016786012404715223
ptbxl,ptbxl,drop10,hard,1,True,0.5,0.7013888888888888,0.14722222222222223,0.005792489421115321,0.2777777777777778,0.016786012404715223
